sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
NZ_CP031716.1_RM_Type_II_12	RM	RM_Type_II	Defense	NZ_CP031716.1_97	NZ_CP031716.1_98	NZ_CP031716.1_97,NZ_CP031716.1_98	2	RM_Type_II__Type_II_MTases_FAM_0,RM_Type_II__Type_II_REase18
NZ_CP031716.1_AbiL_2	AbiL	AbiL	Defense	NZ_CP031716.1_228	NZ_CP031716.1_229	NZ_CP031716.1_228,NZ_CP031716.1_229	2	AbiL__AbiLi2,AbiL__AbiLii2
NZ_CP031716.1_Lamassu-Cap4_nuclease_3	Lamassu-Fam	Lamassu-Cap4_nuclease	Defense	NZ_CP031716.1_599	NZ_CP031716.1_601	NZ_CP031716.1_599,NZ_CP031716.1_600,NZ_CP031716.1_601	3	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II,Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II,Lamassu-Fam__LmuC_acc_Cap4_nuclease
NZ_CP031716.1_RM_Type_I_10	RM	RM_Type_I	Defense	NZ_CP031716.1_992	NZ_CP031716.1_994	NZ_CP031716.1_992,NZ_CP031716.1_993,NZ_CP031716.1_994	3	RM__Type_I_MTases_FAM_3,RM__Type_I_REases_FAM_1.einsi_trimmed,RM__Type_I_S_52
NZ_CP031716.1_RloC_6	RloC	RloC	Defense	NZ_CP031716.1_997	NZ_CP031716.1_997	NZ_CP031716.1_997	1	RloC__RloC
NZ_CP031716.1_pAgo_S1A_7	pAgo	pAgo_S1A	Defense	NZ_CP031716.1_1006	NZ_CP031716.1_1006	NZ_CP031716.1_1006	1	pAgo__pAgo_S1A
NZ_CP031716.1_Prometheus_4	Prometheus	Prometheus	Defense	NZ_CP031716.1_1257	NZ_CP031716.1_1257	NZ_CP031716.1_1257	1	Prometheus__ProA
NZ_CP031716.1_AbiJ_1	AbiJ	AbiJ	Defense	NZ_CP031716.1_1397	NZ_CP031716.1_1397	NZ_CP031716.1_1397	1	AbiJ__AbiJ
NZ_CP031716.1_CAS_Class1-Subtype-I-F_13	Cas	CAS_Class1-Subtype-I-F	Defense	NZ_CP031716.1_2424	NZ_CP031716.1_2429	NZ_CP031716.1_2424,NZ_CP031716.1_2425,NZ_CP031716.1_2426,NZ_CP031716.1_2427,NZ_CP031716.1_2428,NZ_CP031716.1_2429	6	cas1_I-F_1,cas3f_I-F_1,cas5f_I-F_4,cas6f_I_II_III_IV_V_VI_3,cas7f_I-F_2,cas8f_I-F_4
NZ_CP031716.1_Retron_III_5	Retron	Retron_III	Defense	NZ_CP031716.1_2656	NZ_CP031716.1_2658	NZ_CP031716.1_2656,NZ_CP031716.1_2658	2	Retron_III__PRTase,Retron__RT_Tot_7
NZ_CP031716.1_RM_Type_I_11	RM	RM_Type_I	Defense	NZ_CP031716.1_2670	NZ_CP031716.1_2671	NZ_CP031716.1_2670,NZ_CP031716.1_2671	2	RM__Type_I_MTases_FAM_0,RM__Type_I_S_51
