system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
1,NZ_CP139286.1,PD-T4-3,NZ_CP139286.1_749,PDLC04031,PD-T4-3_WP_201121852.1,PD-T4-3,9.299999999999999e-117,9.999999999999999e-117,0.992,0.988,852024,852767,-,# 852024 # 852767 # -1 # ;gc_cont=0.312,749,3352,"PDLC04031,PD-T4-3_WP_201121852.1, 1, 1e-116, 0.992, 0.988","PDLC04031, PD-T4-3_WP_201121852.1, 1e-116, 0.992, 0.988"
2,NZ_CP139286.1,PD-T4-5,NZ_CP139286.1_2158,PDLC04038,PD-T4-5_WP_162303019.1,PD-T4-5,1.1e-33,1.7e-33,0.894,0.883,2394018,2395004,+,# 2394018 # 2395004 # 1 # ;gc_cont=0.333,2158,3352,"PDLC04038,PD-T4-5_WP_162303019.1, 1, 1.7e-33, 0.894, 0.883","PDLC04038, PD-T4-5_WP_162303019.1, 1.7e-33, 0.894, 0.883"
4,NZ_CP139286.1,cas_type_I-F1,NZ_CP139286.1_2525,PDLC00941,cas3_yersinia,Cas23f,0,0,0.996,0.999,2773743,2776979,-,# 2773743 # 2776979 # -1 # ;gc_cont=0.380,2525,3352,"PDLC00941,cas3_yersinia, 1, 0, 0.996, 0.999","PDLC00941, cas3_yersinia, 0, 0.996, 0.999"
4,NZ_CP139286.1,cas_type_I-F1,NZ_CP139286.1_2527,PDLC01425,cls000849,Cas8f,6.299999999999997e-264,7.099999999999997e-264,0.995,0.965,2778490,2779656,+,# 2778490 # 2779656 # 1 # ;gc_cont=0.370,2527,3352,"PDLC01206,C19_Cas8f_1, 1, 0.015, 0.195, 0.186 | PDLC01627,pfam09611, 1, 1.9e-05, 0.427, 0.514 | PDLC01348,cd09735, 1, 0.0031, 0.26, 0.315 | PDLC01425,cls000849, 1, 7.1e-264, 0.995, 0.965 | PDLC01399,cls000148, 1, 8e-05, 0.19, 0.156 | PDLC01288,cd09675, 1, 0.0043, 0.272, 0.296 | PDLC01288,cd09675, 2, 2.3, 0.144, 0.152","PDLC01425, cls000849, 7.1e-264, 0.995, 0.965 | PDLC01627, pfam09611, 1.9e-05, 0.427, 0.514 | PDLC01399, cls000148, 8e-05, 0.19, 0.156 | PDLC01348, cd09735, 0.0031, 0.26, 0.315 | PDLC01288, cd09675, 0.0043, 0.272, 0.296"
4,NZ_CP139286.1,cas_type_I-F1,NZ_CP139286.1_2528,PDLC01289,cd09676,Cas5f,2.699999999999999e-99,2.9999999999999992e-99,0.963,0.996,2779653,2780537,+,# 2779653 # 2780537 # 1 # ;gc_cont=0.391,2528,3352,"PDLC01628,pfam09614, 1, 1.3e-21, 0.946, 0.986 | PDLC01199,C19_Cas5f_1, 1, 1.3e-12, 0.959, 0.983 | PDLC01289,cd09676, 1, 3e-99, 0.963, 0.996 | PDLC01349,cd09736, 1, 3.4e-63, 0.956, 0.992 | PDLC01029,cas_Csy2, 1, 4e-97, 0.963, 0.997","PDLC01289, cd09676, 3e-99, 0.963, 0.996 | PDLC01029, cas_Csy2, 4e-97, 0.963, 0.997 | PDLC01349, cd09736, 3.4e-63, 0.956, 0.992 | PDLC01628, pfam09614, 1.3e-21, 0.946, 0.986 | PDLC01199, C19_Cas5f_1, 1.3e-12, 0.959, 0.983"
4,NZ_CP139286.1,cas_type_I-F1,NZ_CP139286.1_2529,PDLC01030,cas_Csy3,Cas7f,4.799999999999999e-136,5.399999999999999e-136,0.98,0.997,2780567,2781628,+,# 2780567 # 2781628 # 1 # ;gc_cont=0.382,2529,3352,"PDLC01629,pfam09615, 1, 9.4e-101, 0.966, 0.994 | PDLC01350,cd09737, 1, 1.9e-100, 0.972, 0.997 | PDLC01290,cd09677, 1, 2.4e-124, 0.977, 0.994 | PDLC01030,cas_Csy3, 1, 5.4e-136, 0.98, 0.997","PDLC01030, cas_Csy3, 5.4e-136, 0.98, 0.997 | PDLC01290, cd09677, 2.4e-124, 0.977, 0.994 | PDLC01629, pfam09615, 9.4e-101, 0.966, 0.994 | PDLC01350, cd09737, 1.9e-100, 0.972, 0.997"
4,NZ_CP139286.1,cas_type_I-F1,NZ_CP139286.1_2530,PDLC01631,pfam09618,Cas6f,6.5e-27,7.5e-27,0.961,0.994,2781628,2782239,+,# 2781628 # 2782239 # 1 # ;gc_cont=0.400,2530,3352,"PDLC01352,cd09739, 1, 2.2e-06, 0.966, 0.984 | PDLC01631,pfam09618, 1, 7.5e-27, 0.961, 0.994 | PDLC01287,cd09674, 1, 1.4e-05, 0.961, 0.978 | PDLC00955,cas_Csy4, 1, 3.7e-06, 0.618, 0.701","PDLC01631, pfam09618, 7.5e-27, 0.961, 0.994 | PDLC01352, cd09739, 2.2e-06, 0.966, 0.984 | PDLC00955, cas_Csy4, 3.7e-06, 0.618, 0.701 | PDLC01287, cd09674, 1.4e-05, 0.961, 0.978"
4,NZ_CP139286.1,cas_type_I-F1,NZ_CP139286.1_2531,PDLC00925,cas1_YPEST,Cas1f,1.2999999999999995e-137,1.4999999999999997e-137,0.943,0.99,2782251,2783204,+,# 2782251 # 2783204 # 1 # ;gc_cont=0.382,2531,3352,"PDLC00925,cas1_YPEST, 1, 1.5e-137, 0.943, 0.99","PDLC00925, cas1_YPEST, 1.5e-137, 0.943, 0.99"
3,NZ_CP139286.1,PDC-M60,NZ_CP139286.1_2702,PDLC04726,PDC-M60C_WP_049246517.1,PDC-M60C,2.7999999999999992e-99,3.1999999999999993e-99,0.99,0.988,2968909,2970105,-,# 2968909 # 2970105 # -1 # ;gc_cont=0.336,2702,3352,"PDLC04726,PDC-M60C_WP_049246517.1, 1, 3.2e-99, 0.99, 0.988 | PDLC04725,PDC-M60B_WP_004323509.1, 1, 8.4e-08, 0.333, 0.937","PDLC04726, PDC-M60C_WP_049246517.1, 3.2e-99, 0.99, 0.988 | PDLC04725, PDC-M60B_WP_004323509.1, 8.4e-08, 0.333, 0.937"
3,NZ_CP139286.1,PDC-M60,NZ_CP139286.1_2703,PDLC04725,PDC-M60B_WP_004323509.1,PDC-M60B,1.9e-39,2.1e-39,0.963,0.968,2970105,2970593,-,# 2970105 # 2970593 # -1 # ;gc_cont=0.319,2703,3352,"PDLC04726,PDC-M60C_WP_049246517.1, 1, 0.0046, 0.356, 0.143 | PDLC04726,PDC-M60C_WP_049246517.1, 2, 120, 0.166, 0.066 | PDLC04725,PDC-M60B_WP_004323509.1, 1, 2.1e-39, 0.963, 0.968","PDLC04725, PDC-M60B_WP_004323509.1, 2.1e-39, 0.963, 0.968 | PDLC04726, PDC-M60C_WP_049246517.1, 0.0046, 0.356, 0.143"
3,NZ_CP139286.1,PDC-M60,NZ_CP139286.1_2704,PDLC04723,PDC-M60A_WP_161633898.1,PDC-M60A,1.9999999999999998e-111,4.699999999999999e-84,0.708,0.679,2970586,2973969,-,# 2970586 # 2973969 # -1 # ;gc_cont=0.282,2704,3352,"PDLC04724,PDC-M60A_WP_218699238.1, 1, 1.7e-32, 0.912, 0.901 | PDLC04723,PDC-M60A_WP_161633898.1, 1, 2.5e-27, 0.191, 0.183 | PDLC04723,PDC-M60A_WP_161633898.1, 2, 4.7e-84, 0.708, 0.679 | PDLC04721,PDC-M60A_WP_175976316.1, 1, 1.4e-34, 0.537, 0.675 | PDLC04722,PDC-M60A_WP_004323508.1, 1, 9.4e-08, 0.182, 0.174 | PDLC04722,PDC-M60A_WP_004323508.1, 2, 25, 0.035, 0.033 | PDLC04722,PDC-M60A_WP_004323508.1, 3, 5.6e-29, 0.471, 0.452 | PDLC04720,PDC-M60A_WP_047576252.1, 1, 5.1e-09, 0.196, 0.183 | PDLC04720,PDC-M60A_WP_047576252.1, 2, 2e-42, 0.551, 0.519","PDLC04723, PDC-M60A_WP_161633898.1, 4.7e-84, 0.708, 0.679 | PDLC04720, PDC-M60A_WP_047576252.1, 2e-42, 0.551, 0.519 | PDLC04721, PDC-M60A_WP_175976316.1, 1.4e-34, 0.537, 0.675 | PDLC04724, PDC-M60A_WP_218699238.1, 1.7e-32, 0.912, 0.901 | PDLC04722, PDC-M60A_WP_004323508.1, 5.6e-29, 0.471, 0.452"
