system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
9,NZ_CP030880.1,PDC-S55,NZ_CP030880.1_164,PDLC05037,PDC-S55_WP_162277864.1,PDC-S55,7.799999999999999e-74,9.499999999999998e-74,0.974,0.989,184932,185504,+,# 184932 # 185504 # 1 # ;gc_cont=0.442,164,3114,"PDLC05037,PDC-S55_WP_162277864.1, 1, 9.5e-74, 0.974, 0.989","PDLC05037, PDC-S55_WP_162277864.1, 9.5e-74, 0.974, 0.989"
8,NZ_CP030880.1,PDC-S39,NZ_CP030880.1_645,PDLC05012,PDC-S39_WP_095017002.1,PDC-S39,9.699999999999998e-155,1.2999999999999998e-154,0.956,0.954,711734,713560,+,# 711734 # 713560 # 1 # ;gc_cont=0.308,645,3114,"PDLC05011,PDC-S39_WP_191556434.1, 1, 7.3e-91, 0.954, 0.95 | PDLC05012,PDC-S39_WP_095017002.1, 1, 1.3e-154, 0.956, 0.954","PDLC05012, PDC-S39_WP_095017002.1, 1.3e-154, 0.956, 0.954 | PDLC05011, PDC-S39_WP_191556434.1, 7.3e-91, 0.954, 0.95"
15,NZ_CP030880.1,cbass_type_I,NZ_CP030880.1_845,PDLC00796,Cyclase_00036,Cyclase,3.299999999999999e-193,3.599999999999999e-193,0.993,0.993,985507,986811,+,# 985507 # 986811 # 1 # ;gc_cont=0.342,845,3114,"PDLC00792,Cyclase_00032, 1, 3.1e-104, 0.531, 0.992 | PDLC00778,Cyclase_00018, 1, 4.6e-36, 0.74, 0.727 | PDLC00770,Cyclase_00010, 1, 3.3, 0.214, 0.187 | PDLC00770,Cyclase_00010, 2, 5.1e-22, 0.301, 0.248 | PDLC00785,Cyclase_00025, 1, 1.8e-10, 0.198, 0.167 | PDLC00785,Cyclase_00025, 2, 0.18, 0.085, 0.081 | PDLC00785,Cyclase_00025, 3, 5.2e-15, 0.306, 0.289 | PDLC00808,Cyclase_00048, 1, 8.3e-07, 0.402, 0.56 | PDLC00808,Cyclase_00048, 2, 0.12, 0.087, 0.117 | PDLC00802,Cyclase_00042, 1, 0.0014, 0.159, 0.217 | PDLC00802,Cyclase_00042, 2, 2.6e-12, 0.347, 0.464 | PDLC00804,Cyclase_00044, 1, 1.1e-40, 0.409, 0.738 | PDLC00822,Cyclase_00062, 1, 0.00011, 0.166, 0.205 | PDLC00822,Cyclase_00062, 2, 0.51, 0.092, 0.107 | PDLC00822,Cyclase_00062, 3, 0.00029, 0.115, 0.133 | PDLC00824,Cyclase_00064, 1, 2.4e-10, 0.726, 0.661 | PDLC00795,Cyclase_00035, 1, 1.1e-06, 0.414, 0.565 | PDLC00774,Cyclase_00014, 1, 1.4e-11, 0.662, 0.918 | PDLC00786,Cyclase_00026, 1, 2.6e-101, 0.651, 0.997 | PDLC00773,Cyclase_00013, 1, 7.1e-13, 0.667, 0.904 | PDLC00787,Cyclase_00027, 1, 1.4e-07, 0.664, 0.922 | PDLC00809,Cyclase_00049, 1, 7.4e-25, 0.651, 0.99 | PDLC00803,Cyclase_00043, 1, 7.8e-09, 0.453, 0.727 | PDLC00803,Cyclase_00043, 2, 750, 0.101, 0.158 | PDLC00771,Cyclase_00011, 1, 4.2e-43, 0.441, 0.745 | PDLC00810,Cyclase_00050, 1, 1.7e-11, 0.52, 0.69 | PDLC00793,Cyclase_00033, 1, 5.2e-32, 0.986, 0.989 | PDLC00805,Cyclase_00045, 1, 4.4e-30, 0.508, 0.707 | PDLC00799,Cyclase_00039, 1, 5.4e-13, 0.637, 0.577 | PDLC00798,Cyclase_00038, 1, 1.4e-06, 0.676, 0.892 | PDLC00814,Cyclase_00054, 1, 2.3e-55, 0.648, 0.976 | PDLC00796,Cyclase_00036, 1, 3.6e-193, 0.993, 0.993 | PDLC00823,Cyclase_00063, 1, 6.6e-42, 0.648, 0.979 | PDLC00788,Cyclase_00028, 1, 0.0035, 0.113, 0.165 | PDLC00788,Cyclase_00028, 2, 180, 0.076, 0.121 | PDLC00820,Cyclase_00060, 1, 6.8e-15, 0.664, 0.87 | PDLC00818,Cyclase_00058, 1, 4.7e-15, 0.671, 0.938 | PDLC00769,Cyclase_00009, 1, 4.5e-11, 0.451, 0.743 | PDLC00790,Cyclase_00030, 1, 6e-13, 0.462, 0.632 | PDLC00776,Cyclase_00016, 1, 1.4e-23, 0.648, 0.979","PDLC00796, Cyclase_00036, 3.6e-193, 0.993, 0.993 | PDLC00792, Cyclase_00032, 3.1e-104, 0.531, 0.992 | PDLC00786, Cyclase_00026, 2.6e-101, 0.651, 0.997 | PDLC00814, Cyclase_00054, 2.3e-55, 0.648, 0.976 | PDLC00771, Cyclase_00011, 4.2e-43, 0.441, 0.745"
15,NZ_CP030880.1,cbass_type_I,NZ_CP030880.1_846,PDLC00695,Effector_00033,Effector,2.8999999999999996e-88,3.399999999999999e-88,0.94,0.969,986814,987416,+,# 986814 # 987416 # 1 # ;gc_cont=0.308,846,3114,"PDLC00695,Effector_00033, 1, 3.4e-88, 0.94, 0.969 | PDLC00709,Effector_00047, 1, 2.9e-73, 0.93, 0.788","PDLC00695, Effector_00033, 3.4e-88, 0.94, 0.969 | PDLC00709, Effector_00047, 2.9e-73, 0.93, 0.788"
10,NZ_CP030880.1,RM_type_I,NZ_CP030880.1_1064,PDLC03029,MTase_I_00012,MTase_I,7.8999999999999955e-286,8.799999999999996e-286,0.996,0.997,1218328,1220610,+,# 1218328 # 1220610 # 1 # ;gc_cont=0.404,1064,3114,"PDLC03039,MTase_I_00022, 1, 1.6e-33, 0.598, 0.596 | PDLC03019,MTase_I_00002, 1, 2.4e-31, 0.583, 0.441 | PDLC03029,MTase_I_00012, 1, 8.8e-286, 0.996, 0.997 | PDLC03020,MTase_I_00003, 1, 5.7e-13, 0.348, 0.629 | PDLC03035,MTase_I_00018, 1, 4.6e-31, 0.56, 0.619 | PDLC03035,MTase_I_00018, 2, 140, 0.091, 0.101 | PDLC03037,MTase_I_00020, 1, 5.7e-05, 0.255, 0.226 | PDLC03038,MTase_I_00021, 1, 1.1e-35, 0.594, 0.468 | PDLC03032,MTase_I_00015, 1, 72, 0.037, 0.028 | PDLC03032,MTase_I_00015, 2, 5e-27, 0.39, 0.275 | PDLC03022,MTase_I_00005, 1, 2.4e-42, 0.59, 0.516 | PDLC03022,MTase_I_00005, 2, 46, 0.062, 0.054 | PDLC03027,MTase_I_00010, 1, 4.3e-42, 0.476, 0.421 | PDLC03027,MTase_I_00010, 2, 75, 0.102, 0.094 | PDLC03033,MTase_I_00016, 1, 8.9e-25, 0.39, 0.523 | PDLC03031,MTase_I_00014, 1, 1.5e-49, 0.595, 0.544 | PDLC03028,MTase_I_00011, 1, 0.15, 0.064, 0.04 | PDLC03028,MTase_I_00011, 2, 3.1e-21, 0.402, 0.239 | PDLC03018,MTase_I_00001, 1, 0.00023, 0.104, 0.089 | PDLC03018,MTase_I_00001, 2, 0.01, 0.076, 0.079 | PDLC03018,MTase_I_00001, 3, 320, 0.07, 0.065 | PDLC03018,MTase_I_00001, 4, 200, 0.075, 0.048 | PDLC03036,MTase_I_00019, 1, 3.6e-08, 0.317, 0.359 | PDLC03025,MTase_I_00008, 1, 9.7e-19, 0.514, 0.633 | PDLC03025,MTase_I_00008, 2, 850, 0.066, 0.102 | PDLC03021,MTase_I_00004, 1, 5.7e-32, 0.488, 0.692 | PDLC03026,MTase_I_00009, 1, 1.1e-30, 0.497, 0.694","PDLC03029, MTase_I_00012, 8.8e-286, 0.996, 0.997 | PDLC03031, MTase_I_00014, 1.5e-49, 0.595, 0.544 | PDLC03022, MTase_I_00005, 2.4e-42, 0.59, 0.516 | PDLC03027, MTase_I_00010, 4.3e-42, 0.476, 0.421 | PDLC03038, MTase_I_00021, 1.1e-35, 0.594, 0.468"
10,NZ_CP030880.1,RM_type_I,NZ_CP030880.1_1065,PDLC03105,Specificity_I_00054,Specificity_I,1.9999999999999993e-132,2.2999999999999994e-132,0.978,0.996,1220610,1221977,+,# 1220610 # 1221977 # 1 # ;gc_cont=0.352,1065,3114,"PDLC03077,Specificity_I_00026, 1, 5.3e-07, 0.329, 0.365 | PDLC03077,Specificity_I_00026, 2, 1.1e-05, 0.268, 0.278 | PDLC03145,Specificity_I_00094, 1, 0.18, 0.068, 0.068 | PDLC03145,Specificity_I_00094, 2, 0.00024, 0.127, 0.128 | PDLC03145,Specificity_I_00094, 3, 0.18, 0.068, 0.066 | PDLC03145,Specificity_I_00094, 4, 0.00015, 0.121, 0.121 | PDLC03093,Specificity_I_00042, 1, 2.3e-05, 0.143, 0.174 | PDLC03093,Specificity_I_00042, 2, 8.2e-07, 0.211, 0.251 | PDLC03099,Specificity_I_00048, 1, 1.5e-20, 0.395, 0.447 | PDLC03099,Specificity_I_00048, 2, 1.2e-15, 0.493, 0.546 | PDLC03073,Specificity_I_00022, 1, 4.2e-69, 0.945, 0.986 | PDLC03091,Specificity_I_00040, 1, 1.2, 0.217, 0.24 | PDLC03091,Specificity_I_00040, 2, 1e-16, 0.623, 0.674 | PDLC03079,Specificity_I_00028, 1, 4.3e-10, 0.493, 0.494 | PDLC03079,Specificity_I_00028, 2, 1.7e-13, 0.474, 0.436 | PDLC03083,Specificity_I_00032, 1, 8.8e-05, 0.072, 0.046 | PDLC03083,Specificity_I_00032, 2, 1.2e-31, 0.647, 0.389 | PDLC03089,Specificity_I_00038, 1, 1.4e-05, 0.336, 0.352 | PDLC03089,Specificity_I_00038, 2, 1.2e-13, 0.353, 0.361 | PDLC03096,Specificity_I_00045, 1, 0.14, 0.401, 0.284 | PDLC03096,Specificity_I_00045, 2, 2.3e-09, 0.443, 0.305 | PDLC03154,Specificity_I_00103, 1, 5.5e-06, 0.331, 0.392 | PDLC03154,Specificity_I_00103, 2, 5.8e-14, 0.325, 0.357 | PDLC03072,Specificity_I_00021, 1, 2.4e-97, 0.965, 0.989 | PDLC03144,Specificity_I_00093, 1, 0.38, 0.127, 0.149 | PDLC03144,Specificity_I_00093, 2, 0.021, 0.219, 0.271 | PDLC03126,Specificity_I_00075, 1, 0.00031, 0.441, 0.307 | PDLC03126,Specificity_I_00075, 2, 0.0028, 0.217, 0.143 | PDLC03081,Specificity_I_00030, 1, 48, 0.103, 0.109 | PDLC03081,Specificity_I_00030, 2, 4.3e-06, 0.64, 0.663 | PDLC03169,Specificity_I_00118, 1, 3.3e-33, 0.82, 0.809 | PDLC03169,Specificity_I_00118, 2, 18, 0.064, 0.061 | PDLC03178,Specificity_I_00127, 1, 4.1e-10, 0.412, 0.465 | PDLC03178,Specificity_I_00127, 2, 1.5e-12, 0.371, 0.406 | PDLC03064,Specificity_I_00013, 1, 0.021, 0.184, 0.2 | PDLC03064,Specificity_I_00013, 2, 3.2e-09, 0.219, 0.252 | PDLC03185,Specificity_I_00134, 1, 7.3e-24, 0.406, 0.441 | PDLC03185,Specificity_I_00134, 2, 5e-07, 0.215, 0.23 | PDLC03150,Specificity_I_00099, 1, 6.6e-11, 0.553, 0.526 | PDLC03086,Specificity_I_00035, 1, 3.6e-07, 0.373, 0.38 | PDLC03086,Specificity_I_00035, 2, 37, 0.035, 0.035 | PDLC03086,Specificity_I_00035, 3, 2.2e-18, 0.36, 0.373 | PDLC03155,Specificity_I_00104, 1, 20, 0.075, 0.062 | PDLC03155,Specificity_I_00104, 2, 0.007, 0.219, 0.198 | PDLC03110,Specificity_I_00059, 1, 18, 0.147, 0.106 | PDLC03110,Specificity_I_00059, 2, 0.0023, 0.298, 0.22 | PDLC03107,Specificity_I_00056, 1, 1.5e-22, 0.853, 0.957 | PDLC03116,Specificity_I_00065, 1, 35, 0.075, 0.078 | PDLC03116,Specificity_I_00065, 2, 7.6e-07, 0.476, 0.528 | PDLC03195,Specificity_I_00144, 1, 350, 0.182, 0.154 | PDLC03195,Specificity_I_00144, 2, 0.022, 0.375, 0.33 | PDLC03060,Specificity_I_00009, 1, 2.9e-20, 0.368, 0.435 | PDLC03060,Specificity_I_00009, 2, 3.4e-07, 0.219, 0.244 | PDLC03114,Specificity_I_00063, 1, 0.34, 0.197, 0.22 | PDLC03114,Specificity_I_00063, 2, 3.5, 0.2, 0.217 | PDLC03069,Specificity_I_00018, 1, 11, 0.182, 0.22 | PDLC03069,Specificity_I_00018, 2, 4.4e-22, 0.544, 0.592 | PDLC03140,Specificity_I_00089, 1, 1.5e-09, 0.452, 0.488 | PDLC03140,Specificity_I_00089, 2, 0.00019, 0.053, 0.057 | PDLC03140,Specificity_I_00089, 3, 1.8e-09, 0.134, 0.146 | PDLC03092,Specificity_I_00041, 1, 6.4e-15, 0.421, 0.474 | PDLC03092,Specificity_I_00041, 2, 0.0022, 0.454, 0.499 | PDLC03120,Specificity_I_00069, 1, 60, 0.136, 0.126 | PDLC03120,Specificity_I_00069, 2, 0.00011, 0.261, 0.225 | PDLC03151,Specificity_I_00100, 1, 0.04, 0.191, 0.202 | PDLC03151,Specificity_I_00100, 2, 0.012, 0.206, 0.213 | PDLC03057,Specificity_I_00006, 1, 2e-19, 0.401, 0.445 | PDLC03057,Specificity_I_00006, 2, 11, 0.121, 0.135 | PDLC03191,Specificity_I_00140, 1, 3.3e-49, 0.956, 0.979 | PDLC03134,Specificity_I_00083, 1, 1e-09, 0.399, 0.432 | PDLC03134,Specificity_I_00083, 2, 4.3e-08, 0.452, 0.467 | PDLC03117,Specificity_I_00066, 1, 1e-10, 0.831, 0.701 | PDLC03158,Specificity_I_00107, 1, 2.5e-07, 0.412, 0.448 | PDLC03158,Specificity_I_00107, 2, 0.09, 0.121, 0.127 | PDLC03164,Specificity_I_00113, 1, 3e-06, 0.399, 0.401 | PDLC03164,Specificity_I_00113, 2, 6.2e-07, 0.447, 0.433 | PDLC03106,Specificity_I_00055, 1, 5.6, 0.204, 0.204 | PDLC03106,Specificity_I_00055, 2, 0.055, 0.421, 0.458 | PDLC03032,MTase_I_00015, 1, 8.3e-10, 0.406, 0.185 | PDLC03179,Specificity_I_00128, 1, 2.7e-06, 0.39, 0.301 | PDLC03179,Specificity_I_00128, 2, 1.6e-21, 0.515, 0.397 | PDLC03194,Specificity_I_00143, 1, 9.5e-17, 0.908, 0.987 | PDLC03153,Specificity_I_00102, 1, 1.8e-14, 0.447, 0.489 | PDLC03183,Specificity_I_00132, 1, 370, 0.035, 0.04 | PDLC03183,Specificity_I_00132, 2, 0.11, 0.094, 0.109 | PDLC03183,Specificity_I_00132, 3, 4.5e-06, 0.309, 0.355 | PDLC03100,Specificity_I_00049, 1, 1.6e-09, 0.421, 0.51 | PDLC03100,Specificity_I_00049, 2, 9e-14, 0.529, 0.574 | PDLC03139,Specificity_I_00088, 1, 3.7e-12, 0.478, 0.513 | PDLC03139,Specificity_I_00088, 2, 0.029, 0.064, 0.068 | PDLC03127,Specificity_I_00076, 1, 2.4e-07, 0.456, 0.38 | PDLC03127,Specificity_I_00076, 2, 4e-16, 0.447, 0.364 | PDLC03174,Specificity_I_00123, 1, 6.4e-05, 0.349, 0.34 | PDLC03174,Specificity_I_00123, 2, 1.9e-40, 0.599, 0.571 | PDLC03090,Specificity_I_00039, 1, 9.9e-80, 0.947, 0.993 | PDLC03186,Specificity_I_00135, 1, 780, 0.035, 0.038 | PDLC03186,Specificity_I_00135, 2, 0.27, 0.224, 0.222 | PDLC03186,Specificity_I_00135, 3, 0.033, 0.226, 0.248 | PDLC03147,Specificity_I_00096, 1, 1.4, 0.061, 0.065 | PDLC03147,Specificity_I_00096, 2, 1.4e-38, 0.721, 0.773 | PDLC03095,Specificity_I_00044, 1, 98, 0.154, 0.131 | PDLC03095,Specificity_I_00044, 2, 3.4e-09, 0.235, 0.228 | PDLC03095,Specificity_I_00044, 3, 0.99, 0.175, 0.154 | PDLC03163,Specificity_I_00112, 1, 2.8e-06, 0.487, 0.528 | PDLC03163,Specificity_I_00112, 2, 0.2, 0.215, 0.235 | PDLC03163,Specificity_I_00112, 3, 0.23, 0.287, 0.283 | PDLC03112,Specificity_I_00061, 1, 0.00025, 0.39, 0.508 | PDLC03112,Specificity_I_00061, 2, 0.00021, 0.355, 0.452 | PDLC03076,Specificity_I_00025, 1, 6.3e-07, 0.322, 0.301 | PDLC03076,Specificity_I_00025, 2, 1.9e-13, 0.441, 0.395 | PDLC03168,Specificity_I_00117, 1, 4.9e-09, 0.36, 0.362 | PDLC03168,Specificity_I_00117, 2, 2.4e-14, 0.36, 0.351 | PDLC03068,Specificity_I_00017, 1, 4.8e-12, 0.399, 0.407 | PDLC03068,Specificity_I_00017, 2, 1.8e-11, 0.445, 0.437 | PDLC03196,Specificity_I_00145, 1, 0.091, 0.329, 0.191 | PDLC03196,Specificity_I_00145, 2, 1.4e-09, 0.298, 0.172 | PDLC03087,Specificity_I_00036, 1, 2.7e-13, 0.498, 0.533 | PDLC03087,Specificity_I_00036, 2, 2.8e-15, 0.439, 0.474 | PDLC03103,Specificity_I_00052, 1, 0.0079, 0.395, 0.457 | PDLC03103,Specificity_I_00052, 2, 0.27, 0.178, 0.209 | PDLC03165,Specificity_I_00114, 1, 1.9e-35, 0.914, 0.973 | PDLC03061,Specificity_I_00010, 1, 78, 0.101, 0.125 | PDLC03061,Specificity_I_00010, 2, 4.9e-06, 0.601, 0.678 | PDLC03175,Specificity_I_00124, 1, 13, 0.149, 0.139 | PDLC03175,Specificity_I_00124, 2, 5.7e-16, 0.678, 0.699 | PDLC03084,Specificity_I_00033, 1, 3.8e-10, 0.329, 0.39 | PDLC03084,Specificity_I_00033, 2, 4.6e-12, 0.373, 0.444 | PDLC03101,Specificity_I_00050, 1, 5.4e-07, 0.41, 0.457 | PDLC03101,Specificity_I_00050, 2, 6.5e-09, 0.441, 0.479 | PDLC03171,Specificity_I_00120, 1, 62, 0.162, 0.112 | PDLC03171,Specificity_I_00120, 2, 9.3e-08, 0.441, 0.315 | PDLC03189,Specificity_I_00138, 1, 2.8e-08, 0.344, 0.333 | PDLC03189,Specificity_I_00138, 2, 8e-05, 0.346, 0.349 | PDLC03189,Specificity_I_00138, 3, 1.4e-15, 0.327, 0.316 | PDLC03085,Specificity_I_00034, 1, 0.00098, 0.599, 0.641 | PDLC03071,Specificity_I_00020, 1, 1.8e-44, 0.939, 0.993 | PDLC03123,Specificity_I_00072, 1, 11, 0.173, 0.19 | PDLC03123,Specificity_I_00072, 2, 0.0036, 0.211, 0.247 | PDLC03156,Specificity_I_00105, 1, 1.2e-12, 0.401, 0.433 | PDLC03156,Specificity_I_00105, 2, 2.9e-07, 0.456, 0.472 | PDLC03146,Specificity_I_00095, 1, 3.3e-05, 0.189, 0.2 | PDLC03146,Specificity_I_00095, 2, 1.4e-05, 0.239, 0.26 | PDLC03122,Specificity_I_00071, 1, 0.02, 0.103, 0.119 | PDLC03122,Specificity_I_00071, 2, 7e-05, 0.239, 0.282 | PDLC03122,Specificity_I_00071, 3, 0.048, 0.232, 0.258 | PDLC03118,Specificity_I_00067, 1, 5e-06, 0.406, 0.445 | PDLC03118,Specificity_I_00067, 2, 2.6e-07, 0.298, 0.312 | PDLC03129,Specificity_I_00078, 1, 1.8e-06, 0.445, 0.473 | PDLC03070,Specificity_I_00019, 1, 0.00064, 0.355, 0.379 | PDLC03070,Specificity_I_00019, 2, 1.8e-28, 0.684, 0.715 | PDLC03172,Specificity_I_00121, 1, 240, 0.055, 0.058 | PDLC03172,Specificity_I_00121, 2, 7.2e-11, 0.763, 0.814 | PDLC03109,Specificity_I_00058, 1, 1.1e-06, 0.43, 0.359 | PDLC03109,Specificity_I_00058, 2, 0.028, 0.232, 0.183 | PDLC03109,Specificity_I_00058, 3, 0.0014, 0.213, 0.164 | PDLC03066,Specificity_I_00015, 1, 1.1e-09, 0.919, 0.966 | PDLC03142,Specificity_I_00091, 1, 8.2e-39, 0.928, 0.88 | PDLC03124,Specificity_I_00073, 1, 0.00051, 0.404, 0.433 | PDLC03124,Specificity_I_00073, 2, 2.6e-09, 0.283, 0.324 | PDLC03148,Specificity_I_00097, 1, 0.03, 0.487, 0.481 | PDLC03148,Specificity_I_00097, 2, 7.6e-12, 0.259, 0.263 | PDLC03113,Specificity_I_00062, 1, 1.7e-07, 0.732, 0.758 | PDLC03160,Specificity_I_00109, 1, 47, 0.048, 0.057 | PDLC03160,Specificity_I_00109, 2, 0.056, 0.268, 0.311 | PDLC03160,Specificity_I_00109, 3, 0.081, 0.149, 0.155 | PDLC03160,Specificity_I_00109, 4, 27, 0.158, 0.189 | PDLC03162,Specificity_I_00111, 1, 7.5e-46, 0.923, 0.972 | PDLC03054,Specificity_I_00003, 1, 6.4e-13, 0.548, 0.616 | PDLC03159,Specificity_I_00108, 1, 0.0099, 0.307, 0.275 | PDLC03105,Specificity_I_00054, 1, 2.3e-132, 0.978, 0.996 | PDLC03119,Specificity_I_00068, 1, 6.6e-14, 0.384, 0.438 | PDLC03119,Specificity_I_00068, 2, 0.00023, 0.298, 0.328 | PDLC03133,Specificity_I_00082, 1, 7.9e-11, 0.384, 0.412 | PDLC03108,Specificity_I_00057, 1, 1.3e-37, 0.906, 0.898 | PDLC03098,Specificity_I_00047, 1, 1.8e-14, 0.382, 0.411 | PDLC03098,Specificity_I_00047, 2, 4.4e-14, 0.452, 0.456 | PDLC03078,Specificity_I_00027, 1, 1.9e-06, 0.404, 0.444 | PDLC03078,Specificity_I_00027, 2, 5.1e-11, 0.309, 0.346 | PDLC03161,Specificity_I_00110, 1, 8.5e-05, 0.386, 0.425 | PDLC03161,Specificity_I_00110, 2, 34, 0.101, 0.111 | PDLC03170,Specificity_I_00119, 1, 15, 0.031, 0.032 | PDLC03170,Specificity_I_00119, 2, 2.6e-09, 0.452, 0.469 | PDLC03166,Specificity_I_00115, 1, 7.1e-07, 0.318, 0.27 | PDLC03166,Specificity_I_00115, 2, 85, 0.081, 0.498","PDLC03105, Specificity_I_00054, 2.3e-132, 0.978, 0.996 | PDLC03072, Specificity_I_00021, 2.4e-97, 0.965, 0.989 | PDLC03090, Specificity_I_00039, 9.9e-80, 0.947, 0.993 | PDLC03073, Specificity_I_00022, 4.2e-69, 0.945, 0.986 | PDLC03191, Specificity_I_00140, 3.3e-49, 0.956, 0.979"
1,NZ_CP030880.1,AbiD,NZ_CP030880.1_1066,PDLC02344,AbiD,AbiD,5.3e-75,6.099999999999999e-75,0.958,0.975,1222192,1223109,+,# 1222192 # 1223109 # 1 # ;gc_cont=0.399,1066,3114,"PDLC02344,AbiD, 1, 6.1e-75, 0.958, 0.975","PDLC02344, AbiD, 6.1e-75, 0.958, 0.975"
10,NZ_CP030880.1,RM_type_I,NZ_CP030880.1_1067,PDLC03040,REase_I_00001,REase_I,6.4e-38,2.5e-37,0.807,0.79,1223146,1226406,+,# 1223146 # 1226406 # 1 # ;gc_cont=0.403,1067,3114,"PDLC03045,REase_I_00006, 1, 0.015, 0.035, 0.038 | PDLC03045,REase_I_00006, 2, 0.028, 0.124, 0.122 | PDLC03045,REase_I_00006, 3, 0.00012, 0.192, 0.223 | PDLC03044,REase_I_00005, 1, 1.1, 0.028, 0.029 | PDLC03044,REase_I_00005, 2, 3.6e-09, 0.433, 0.445 | PDLC03048,REase_I_00009, 1, 6.4e-14, 0.291, 0.29 | PDLC03048,REase_I_00009, 2, 0.00037, 0.113, 0.116 | PDLC03048,REase_I_00009, 3, 7.8e-06, 0.348, 0.36 | PDLC03041,REase_I_00002, 1, 0.00041, 0.132, 0.126 | PDLC03041,REase_I_00002, 2, 1.5e-08, 0.204, 0.21 | PDLC03046,REase_I_00007, 1, 21, 0.022, 0.024 | PDLC03046,REase_I_00007, 2, 0.0022, 0.117, 0.124 | PDLC03046,REase_I_00007, 3, 2.4e-08, 0.086, 0.089 | PDLC03040,REase_I_00001, 1, 2.5e-37, 0.807, 0.79","PDLC03040, REase_I_00001, 2.5e-37, 0.807, 0.79 | PDLC03048, REase_I_00009, 6.4e-14, 0.291, 0.29 | PDLC03044, REase_I_00005, 3.6e-09, 0.433, 0.445 | PDLC03041, REase_I_00002, 1.5e-08, 0.204, 0.21 | PDLC03046, REase_I_00007, 2.4e-08, 0.086, 0.089"
12,NZ_CP030880.1,RM_type_III,NZ_CP030880.1_1072,PDLC03635,MTase_III_00004,MTase_III,1.2999999999999997e-120,1.4999999999999997e-120,0.993,0.61,1229076,1230446,+,# 1229076 # 1230446 # 1 # ;gc_cont=0.336,1072,3114,"PDLC03636,MTase_III_00005, 1, 2.1e-56, 0.81, 0.61 | PDLC03642,MTase_III_00011, 1, 6.2e-16, 0.182, 0.15 | PDLC03642,MTase_III_00011, 2, 99, 0.061, 0.051 | PDLC03642,MTase_III_00011, 3, 0.73, 0.09, 0.078 | PDLC03637,MTase_III_00006, 1, 1.5e-11, 0.175, 0.148 | PDLC03637,MTase_III_00006, 2, 0.015, 0.085, 0.076 | PDLC03644,MTase_III_00013, 1, 8.9e-21, 0.241, 0.192 | PDLC03644,MTase_III_00013, 2, 2.4e-29, 0.35, 0.277 | PDLC03643,MTase_III_00012, 1, 2.2e-11, 0.175, 0.163 | PDLC03643,MTase_III_00012, 2, 0.17, 0.094, 0.09 | PDLC03634,MTase_III_00003, 1, 1.3e-31, 0.667, 0.404 | PDLC03639,MTase_III_00008, 1, 1.8e-07, 0.21, 0.144 | PDLC03639,MTase_III_00008, 2, 0.035, 0.088, 0.063 | PDLC03635,MTase_III_00004, 1, 1.5e-120, 0.993, 0.61 | PDLC03633,MTase_III_00002, 1, 3.5e-05, 0.101, 0.075 | PDLC03633,MTase_III_00002, 2, 3.6e-14, 0.276, 0.19 | PDLC03641,MTase_III_00010, 1, 1.2e-31, 0.676, 0.374 | PDLC03640,MTase_III_00009, 1, 3.4e-09, 0.177, 0.127 | PDLC03640,MTase_III_00009, 2, 1.1e-09, 0.276, 0.202 | PDLC03646,MTase_III_00015, 1, 4.3e-10, 0.86, 0.36 | PDLC03632,MTase_III_00001, 1, 4.4e-08, 0.123, 0.055 | PDLC03632,MTase_III_00001, 2, 5.5e-06, 0.085, 0.04 | PDLC03638,MTase_III_00007, 1, 1.7e-47, 0.867, 0.385","PDLC03635, MTase_III_00004, 1.5e-120, 0.993, 0.61 | PDLC03636, MTase_III_00005, 2.1e-56, 0.81, 0.61 | PDLC03638, MTase_III_00007, 1.7e-47, 0.867, 0.385 | PDLC03641, MTase_III_00010, 1.2e-31, 0.676, 0.374 | PDLC03634, MTase_III_00003, 1.3e-31, 0.667, 0.404"
12,NZ_CP030880.1,RM_type_III,NZ_CP030880.1_1073,PDLC03651,REase_III_00005,REase_III,2.7999999999999992e-95,6.399999999999998e-95,0.903,0.919,1230439,1233276,+,# 1230439 # 1233276 # 1 # ;gc_cont=0.365,1073,3114,"PDLC03651,REase_III_00005, 1, 6.4e-95, 0.903, 0.919","PDLC03651, REase_III_00005, 6.4e-95, 0.903, 0.919"
