sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
NZ_CP038022.1_Gabija_5	Gabija	Gabija	Defense	NZ_CP038022.1_609	NZ_CP038022.1_610	NZ_CP038022.1_609,NZ_CP038022.1_610	2	Gabija__GajA,Gabija__GajB_2
NZ_CP038022.1_CBASS_I_2	CBASS	CBASS_I	Defense	NZ_CP038022.1_640	NZ_CP038022.1_641	NZ_CP038022.1_640,NZ_CP038022.1_641	2	CBASS__Cyclase_II,CBASS__Effector_4TM_S_4TM
NZ_CP038022.1_PARIS_II_9	Paris	PARIS_II	Defense	NZ_CP038022.1_1092	NZ_CP038022.1_1093	NZ_CP038022.1_1092,NZ_CP038022.1_1093	2	Paris_II__AriA_AAA21,Paris_II__AriB_DUF4435_II
NZ_CP038022.1_TgvAB_11	TgvAB	TgvAB	Defense	NZ_CP038022.1_1351	NZ_CP038022.1_1352	NZ_CP038022.1_1351,NZ_CP038022.1_1352	2	TgvAB__TgvA,TgvAB__TgvB
NZ_CP038022.1_Eleos_4	Eleos	Eleos	Defense	NZ_CP038022.1_1353	NZ_CP038022.1_1354	NZ_CP038022.1_1353,NZ_CP038022.1_1354	2	Eleos__LeoA,Eleos__LeoBC
NZ_CP038022.1_Mokosh_Type_I_A_8	Mokosh	Mokosh_Type_I_A	Defense	NZ_CP038022.1_1355	NZ_CP038022.1_1356	NZ_CP038022.1_1355,NZ_CP038022.1_1356	2	Mokosh_type_I__MkoA_A,Mokosh_type_I__MkoB_A
NZ_CP038022.1_CoCoNut_I-A_3	CoCoNut	CoCoNut_I-A	Defense	NZ_CP038022.1_1357	NZ_CP038022.1_1358	NZ_CP038022.1_1357,NZ_CP038022.1_1358	2	CoCoNut-I-A__I-A_CnuB,CoCoNut-I-A__I-A_CnuC
NZ_CP038022.1_Gabija_6	Gabija	Gabija	Defense	NZ_CP038022.1_1359	NZ_CP038022.1_1360	NZ_CP038022.1_1359,NZ_CP038022.1_1360	2	Gabija__GajA,Gabija__GajB_2
NZ_CP038022.1_CAS_Class1-Subtype-I-F_12	Cas	CAS_Class1-Subtype-I-F	Defense	NZ_CP038022.1_1684	NZ_CP038022.1_1690	NZ_CP038022.1_1684,NZ_CP038022.1_1686,NZ_CP038022.1_1687,NZ_CP038022.1_1688,NZ_CP038022.1_1689,NZ_CP038022.1_1690	6	cas1_I-F_1,cas3f_I-F_1,cas5f_I-F_2,cas6f_I_II_III_IV_V_VI_3,cas7f_I-F_1,cas8f_I-F_6
NZ_CP038022.1_PD-T7-5_10	PD-T7-5	PD-T7-5	Defense	NZ_CP038022.1_2577	NZ_CP038022.1_2577	NZ_CP038022.1_2577	1	PD-T7-5__PD-T7-5
