hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_CP068253.1_3	NZ_CP068253.1	3	361	Paris_II__AriA_AAA21	5.7e-17	59.7	0.798	0.909	1	328
NZ_CP068253.1_66	NZ_CP068253.1	66	377	RM_Type_II__Type_II_MTases_FAM_3	1.6e-05	22.1	0.403	0.321	214	334
NZ_CP068253.1_66	NZ_CP068253.1	66	377	RM_Type_II__Type_II_MTases_FAM_25	1.6e-19	67.6	0.575	0.708	17	283
NZ_CP068253.1_66	NZ_CP068253.1	66	377	RM_Type_II__Type_II_MTases_FAM_7	3.2999999999999996e-23	79.9	0.601	0.703	23	287
NZ_CP068253.1_75	NZ_CP068253.1	75	500	TniQ_I-F_1	6.7e-18	63.5	0.978	0.306	4	156
NZ_CP068253.1_149	NZ_CP068253.1	149	187	DarTG__DarG	3.6e-54	181.6	0.735	0.92	4	175
NZ_CP068253.1_229	NZ_CP068253.1	229	240	SoFic__SoFic	2.8000000000000003e-84	280.9	0.637	0.938	5	229
NZ_CP068253.1_232	NZ_CP068253.1	232	268	Thoeris__ThsB_Global	1.3e-17	61.8	0.565	0.44	132	249
NZ_CP068253.1_397	NZ_CP068253.1	397	352	RT_I_II_III_IV_V_VI_1	3.3e-24	82.9	0.519	0.435	35	187
NZ_CP068253.1_397	NZ_CP068253.1	397	352	UG17__UG17	1.9e-119	396.9	0.741	0.991	2	350
NZ_CP068253.1_400	NZ_CP068253.1	400	200	DRT_3__SLATT	7.7e-07	26.1	0.765	0.745	14	162
NZ_CP068253.1_400	NZ_CP068253.1	400	200	DRT9__SLATT	1.2e-11	41.9	0.768	0.78	6	161
NZ_CP068253.1_400	NZ_CP068253.1	400	200	AbiA_small__SLATT	6.6000000000000005e-34	114.8	0.822	0.775	11	165
NZ_CP068253.1_431	NZ_CP068253.1	431	220	ShosTA__ShosT	1.4e-09	35.6	0.616	0.636	67	206
NZ_CP068253.1_503	NZ_CP068253.1	503	1056	RM_Type_IIG__Type_IIG_FAM_2.einsi_trimmed	6.399999999999999e-287	952.7	0.969	0.98	17	1051
NZ_CP068253.1_542	NZ_CP068253.1	542	544	DISARM__drmC	1.9e-15	54.7	0.46	0.263	349	491
NZ_CP068253.1_544	NZ_CP068253.1	544	160	Zorya__ZorB	2.6e-07	27.8	0.536	0.762	34	155
NZ_CP068253.1_571	NZ_CP068253.1	571	153	PD-T4-9__PD-T4-9_C	7.1e-06	23.8	0.947	0.843	10	138
NZ_CP068253.1_575	NZ_CP068253.1	575	195	DEDDh_I_II_III_IV_V_VI_1	1.3e-11	42.5	0.812	0.728	20	161
NZ_CP068253.1_604	NZ_CP068253.1	604	272	Gao_Qat__QatD	1.6e-11	41.6	0.732	0.732	64	262
NZ_CP068253.1_607	NZ_CP068253.1	607	274	CBASS__AG_E1_ThiF	1.6e-37	126.8	0.811	0.898	23	268
NZ_CP068253.1_629	NZ_CP068253.1	629	746	RM_Type_II__Type_II_MTases_FAM_33	2e-27	93.7	0.451	0.362	181	450
NZ_CP068253.1_629	NZ_CP068253.1	629	746	PrrC__EcoprrI	1.6999999999999998e-47	160.6	0.884	0.716	8	541
NZ_CP068253.1_629	NZ_CP068253.1	629	746	RM__Type_I_MTases_FAM_0	3.7e-67	224.9	0.857	0.647	10	492
NZ_CP068253.1_629	NZ_CP068253.1	629	746	RM__Type_I_MTases_FAM_3	5.1e-253	838.7	0.991	0.984	9	742
NZ_CP068253.1_630	NZ_CP068253.1	630	420	PrrC__EcoprrI	3.6e-09	34.3	0.435	0.588	129	375
NZ_CP068253.1_630	NZ_CP068253.1	630	420	RM__Type_I_S_06	3.1999999999999997e-29	99.7	0.739	0.936	21	413
NZ_CP068253.1_630	NZ_CP068253.1	630	420	RM__Type_I_S_01	1.2e-38	130.5	0.575	0.926	19	407
NZ_CP068253.1_630	NZ_CP068253.1	630	420	RM__Type_I_S_51	1.8e-45	152.8	0.83	0.948	18	415
