sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
NZ_CP068253.1_SoFic_3	SoFIC	SoFic	Defense	NZ_CP068253.1_229	NZ_CP068253.1_229	NZ_CP068253.1_229	1	SoFic__SoFic
NZ_CP068253.1_UG17_4	All_UG	UG17	Defense	NZ_CP068253.1_397	NZ_CP068253.1_400	NZ_CP068253.1_397,NZ_CP068253.1_400	2	AbiA_small__SLATT,UG17__UG17
NZ_CP068253.1_RM_Type_IIG_11	RM	RM_Type_IIG	Defense	NZ_CP068253.1_503	NZ_CP068253.1_503	NZ_CP068253.1_503	1	RM_Type_IIG__Type_IIG_FAM_2.einsi_trimmed
NZ_CP068253.1_RM_Type_I_9	RM	RM_Type_I	Defense	NZ_CP068253.1_629	NZ_CP068253.1_631	NZ_CP068253.1_629,NZ_CP068253.1_630,NZ_CP068253.1_631	3	RM__Type_I_MTases_FAM_3,RM__Type_I_REases_FAM_1.einsi_trimmed,RM__Type_I_S_04
NZ_CP068253.1_RM_Type_I_10	RM	RM_Type_I	Defense	NZ_CP068253.1_765	NZ_CP068253.1_766	NZ_CP068253.1_765,NZ_CP068253.1_766	2	RM__Type_I_MTases_FAM_1,RM__Type_I_REases_FAM_2.einsi_trimmed
NZ_CP068253.1_Wadjet_I_6	Wadjet	Wadjet_I	Defense	NZ_CP068253.1_952	NZ_CP068253.1_955	NZ_CP068253.1_952,NZ_CP068253.1_953,NZ_CP068253.1_954,NZ_CP068253.1_955	4	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I,Wadjet__JetD_I
NZ_CP068253.1_RM_Type_IV_12	RM	RM_Type_IV	Defense	NZ_CP068253.1_1372	NZ_CP068253.1_1372	NZ_CP068253.1_1372	1	RM_Type_IV__FAM_2
NZ_CP068253.1_CAS_Class1-Subtype-I-F_13	Cas	CAS_Class1-Subtype-I-F	Defense	NZ_CP068253.1_2255	NZ_CP068253.1_2261	NZ_CP068253.1_2255,NZ_CP068253.1_2256,NZ_CP068253.1_2257,NZ_CP068253.1_2258,NZ_CP068253.1_2259,NZ_CP068253.1_2261	6	cas1_I-F_1,cas3f_I-F_1,cas5f_I-F_4,cas6f_I_II_III_IV_V_VI_3,cas7f_I-F_2,cas8f_I-F_8
NZ_CP068253.1_Gabija_2	Gabija	Gabija	Defense	NZ_CP068253.1_2512	NZ_CP068253.1_2513	NZ_CP068253.1_2512,NZ_CP068253.1_2513	2	Gabija__GajA,Gabija__GajB_2
NZ_CP068253.1_DRT_2_1	DRT	DRT_2	Defense	NZ_CP068253.1_2927	NZ_CP068253.1_2927	NZ_CP068253.1_2927	1	DRT2__DRT2
