hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_CP018909.1_10	NZ_CP018909.1	10	187	Zorya__ZorB	6.4e-07	26.7	0.457	0.556	75	178
NZ_CP018909.1_31	NZ_CP018909.1	31	223	CBASS__QueC	3.1e-20	70.8	0.941	0.915	3	206
NZ_CP018909.1_31	NZ_CP018909.1	31	223	Dpd__QueC	4.5e-48	161.2	0.991	0.987	1	220
NZ_CP018909.1_159	NZ_CP018909.1	159	394	Retron_VII_2__DUF3800	2.5e-11	41.9	0.981	0.734	12	300
NZ_CP018909.1_201	NZ_CP018909.1	201	183	Dpd__FolE	4e-87	288.3	0.983	0.973	1	178
NZ_CP018909.1_251	NZ_CP018909.1	251	229	DEDDh_I_II_III_IV_V_VI_1	6.2e-19	66.5	1.0	0.694	4	162
NZ_CP018909.1_298	NZ_CP018909.1	298	384	Shango__SngC	3.5e-15	53.4	0.525	0.948	10	373
NZ_CP018909.1_307	NZ_CP018909.1	307	514	ShosTA__ShosT	0.0001	19.9	0.532	0.216	285	395
NZ_CP018909.1_377	NZ_CP018909.1	377	336	WYL_I_II_III_IV_V_VI_1	1.1e-15	55.7	0.955	0.955	9	329
NZ_CP018909.1_377	NZ_CP018909.1	377	336	WYL_I_II_III_IV_V_VI_4	3.7e-25	86.8	0.948	0.515	157	329
NZ_CP018909.1_413	NZ_CP018909.1	413	259	CBASS__AG_E1_ThiF	1.2e-65	219.0	0.984	0.9	20	252
NZ_CP018909.1_461	NZ_CP018909.1	461	571	recD_IV-D_1	5.4e-18	62.2	0.45	0.63	3	362
NZ_CP018909.1_556	NZ_CP018909.1	556	257	RM_Type_II__Type_II_MTases	1.7e-43	146.6	0.73	0.992	2	256
NZ_CP018909.1_728	NZ_CP018909.1	728	759	Dodola__DolB	3.8e-21	73.4	0.491	0.254	423	615
NZ_CP018909.1_836	NZ_CP018909.1	836	376	RM_Type_II__Type_II_REases	1.4e-17	61.9	0.477	0.324	195	316
NZ_CP018909.1_893	NZ_CP018909.1	893	600	Gao_Qat__QatA	1.8000000000000002e-85	285.6	0.917	0.968	3	583
