hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_AP024524.1_3	NZ_AP024524.1	3	361	Paris_II__AAA_21	5.4e-11	40.3	0.977	0.842	25	328
NZ_AP024524.1_49	NZ_AP024524.1	49	395	cas12f2_V-F_1	3.8e-41	138.7	0.497	0.646	112	366
NZ_AP024524.1_98	NZ_AP024524.1	98	511	TniQ_I-F_1	2.8999999999999996e-23	80.8	0.986	0.303	4	158
NZ_AP024524.1_204	NZ_AP024524.1	204	380	PsyrTA__PsyrA	5.100000000000001e-31	105.4	0.613	0.637	70	311
NZ_AP024524.1_204	NZ_AP024524.1	204	380	ShosTA__ShosA	4.6e-64	213.8	0.904	0.753	10	295
NZ_AP024524.1_234	NZ_AP024524.1	234	367	TniQ_I-F_1	4.9e-13	47.6	0.993	0.373	10	146
NZ_AP024524.1_238	NZ_AP024524.1	238	335	Retron_III__PRTase_WH	5.5e-17	59.3	0.603	0.875	30	322
NZ_AP024524.1_238	NZ_AP024524.1	238	335	Retron_III__PRTase	1.6e-19	67.9	0.947	0.913	18	323
NZ_AP024524.1_239	NZ_AP024524.1	239	469	RM_Type_II__Type_II_MTases	1.1e-61	206.5	1.074	0.878	57	468
NZ_AP024524.1_249	NZ_AP024524.1	249	431	RM_Type_II__Type_II_MTases	6.600000000000001e-84	279.5	0.989	0.875	17	393
NZ_AP024524.1_290	NZ_AP024524.1	290	554	Retron_I_A__ATPase_TypeIA	5.9e-10	36.2	0.421	0.446	2	248
NZ_AP024524.1_310	NZ_AP024524.1	310	464	Septu__PtuA	1.9e-52	176.9	0.922	0.957	1	444
NZ_AP024524.1_310	NZ_AP024524.1	310	464	Retron_I_A__ATPase_TypeIA	1.1e-84	282.8	0.858	0.968	1	449
NZ_AP024524.1_421	NZ_AP024524.1	421	600	PsyrTA__PsyrT	6.1e-17	58.4	0.478	0.565	24	362
NZ_AP024524.1_421	NZ_AP024524.1	421	600	Shango__SngC	2.7e-23	79.9	0.508	0.59	10	363
NZ_AP024524.1_430	NZ_AP024524.1	430	212	ShosTA__ShosT	1.6e-09	35.3	0.549	0.637	72	206
NZ_AP024524.1_664	NZ_AP024524.1	664	568	DISARM__drmC	1.5e-15	54.9	0.517	0.282	355	514
NZ_AP024524.1_681	NZ_AP024524.1	681	354	Zorya__ZorB	4.2e-08	30.3	0.438	0.282	236	335
NZ_AP024524.1_698	NZ_AP024524.1	698	300	AbiT__AbiTii	8.000000000000001e-20	69.0	0.959	0.733	2	221
NZ_AP024524.1_883	NZ_AP024524.1	883	635	Gao_Iet__IetA	2.3000000000000002e-30	103.3	0.558	0.353	170	393
NZ_AP024524.1_981	NZ_AP024524.1	981	255	AbiJ__AbiJ	4.2e-17	59.9	0.474	0.561	104	246
NZ_AP024524.1_996	NZ_AP024524.1	996	223	CBASS__QueC	4.6000000000000004e-20	70.0	0.936	0.91	4	206
NZ_AP024524.1_996	NZ_AP024524.1	996	223	Dpd__QueC	5.199999999999999e-47	157.4	0.986	0.982	2	220
NZ_AP024524.1_997	NZ_AP024524.1	997	237	Dpd__QueE	5.5e-05	20.3	0.462	0.456	74	181
NZ_AP024524.1_1047	NZ_AP024524.1	1047	233	DEDDh_I_II_III_IV_V_VI_1	9.5e-19	65.6	1.0	0.682	4	162
NZ_AP024524.1_1166	NZ_AP024524.1	1166	468	DarTG__DarT	1.2e-31	107.5	0.985	0.453	4	215
NZ_AP024524.1_1167	NZ_AP024524.1	1167	368	DarTG__DarG	2.7e-19	67.3	0.607	0.383	1	141
NZ_AP024524.1_1169	NZ_AP024524.1	1169	675	RM__Type_I_REases	3.3000000000000004e-120	400.5	0.66	0.947	4	642
NZ_AP024524.1_1179	NZ_AP024524.1	1179	729	RM_Type_IV__Type_IV_REases	1.4e-83	279.4	0.734	0.586	284	710
NZ_AP024524.1_1180	NZ_AP024524.1	1180	426	RM_Type_IV__Type_IV_REases	2.6e-97	323.4	0.789	0.977	5	420
NZ_AP024524.1_1201	NZ_AP024524.1	1201	414	RT_I_II_III_IV_V_VI_1	3.3000000000000003e-78	260.0	0.909	0.684	11	293
NZ_AP024524.1_1224	NZ_AP024524.1	1224	572	recD_IV-D_1	9.7e-15	51.1	0.45	0.629	3	362
NZ_AP024524.1_1248	NZ_AP024524.1	1248	258	Gao_Qat__QatD	2.9e-13	47.2	0.957	0.984	2	255
NZ_AP024524.1_1254	NZ_AP024524.1	1254	199	Dpd__QueD	2e-08	32.1	0.783	0.487	5	101
