system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
1,NZ_CP017938.1,DRT_class_I,NZ_CP017938.1_76,PDLC03783,drt-UG7,Drt8,1.1999999999999997e-126,1.3999999999999996e-126,0.959,0.961,108124,109749,-,-,76,3706,"PDLC03749,drt-UG13a, 1, 2.7e-24, 0.437, 0.411 | PDLC03770,drt-UG31, 1, 1.5e-19, 0.705, 0.732 | PDLC03770,drt-UG31, 2, 75, 0.149, 0.156 | PDLC02178,Drt4_00002, 1, 4.7e-20, 0.299, 0.33 | PDLC03761,drt-UG23, 1, 1.5e-30, 0.424, 0.458 | PDLC03759,drt-UG21, 1, 5.8e-40, 0.932, 0.932 | PDLC03786,drt-UG9_small, 1, 4.1e-24, 0.467, 0.466 | PDLC03758,drt-UG20, 1, 1.3e-32, 0.53, 0.536 | PDLC02177,Drt4_00001, 1, 3.8e-14, 0.537, 0.542 | PDLC03783,drt-UG7, 1, 1.4e-126, 0.959, 0.961 | PDLC03785,drt-UG9_large, 1, 5.6e-30, 0.67, 0.452 | PDLC03743,drt-AbiK, 1, 7.8e-13, 0.474, 0.474 | PDLC03772,drt-UG33, 1, 2.4e-19, 0.62, 0.592 | PDLC03750,drt-UG13b, 1, 7.9e-20, 0.288, 0.386 | PDLC03769,drt-UG30, 1, 5e-14, 0.415, 0.446 | PDLC03769,drt-UG30, 2, 6.5, 0.105, 0.116 | PDLC02179,Drt4_00003, 1, 1.8e-16, 0.321, 0.332 | PDLC03773,drt-UG34, 1, 1.7e-31, 0.568, 0.609 | PDLC02182,Drt5_00002, 1, 3.3e-06, 0.31, 0.454 | PDLC03751,drt-UG14, 1, 1.8e-13, 0.314, 0.379 | PDLC03751,drt-UG14, 2, 420, 0.052, 0.17 | PDLC02175,Drt3a_00002, 1, 9.8e-15, 0.264, 0.345 | PDLC03748,drt-UG12, 1, 1.1e-18, 0.435, 0.462 | PDLC02174,Drt3a_00001, 1, 1.6e-12, 0.258, 0.347 | PDLC03768,drt-UG3, 1, 5.8e-18, 0.26, 0.311 | PDLC02348,AbiK, 1, 5.1e-13, 0.292, 0.289 | PDLC03774,drt-UG35, 1, 8.7e-16, 0.339, 0.193 | PDLC03784,drt-UG8, 1, 2.9e-13, 0.417, 0.343 | PDLC03744,drt-AbiP2, 1, 2.1e-16, 0.539, 0.54 | PDLC03771,drt-UG32, 1, 1.9e-34, 0.487, 0.474 | PDLC02181,Drt5_00001, 1, 7.6e-13, 0.446, 0.487 | PDLC03746,drt-UG10_large, 1, 9.1e-16, 0.317, 0.115 | PDLC03746,drt-UG10_large, 2, 58, 0.255, 0.073 | PDLC03756,drt-UG19, 1, 4.8e-34, 0.686, 0.635 | PDLC03752,drt-UG15, 1, 6.2e-23, 0.367, 0.43 | PDLC03747,drt-UG10_small, 1, 4.1e-15, 0.494, 0.341 | PDLC02180,Drt4_00004, 1, 2.7e-21, 0.358, 0.37 | PDLC03753,drt-UG16, 1, 6.9e-13, 0.801, 0.809 | PDLC03760,drt-UG22, 1, 1.1e-27, 0.792, 0.803 | PDLC02176,Drt3b_00001, 1, 3.5e-11, 0.312, 0.281","PDLC03783, drt-UG7, 1.4e-126, 0.959, 0.961 | PDLC03759, drt-UG21, 5.8e-40, 0.932, 0.932 | PDLC03771, drt-UG32, 1.9e-34, 0.487, 0.474 | PDLC03756, drt-UG19, 4.8e-34, 0.686, 0.635 | PDLC03758, drt-UG20, 1.3e-32, 0.53, 0.536"
3,NZ_CP017938.1,PDC-S07,NZ_CP017938.1_1004,PDLC04899,PDC-S07_WP_110056698.1,PDC-S07,4.3e-44,4.7e-44,0.962,0.926,1113093,1113491,+,-,1004,3706,"PDLC04899,PDC-S07_WP_110056698.1, 1, 4.7e-44, 0.962, 0.926","PDLC04899, PDC-S07_WP_110056698.1, 4.7e-44, 0.962, 0.926"
6,NZ_CP017938.1,RosmerTA,NZ_CP017938.1_1362,PDLC03949,RosmerTA__RmrA_2634932349,RmrA,1.1999999999999997e-128,1.4999999999999996e-128,0.958,0.939,1505133,1506278,-,-,1362,3706,"PDLC03950,RosmerTA__RmrA_2641389401, 1, 1.2e-72, 0.992, 0.995 | PDLC03952,RosmerTA__RmrA_2664250653, 1, 6.9e-61, 0.942, 0.904 | PDLC03946,RosmerTA__RmrA_2617826694, 1, 1.2e-30, 0.314, 0.339 | PDLC03946,RosmerTA__RmrA_2617826694, 2, 1.9e-71, 0.607, 0.653 | PDLC03948,RosmerTA__RmrA_2634882613, 1, 3.6e-56, 0.932, 0.887 | PDLC03955,RosmerTA__RmrA_2734955840, 1, 5.4e-55, 0.927, 0.903 | PDLC03944,RosmerTA__RmrA_2600853143, 1, 1.8e-47, 0.874, 0.846 | PDLC03947,RosmerTA__RmrA_2623274509, 1, 1.5e-65, 0.921, 0.903 | PDLC03956,RosmerTA__RmrA_2753529055, 1, 2.4e-44, 0.921, 0.867 | PDLC03954,RosmerTA__RmrA_2677172838, 1, 1.4e-57, 0.955, 0.947 | PDLC03951,RosmerTA__RmrA_2662548665, 1, 1.2e-50, 0.945, 0.88 | PDLC03949,RosmerTA__RmrA_2634932349, 1, 1.5e-128, 0.958, 0.939 | PDLC03953,RosmerTA__RmrA_2676476075, 1, 6.9e-32, 0.853, 0.847 | PDLC03943,RosmerTA__RmrA_2585209417, 1, 3.6e-05, 0.306, 0.319 | PDLC03943,RosmerTA__RmrA_2585209417, 2, 1.1e-39, 0.558, 0.597 | PDLC03945,RosmerTA__RmrA_2603008502, 1, 7.5e-37, 0.953, 0.947","PDLC03949, RosmerTA__RmrA_2634932349, 1.5e-128, 0.958, 0.939 | PDLC03950, RosmerTA__RmrA_2641389401, 1.2e-72, 0.992, 0.995 | PDLC03946, RosmerTA__RmrA_2617826694, 1.9e-71, 0.607, 0.653 | PDLC03947, RosmerTA__RmrA_2623274509, 1.5e-65, 0.921, 0.903 | PDLC03952, RosmerTA__RmrA_2664250653, 6.9e-61, 0.942, 0.904"
6,NZ_CP017938.1,RosmerTA,NZ_CP017938.1_1363,PDLC03935,RosmerTA__RmrT_2634932349,RmrT,5.999999999999999e-42,7.7e-42,0.861,0.966,1506290,1507045,-,-,1363,3706,"PDLC03932,RosmerTA__RmrT_2617826694, 1, 1.1e-11, 0.865, 0.957 | PDLC03935,RosmerTA__RmrT_2634932349, 1, 7.7e-42, 0.861, 0.966","PDLC03935, RosmerTA__RmrT_2634932349, 7.7e-42, 0.861, 0.966 | PDLC03932, RosmerTA__RmrT_2617826694, 1.1e-11, 0.865, 0.957"
5,NZ_CP017938.1,RM_type_III,NZ_CP017938.1_1366,PDLC03634,MTase_III_00003,MTase_III,5.299999999999998e-181,6.599999999999998e-181,0.973,0.99,1511587,1513587,+,-,1366,3706,"PDLC03636,MTase_III_00005, 1, 6.3e-14, 0.121, 0.148 | PDLC03636,MTase_III_00005, 2, 2e-18, 0.127, 0.15 | PDLC03636,MTase_III_00005, 3, 4e-06, 0.114, 0.123 | PDLC03645,MTase_III_00014, 1, 7.5e-06, 0.072, 0.069 | PDLC03645,MTase_III_00014, 2, 6.6e-05, 0.138, 0.13 | PDLC03645,MTase_III_00014, 3, 2.7e-07, 0.069, 0.068 | PDLC03642,MTase_III_00011, 1, 1.3e-14, 0.135, 0.176 | PDLC03642,MTase_III_00011, 2, 9.4e-17, 0.124, 0.159 | PDLC03642,MTase_III_00011, 3, 3.1e-12, 0.094, 0.119 | PDLC03637,MTase_III_00006, 1, 2.3e-57, 0.361, 0.433 | PDLC03637,MTase_III_00006, 2, 7e-26, 0.175, 0.216 | PDLC03644,MTase_III_00013, 1, 1.3e-42, 0.292, 0.343 | PDLC03644,MTase_III_00013, 2, 4e-14, 0.111, 0.142 | PDLC03643,MTase_III_00012, 1, 1.7e-10, 0.108, 0.157 | PDLC03643,MTase_III_00012, 2, 4.7e-17, 0.135, 0.202 | PDLC03634,MTase_III_00003, 1, 6.6e-181, 0.973, 0.99 | PDLC03639,MTase_III_00008, 1, 1.8e-23, 0.298, 0.28 | PDLC03639,MTase_III_00008, 2, 1.4e-09, 0.096, 0.1 | PDLC03635,MTase_III_00004, 1, 1e-12, 0.073, 0.071 | PDLC03635,MTase_III_00004, 2, 1.4e-21, 0.418, 0.403 | PDLC03633,MTase_III_00002, 1, 2.5e-14, 0.249, 0.26 | PDLC03633,MTase_III_00002, 2, 0.31, 0.087, 0.084 | PDLC03641,MTase_III_00010, 1, 2.1e-84, 0.802, 0.778 | PDLC03640,MTase_III_00009, 1, 4.6e-29, 0.243, 0.245 | PDLC03640,MTase_III_00009, 2, 1.8e-13, 0.079, 0.081 | PDLC03646,MTase_III_00015, 1, 1.6e-07, 0.069, 0.044 | PDLC03646,MTase_III_00015, 2, 5.7e-07, 0.115, 0.073 | PDLC03646,MTase_III_00015, 3, 2e-10, 0.096, 0.061 | PDLC03632,MTase_III_00001, 1, 3.9e-09, 0.196, 0.132 | PDLC03638,MTase_III_00007, 1, 2.5e-06, 0.067, 0.058 | PDLC03638,MTase_III_00007, 2, 2.9e-11, 0.12, 0.102 | PDLC03638,MTase_III_00007, 3, 0.32, 0.078, 0.056","PDLC03634, MTase_III_00003, 6.6e-181, 0.973, 0.99 | PDLC03641, MTase_III_00010, 2.1e-84, 0.802, 0.778 | PDLC03637, MTase_III_00006, 2.3e-57, 0.361, 0.433 | PDLC03644, MTase_III_00013, 1.3e-42, 0.292, 0.343 | PDLC03640, MTase_III_00009, 4.6e-29, 0.243, 0.245"
2,NZ_CP017938.1,HEC-06,NZ_CP017938.1_1367,PDLC04154,HEC-06_WP_081759119.1,HEC-06,2.5999999999999995e-62,5.199999999999999e-62,0.975,0.968,1513600,1515285,+,-,1367,3706,"PDLC04156,HEC-06_WP_121069231.1, 1, 4.3e-13, 0.151, 0.151 | PDLC04156,HEC-06_WP_121069231.1, 2, 3e-04, 0.16, 0.164 | PDLC04156,HEC-06_WP_121069231.1, 3, 26, 0.19, 0.18 | PDLC04154,HEC-06_WP_081759119.1, 1, 5.2e-62, 0.975, 0.968 | PDLC04155,HEC-06_WP_012631435.1, 1, 2e-60, 0.995, 0.993 | PDLC04157,HEC-06_WP_099323492.1, 1, 2e-61, 0.961, 0.959","PDLC04154, HEC-06_WP_081759119.1, 5.2e-62, 0.975, 0.968 | PDLC04157, HEC-06_WP_099323492.1, 2e-61, 0.961, 0.959 | PDLC04155, HEC-06_WP_012631435.1, 2e-60, 0.995, 0.993 | PDLC04156, HEC-06_WP_121069231.1, 4.3e-13, 0.151, 0.151"
5,NZ_CP017938.1,RM_type_III,NZ_CP017938.1_1368,PDLC03647,REase_III_00001,REase_III,0,0,0.993,0.993,1515289,1518324,+,-,1368,3706,"PDLC03647,REase_III_00001, 1, 0, 0.993, 0.993 | PDLC03648,REase_III_00002, 1, 5.8e-10, 0.121, 0.129 | PDLC03648,REase_III_00002, 2, 320, 0.055, 0.067 | PDLC03650,REase_III_00004, 1, 110, 0.096, 0.111 | PDLC03650,REase_III_00004, 2, 4.1e-05, 0.083, 0.091 | PDLC03650,REase_III_00004, 3, 10, 0.029, 0.032 | PDLC03649,REase_III_00003, 1, 1.5e-101, 0.975, 0.971 | PDLC03653,REase_III_00007, 1, 2.5, 0.099, 0.114 | PDLC03653,REase_III_00007, 2, 220, 0.042, 0.045 | PDLC03653,REase_III_00007, 3, 0.0012, 0.051, 0.059","PDLC03647, REase_III_00001, 0, 0.993, 0.993 | PDLC03649, REase_III_00003, 1.5e-101, 0.975, 0.971 | PDLC03648, REase_III_00002, 5.8e-10, 0.121, 0.129 | PDLC03650, REase_III_00004, 4.1e-05, 0.083, 0.091 | PDLC03653, REase_III_00007, 0.0012, 0.051, 0.059"
4,NZ_CP017938.1,PDC-S64,NZ_CP017938.1_2099,PDLC05058,PDC-S64_WP_182393034.1,PDC-S64,2.3000000000000002e-58,3.2e-58,0.887,0.915,2270131,2271087,+,-,2099,3706,"PDLC05058,PDC-S64_WP_182393034.1, 1, 3.2e-58, 0.887, 0.915 | PDLC05059,PDC-S64_WP_231016627.1, 1, 1.3e-10, 0.925, 0.888","PDLC05058, PDC-S64_WP_182393034.1, 3.2e-58, 0.887, 0.915 | PDLC05059, PDC-S64_WP_231016627.1, 1.3e-10, 0.925, 0.888"
7,NZ_CP017938.1,dXTPase,NZ_CP017938.1_2258,PDLC02374,dGTPase,dGTPase,1.3999999999999997e-154,1.5999999999999997e-154,0.975,0.891,2441562,2442899,-,-,2258,3706,"PDLC02374,dGTPase, 1, 1.6e-154, 0.975, 0.891","PDLC02374, dGTPase, 1.6e-154, 0.975, 0.891"
8,NZ_CP017938.1,gabija,NZ_CP017938.1_2259,PDLC00070,GajA_00010,GajA,8.399999999999998e-111,9.999999999999999e-111,0.969,0.482,2443287,2444168,+,-,2259,3706,"PDLC00076,GajA_00016, 1, 0.053, 0.245, 0.101 | PDLC00076,GajA_00016, 2, 21, 0.075, 0.034 | PDLC00077,GajA_00017, 1, 2e-11, 0.381, 0.208 | PDLC00077,GajA_00017, 2, 3.9e-14, 0.537, 0.255 | PDLC00083,GajA_00023, 1, 3.4e-15, 0.966, 0.452 | PDLC00082,GajA_00022, 1, 1.7e-05, 0.17, 0.073 | PDLC00082,GajA_00022, 2, 2.4, 0.109, 0.048 | PDLC00090,GajA_00030, 1, 4.2e-15, 0.861, 0.401 | PDLC00078,GajA_00018, 1, 6.2e-11, 0.207, 0.107 | PDLC00078,GajA_00018, 2, 88, 0.146, 0.074 | PDLC00078,GajA_00018, 3, 370, 0.102, 0.052 | PDLC00091,GajA_00031, 1, 1.7e-26, 0.973, 0.469 | PDLC00075,GajA_00015, 1, 7.9e-08, 0.741, 0.377 | PDLC00081,GajA_00021, 1, 1.9e-20, 0.864, 0.432 | PDLC00100,GajA_00040, 1, 2.9e-08, 0.153, 0.074 | PDLC00061,GajA_00001, 1, 0.00022, 0.211, 0.094 | PDLC04168,GajA_WP_183617960.1, 1, 0.0044, 0.262, 0.132 | PDLC04168,GajA_WP_183617960.1, 2, 47, 0.143, 0.07 | PDLC04170,GajA_WP_158867532.1, 1, 0.0074, 0.289, 0.15 | PDLC00102,GajA_00042, 1, 2.7e-07, 0.221, 0.124 | PDLC00096,GajA_00036, 1, 1.1e-24, 0.963, 0.454 | PDLC00092,GajA_00032, 1, 9.7e-27, 0.963, 0.507 | PDLC00072,GajA_00012, 1, 3.4e-18, 0.391, 0.168 | PDLC00072,GajA_00012, 2, 2.3e-20, 0.486, 0.209 | PDLC00067,GajA_00007, 1, 3.4e-09, 0.259, 0.119 | PDLC00067,GajA_00007, 2, 0.0096, 0.306, 0.147 | PDLC00062,GajA_00002, 1, 3e-09, 0.561, 0.275 | PDLC00095,GajA_00035, 1, 6.6e-06, 0.214, 0.078 | PDLC00079,GajA_00019, 1, 0.00011, 0.207, 0.084 | PDLC00099,GajA_00039, 1, 5.5e-21, 0.956, 0.471 | PDLC00064,GajA_00004, 1, 3.4e-28, 0.429, 0.265 | PDLC00066,GajA_00006, 1, 8.2e-24, 0.986, 0.496 | PDLC00086,GajA_00026, 1, 4.6e-07, 0.218, 0.107 | PDLC00063,GajA_00003, 1, 1e-05, 0.218, 0.09 | PDLC00063,GajA_00003, 2, 12, 0.071, 0.031 | PDLC00070,GajA_00010, 1, 1e-110, 0.969, 0.482 | PDLC00094,GajA_00034, 1, 5.9e-13, 0.694, 0.371 | PDLC00085,GajA_00025, 1, 6.9e-07, 0.163, 0.084 | PDLC00073,GajA_00013, 1, 1.4e-22, 0.939, 0.452 | PDLC00071,GajA_00011, 1, 9e-25, 0.959, 0.459 | PDLC00101,GajA_00041, 1, 1.2e-09, 0.946, 0.421 | PDLC00093,GajA_00033, 1, 2.4e-05, 0.207, 0.077 | PDLC00093,GajA_00033, 2, 390, 0.071, 0.029 | PDLC00098,GajA_00038, 1, 1.3e-06, 0.303, 0.159 | PDLC00065,GajA_00005, 1, 0.00033, 0.163, 0.084 | PDLC00065,GajA_00005, 2, 5.1, 0.5, 0.219 | PDLC00069,GajA_00009, 1, 2.2e-16, 0.384, 0.173 | PDLC00069,GajA_00009, 2, 7.4e-06, 0.534, 0.252 | PDLC00080,GajA_00020, 1, 2.7e-22, 0.963, 0.465","PDLC00070, GajA_00010, 1e-110, 0.969, 0.482 | PDLC00064, GajA_00004, 3.4e-28, 0.429, 0.265 | PDLC00092, GajA_00032, 9.7e-27, 0.963, 0.507 | PDLC00091, GajA_00031, 1.7e-26, 0.973, 0.469 | PDLC00071, GajA_00011, 9e-25, 0.959, 0.459"
