hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_CP009257.1_67	NZ_CP009257.1	67	810	Dodola__DolB	4.8e-12	43.6	0.917	0.43	224	571
NZ_CP009257.1_197	NZ_CP009257.1	197	1148	RM__Type_I_REases	9.6e-138	458.8	0.852	0.8	226	1143
NZ_CP009257.1_198	NZ_CP009257.1	198	387	RM__Type_I_S	3e-76	255.5	0.546	0.99	4	386
NZ_CP009257.1_199	NZ_CP009257.1	199	494	RM_Type_II__Type_II_MTases	1.6999999999999998e-53	180.2	0.981	0.755	6	378
NZ_CP009257.1_199	NZ_CP009257.1	199	494	RM__Type_I_MTases	6.5e-181	600.1	0.955	0.996	1	492
NZ_CP009257.1_283	NZ_CP009257.1	283	493	DISARM_2__drmMII	2.6e-26	90.5	0.501	0.396	15	209
NZ_CP009257.1_283	NZ_CP009257.1	283	493	RM_Type_II__Type_II_MTases	4.1000000000000003e-32	109.8	0.951	0.947	15	481
NZ_CP009257.1_283	NZ_CP009257.1	283	493	Druantia_II__DruM	2.3000000000000002e-35	120.5	0.811	0.943	17	481
NZ_CP009257.1_301	NZ_CP009257.1	301	227	DEDDh_I_II_III_IV_V_VI_1	2.9e-19	67.7	0.981	0.683	4	158
NZ_CP009257.1_323	NZ_CP009257.1	323	1199	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	1.4e-18	64.3	0.494	0.403	1	483
NZ_CP009257.1_323	NZ_CP009257.1	323	1199	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	2.4000000000000002e-20	71.1	0.779	0.422	1	506
NZ_CP009257.1_337	NZ_CP009257.1	337	680	Gabija__GajB_1	1.5e-38	130.7	0.939	0.91	7	625
NZ_CP009257.1_337	NZ_CP009257.1	337	680	Gabija__GajB_2	6.7e-107	356.4	0.774	0.943	3	643
NZ_CP009257.1_338	NZ_CP009257.1	338	218	Zorya__ZorB	4.9e-09	33.8	0.551	0.61	81	213
NZ_CP009257.1_446	NZ_CP009257.1	446	199	Dpd__QueD	1.8e-08	32.7	0.792	0.492	5	102
NZ_CP009257.1_452	NZ_CP009257.1	452	258	Gao_Qat__QatD	2.6e-15	54.4	0.957	0.984	2	255
NZ_CP009257.1_632	NZ_CP009257.1	632	654	Dnd__DndA	1.5e-41	140.6	0.865	0.521	270	610
NZ_CP009257.1_727	NZ_CP009257.1	727	409	Retron_III__PRTase	1.4e-09	35.7	0.83	0.631	11	268
NZ_CP009257.1_727	NZ_CP009257.1	727	409	Retron_III__PRTase_WH	2.7e-158	525.5	0.905	0.995	2	408
NZ_CP009257.1_729	NZ_CP009257.1	729	391	Retron__RT_Tot	9.5e-123	407.8	1.087	0.995	1	389
NZ_CP009257.1_772	NZ_CP009257.1	772	893	Dodola__DolB	1e-27	95.2	0.715	0.309	467	742
NZ_CP009257.1_774	NZ_CP009257.1	774	256	Zorya__ZorB	4.5e-09	33.9	0.475	0.426	145	253
NZ_CP009257.1_918	NZ_CP009257.1	918	472	Zorya__ZorB	5.8e-06	23.8	0.513	0.248	353	469
NZ_CP009257.1_925	NZ_CP009257.1	925	860	Dodola__DolB	3.4999999999999996e-22	76.9	0.531	0.251	507	722
NZ_CP009257.1_1080	NZ_CP009257.1	1080	1076	Mokosh_type_I__MkoA_D	3.2000000000000003e-71	239.1	0.643	0.717	282	1052
NZ_CP009257.1_1104	NZ_CP009257.1	1104	221	DEDDh_I_II_III_IV_V_VI_1	6.2e-24	82.9	0.994	0.805	24	201
NZ_CP009257.1_1112	NZ_CP009257.1	1112	460	DEDDh_I_II_III_IV_V_VI_1	3.1e-33	113.1	0.994	0.348	234	393
NZ_CP009257.1_1194	NZ_CP009257.1	1194	334	FS_HsdR_like__DUF6731	4.5e-34	116.0	0.942	0.979	6	332
NZ_CP009257.1_1267	NZ_CP009257.1	1267	571	recD_IV-D_1	3.8e-19	66.2	0.45	0.63	3	362
NZ_CP009257.1_1317	NZ_CP009257.1	1317	259	CBASS__AG_E1_ThiF	6.1e-66	220.2	0.984	0.9	20	252
NZ_CP009257.1_1352	NZ_CP009257.1	1352	336	WYL_I_II_III_IV_V_VI_1	1.1e-15	55.9	0.955	0.955	9	329
NZ_CP009257.1_1352	NZ_CP009257.1	1352	336	WYL_I_II_III_IV_V_VI_4	6.2e-25	86.2	0.948	0.515	157	329
NZ_CP009257.1_1440	NZ_CP009257.1	1440	514	ShosTA__ShosT	0.00011	20.0	0.532	0.216	285	395
NZ_CP009257.1_1449	NZ_CP009257.1	1449	384	Shango__SngC	7.9e-16	55.7	0.525	0.948	10	373
NZ_CP009257.1_1498	NZ_CP009257.1	1498	229	DEDDh_I_II_III_IV_V_VI_1	7.8e-19	66.3	1.0	0.694	4	162
NZ_CP009257.1_1652	NZ_CP009257.1	1652	336	FS_HsdR_like__DUF6731	1.1e-33	114.7	0.942	0.979	6	334
NZ_CP009257.1_1655	NZ_CP009257.1	1655	756	RM_Type_II__Type_II_MTases	2.4999999999999996e-53	179.6	1.085	0.488	153	521
NZ_CP009257.1_1655	NZ_CP009257.1	1655	756	RM__Type_I_MTases	9.6e-76	253.2	0.691	0.456	234	578
NZ_CP009257.1_1675	NZ_CP009257.1	1675	185	Dpd__FolE	6.8e-88	291.0	0.994	0.973	1	180
NZ_CP009257.1_1833	NZ_CP009257.1	1833	224	CBASS__QueC	4.0000000000000004e-20	70.6	0.936	0.906	4	206
NZ_CP009257.1_1833	NZ_CP009257.1	1833	224	Dpd__QueC	7e-48	160.8	0.986	0.978	2	220
NZ_CP009257.1_1853	NZ_CP009257.1	1853	188	Zorya__ZorB	3.8e-07	27.6	0.46	0.559	75	179
NZ_CP009257.1_1947	NZ_CP009257.1	1947	599	Gao_Iet__IetA	2.9999999999999997e-29	100.1	0.558	0.374	132	355
NZ_CP009257.1_2163	NZ_CP009257.1	2163	357	Zorya__ZorB	1.1e-07	29.4	0.438	0.28	232	331
NZ_CP009257.1_2214	NZ_CP009257.1	2214	488	DISARM__drmC	1.7e-12	45.4	0.626	0.361	258	433
NZ_CP009257.1_2270	NZ_CP009257.1	2270	542	DISARM__drmC	2.4e-12	44.9	0.415	0.244	356	487
NZ_CP009257.1_2372	NZ_CP009257.1	2372	214	ShosTA__ShosT	2.9e-09	34.9	0.629	0.682	62	207
NZ_CP009257.1_2382	NZ_CP009257.1	2382	616	Shango__SngC	3.4e-23	80.0	0.508	0.575	10	363
NZ_CP009257.1_2401	NZ_CP009257.1	2401	370	Paris_I__AAA_15	1.1e-15	56.1	1.0	0.859	1	318
NZ_CP009257.1_2401	NZ_CP009257.1	2401	370	Paris_II__AAA_21	7.5e-18	63.3	0.997	0.797	24	318
NZ_CP009257.1_2401	NZ_CP009257.1	2401	370	Retron_I_B__ATPase_TOPRIM_COG3593	5.1e-19	66.8	0.608	0.965	2	358
NZ_CP009257.1_2437	NZ_CP009257.1	2437	453	AbiH__AbiH	5.9e-24	83.4	1.0	0.874	3	398
NZ_CP009257.1_2560	NZ_CP009257.1	2560	973	recD_IV-D_1	3e-21	73.1	0.499	0.38	338	707
NZ_CP009257.1_2668	NZ_CP009257.1	2668	316	RT_I_II_III_IV_V_VI_1	1.5e-18	64.6	0.778	0.731	28	258
NZ_CP009257.1_2668	NZ_CP009257.1	2668	316	Retron__RT_Tot	6.8e-138	457.0	0.987	0.978	5	313
NZ_CP009257.1_2669	NZ_CP009257.1	2669	515	Paris_II__AAA_21	4.2000000000000004e-20	70.7	0.997	0.656	80	417
NZ_CP009257.1_2669	NZ_CP009257.1	2669	515	Paris_I__AAA_15	5.3e-26	90.0	0.995	0.699	58	417
NZ_CP009257.1_2669	NZ_CP009257.1	2669	515	Retron_I_B__ATPase_TOPRIM_COG3593	1.2e-26	92.0	0.579	0.728	58	432
NZ_CP009257.1_2669	NZ_CP009257.1	2669	515	Paris_II__AriA_AAA21	1.2000000000000001e-30	105.1	0.829	0.713	57	423
NZ_CP009257.1_2669	NZ_CP009257.1	2669	515	Septu__PtuA	5.7e-90	301.1	0.945	0.878	59	510
NZ_CP009257.1_2669	NZ_CP009257.1	2669	515	Retron_I_A__ATPase_TypeIA	4.9e-168	558.4	0.978	0.996	1	513
NZ_CP009257.1_2670	NZ_CP009257.1	2670	214	Retron_I_A__HNH_TIGR02646	1.5e-28	98.1	0.902	0.986	1	211
NZ_CP009257.1_2670	NZ_CP009257.1	2670	214	Septu__PtuB	1.3e-36	124.9	0.911	0.986	1	211
NZ_CP009257.1_2801	NZ_CP009257.1	2801	361	Paris_II__AriA_AAA21	1.7e-15	55.2	0.798	0.909	1	328
NZ_CP009257.1_2908	NZ_CP009257.1	2908	286	Retron_VII_2__DUF3800	3.1e-09	35.4	0.981	0.636	6	187
NZ_CP009257.1_2986	NZ_CP009257.1	2986	384	PsyrTA__PsyrA	1.8e-29	100.9	0.59	0.604	89	320
NZ_CP009257.1_2986	NZ_CP009257.1	2986	384	ShosTA__ShosA	1.6e-62	209.3	0.891	0.734	21	302
NZ_CP009257.1_3033	NZ_CP009257.1	3033	431	RM_Type_II__Type_II_MTases	8.4e-85	283.0	0.989	0.875	17	393
NZ_CP009257.1_3101	NZ_CP009257.1	3101	640	RM_Type_II__Type_II_REases	2.1e-08	32.1	0.618	0.317	1	203
NZ_CP009257.1_3128	NZ_CP009257.1	3128	556	Retron_I_A__ATPase_TypeIA	2.4e-08	31.4	0.438	0.415	2	232
NZ_CP009257.1_3149	NZ_CP009257.1	3149	461	Septu__PtuA	6.2e-44	149.4	0.713	0.783	1	361
NZ_CP009257.1_3149	NZ_CP009257.1	3149	461	Retron_I_A__ATPase_TypeIA	3.9e-107	357.4	0.886	0.957	1	441
NZ_CP009257.1_3150	NZ_CP009257.1	3150	501	Gabija__GajB_3	1.7e-06	25.5	0.562	0.527	214	477
NZ_CP009257.1_3160	NZ_CP009257.1	3160	1233	Gabija__GajB_2	2.4999999999999996e-47	159.7	0.631	0.606	121	867
NZ_CP009257.1_3204	NZ_CP009257.1	3204	232	WYL_I_II_III_IV_V_VI_4	3.7e-14	51.1	0.523	0.392	136	226
NZ_CP009257.1_3204	NZ_CP009257.1	3204	232	WYL_I_II_III_IV_V_VI_1	3.3e-58	195.6	0.728	0.966	1	224
NZ_CP009257.1_3244	NZ_CP009257.1	3244	660	Gabija__GajB_3	1.4e-17	61.9	0.669	0.429	23	305
NZ_CP009257.1_3244	NZ_CP009257.1	3244	660	Gabija__GajB_1	2.0999999999999999e-38	130.3	0.923	0.885	15	598
NZ_CP009257.1_3244	NZ_CP009257.1	3244	660	Gabija__GajB_2	5.2e-82	274.2	0.749	0.933	9	624
NZ_CP009257.1_3315	NZ_CP009257.1	3315	153	PD-T4-9__PD-T4-9_C	5.2e-06	24.6	0.947	0.843	11	139
NZ_CP009257.1_3319	NZ_CP009257.1	3319	189	DEDDh_I_II_III_IV_V_VI_1	1.3e-10	39.6	0.812	0.751	10	151
NZ_CP009257.1_3343	NZ_CP009257.1	3343	271	Gao_Qat__QatD	3.2e-11	41.0	0.591	0.572	64	218
NZ_CP009257.1_3346	NZ_CP009257.1	3346	255	CBASS__AG_E1_ThiF	2.2e-37	126.7	0.816	0.89	23	249
NZ_CP009257.1_3456	NZ_CP009257.1	3456	252	Paris_II__AriB_DUF4435_II	2.0000000000000002e-20	71.8	0.766	0.825	11	218
NZ_CP009257.1_3456	NZ_CP009257.1	3456	252	Paris_I__AriB_DUF4435_I	1.2e-23	82.4	0.763	0.841	1	212
NZ_CP009257.1_3459	NZ_CP009257.1	3459	193	Paris_I__AAA_15	2.5e-13	48.4	0.437	0.865	13	179
NZ_CP009257.1_3459	NZ_CP009257.1	3459	193	Paris_II__AAA_21	9.1e-18	63.0	0.523	0.694	46	179
NZ_CP009257.1_3462	NZ_CP009257.1	3462	171	Paris_I__AAA_15	4.8e-12	44.1	0.402	0.942	1	161
NZ_CP009257.1_3540	NZ_CP009257.1	3540	1150	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1e-09	35.9	0.543	0.3	772	1116
NZ_CP009257.1_3590	NZ_CP009257.1	3590	314	MMB_gp29_gp30__gp29	7.5e-15	52.5	0.874	0.879	35	310
NZ_CP009257.1_3658	NZ_CP009257.1	3658	1154	PsyrTA__PsyrT	1.7e-06	24.4	0.467	0.272	609	922
