system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
9,NZ_CP014477.1,ietAS,NZ_CP014477.1_231,PDLC02196,IetA_00002,IetA,5.8999999999999986e-92,7.599999999999999e-92,0.954,0.963,278806,279906,+,-,231,3717,"PDLC04231,IetA_WP_229193352.1, 1, 2.4e-44, 0.439, 0.615 | PDLC02195,IetA_00001, 1, 8.4e-82, 0.826, 0.795 | PDLC04232,IetA_WP_225151863.1, 1, 2.1e-63, 0.839, 0.942 | PDLC02196,IetA_00002, 1, 7.6e-92, 0.954, 0.963","PDLC02196, IetA_00002, 7.6e-92, 0.954, 0.963 | PDLC02195, IetA_00001, 8.4e-82, 0.826, 0.795 | PDLC04232, IetA_WP_225151863.1, 2.1e-63, 0.839, 0.942 | PDLC04231, IetA_WP_229193352.1, 2.4e-44, 0.439, 0.615"
9,NZ_CP014477.1,ietAS,NZ_CP014477.1_232,PDLC02197,IetS_00001,IetS,1.6e-45,2.3e-45,0.951,0.943,279909,282101,+,-,232,3717,"PDLC02197,IetS_00001, 1, 2.3e-45, 0.951, 0.943 | PDLC02199,IetS_00003, 1, 0.12, 0.153, 0.128 | PDLC02199,IetS_00003, 2, 3.5e-25, 0.406, 0.384 | PDLC04233,IetS_WP_226782225.1, 1, 7.9, 0.067, 0.073 | PDLC04233,IetS_WP_226782225.1, 2, 32, 0.062, 0.067 | PDLC04233,IetS_WP_226782225.1, 3, 1.2e-06, 0.267, 0.206 | PDLC02202,IetS_00006, 1, 2.8e-17, 0.319, 0.312 | PDLC02201,IetS_00005, 1, 2.9e-31, 0.689, 0.667 | PDLC02200,IetS_00004, 1, 4.8e-15, 0.468, 0.478","PDLC02197, IetS_00001, 2.3e-45, 0.951, 0.943 | PDLC02201, IetS_00005, 2.9e-31, 0.689, 0.667 | PDLC02199, IetS_00003, 3.5e-25, 0.406, 0.384 | PDLC02202, IetS_00006, 2.8e-17, 0.319, 0.312 | PDLC02200, IetS_00004, 4.8e-15, 0.468, 0.478"
1,NZ_CP014477.1,DMS_other,NZ_CP014477.1_702,PDLC03665,Control_protein_00002,Control_protein,9.1e-15,9.2e-15,0.887,0.831,768762,768974,+,-,702,3717,"PDLC03664,Control_protein_00001, 1, 1.6e-14, 0.831, 0.797 | PDLC03536,REase_II_00138, 1, 1.5e-06, 0.676, 0.203 | PDLC03668,Control_protein_00005, 1, 4.5e-11, 0.789, 0.709 | PDLC03671,Control_protein_00008, 1, 2.4e-06, 0.676, 0.571 | PDLC03666,Control_protein_00003, 1, 2.8e-09, 0.831, 0.766 | PDLC03665,Control_protein_00002, 1, 9.2e-15, 0.887, 0.831 | PDLC04142,capH, 1, 1.4e-08, 0.873, 0.602","PDLC03665, Control_protein_00002, 9.2e-15, 0.887, 0.831 | PDLC03664, Control_protein_00001, 1.6e-14, 0.831, 0.797 | PDLC03668, Control_protein_00005, 4.5e-11, 0.789, 0.709 | PDLC03666, Control_protein_00003, 2.8e-09, 0.831, 0.766 | PDLC04142, capH, 1.4e-08, 0.873, 0.602"
1,NZ_CP014477.1,DMS_other,NZ_CP014477.1_704,PDLC03227,MTase_II_00013,MTase_II,6.7999999999999985e-108,8.399999999999998e-108,0.973,0.957,771938,773398,+,-,704,3717,"PDLC03313,MTase_II_00099, 1, 1.6e-06, 0.261, 0.231 | PDLC03313,MTase_II_00099, 2, 14, 0.053, 0.046 | PDLC02527,PglX_00013, 1, 3e-05, 0.16, 0.058 | PDLC02527,PglX_00013, 1, 3e-05, 0.16, 0.058 | PDLC02525,PglX_00011, 1, 0.00042, 0.251, 0.204 | PDLC02525,PglX_00011, 1, 0.00042, 0.251, 0.204 | PDLC04134,mads_2, 1, 2.1e-21, 0.45, 0.372 | PDLC02518,PglX_00004, 1, 0.009, 0.226, 0.076 | PDLC02518,PglX_00004, 1, 0.009, 0.226, 0.076 | PDLC03267,MTase_II_00053, 1, 1.2e-12, 0.476, 0.419 | PDLC03267,MTase_II_00053, 2, 470, 0.057, 0.052 | PDLC03267,MTase_II_00053, 3, 49, 0.076, 0.069 | PDLC03285,MTase_II_00071, 1, 9.2e-08, 0.462, 0.53 | PDLC03285,MTase_II_00071, 2, 570, 0.142, 0.169 | PDLC02521,PglX_00007, 1, 1.1e-06, 0.197, 0.082 | PDLC02521,PglX_00007, 1, 1.1e-06, 0.197, 0.082 | PDLC03237,MTase_II_00023, 1, 0.01, 0.253, 0.116 | PDLC03237,MTase_II_00023, 2, 1.4e-17, 0.616, 0.284 | PDLC02523,PglX_00009, 1, 1.9e-05, 0.218, 0.073 | PDLC02523,PglX_00009, 1, 1.9e-05, 0.218, 0.073 | PDLC03600,REase_MTase_IIG_00005, 1, 3e-06, 0.193, 0.078 | PDLC02528,PglX_00014, 1, 0.003, 0.197, 0.085 | PDLC02528,PglX_00014, 1, 0.003, 0.197, 0.085 | PDLC03222,MTase_II_00008, 1, 0.0069, 0.456, 0.365 | PDLC03222,MTase_II_00008, 2, 7.5, 0.09, 0.075 | PDLC03219,MTase_II_00005, 1, 10, 0.082, 0.073 | PDLC03219,MTase_II_00005, 2, 0.00077, 0.179, 0.157 | PDLC03331,MTase_II_00117, 1, 1.3e-14, 0.437, 0.373 | PDLC03282,MTase_II_00068, 1, 23, 0.082, 0.091 | PDLC03282,MTase_II_00068, 2, 5e-12, 0.246, 0.306 | PDLC03338,MTase_II_00124, 1, 4.6e-51, 0.949, 0.776 | PDLC03596,REase_MTase_IIG_00001, 1, 3.5e-05, 0.261, 0.11 | PDLC03612,REase_MTase_IIG_00017, 1, 1.5e-08, 0.382, 0.151 | PDLC03612,REase_MTase_IIG_00017, 2, 7.6, 0.144, 0.059 | PDLC03227,MTase_II_00013, 1, 8.4e-108, 0.973, 0.957 | PDLC03301,MTase_II_00087, 1, 0.011, 0.396, 0.313 | PDLC03375,MTase_II_00161, 1, 0.00079, 0.136, 0.187 | PDLC03375,MTase_II_00161, 2, 210, 0.012, 0.017 | PDLC03359,MTase_II_00145, 1, 1.8e-83, 0.949, 0.571 | PDLC03335,MTase_II_00121, 1, 1.7e-10, 0.429, 0.374 | PDLC03335,MTase_II_00121, 2, 87, 0.06, 0.044 | PDLC02524,PglX_00010, 1, 0.00014, 0.177, 0.122 | PDLC02524,PglX_00010, 1, 0.00014, 0.177, 0.122 | PDLC03601,REase_MTase_IIG_00006, 1, 0.0051, 0.168, 0.077 | PDLC03293,MTase_II_00079, 1, 210, 0.055, 0.063 | PDLC03293,MTase_II_00079, 2, 1.8e-07, 0.199, 0.253 | PDLC03248,MTase_II_00034, 1, 3.8e-19, 0.462, 0.388 | PDLC02526,PglX_00012, 1, 0.015, 0.146, 0.105 | PDLC02526,PglX_00012, 1, 0.015, 0.146, 0.105 | PDLC03021,MTase_I_00004, 1, 0.35, 0.105, 0.098 | PDLC03021,MTase_I_00004, 2, 0.011, 0.168, 0.169 | PDLC03347,MTase_II_00133, 1, 1e-13, 0.46, 0.424 | PDLC03366,MTase_II_00152, 1, 2.1e-10, 0.444, 0.363","PDLC03227, MTase_II_00013, 8.4e-108, 0.973, 0.957 | PDLC03359, MTase_II_00145, 1.8e-83, 0.949, 0.571 | PDLC03338, MTase_II_00124, 4.6e-51, 0.949, 0.776 | PDLC04134, mads_2, 2.1e-21, 0.45, 0.372 | PDLC03248, MTase_II_00034, 3.8e-19, 0.462, 0.388"
3,NZ_CP014477.1,HEC-06,NZ_CP014477.1_731,PDLC04157,HEC-06_WP_099323492.1,HEC-06,1.7999999999999996e-77,6.299999999999999e-76,0.947,0.984,802016,803842,+,-,731,3717,"PDLC04156,HEC-06_WP_121069231.1, 1, 4.6e-19, 0.828, 0.868 | PDLC04154,HEC-06_WP_081759119.1, 1, 1.2e-65, 0.926, 0.954 | PDLC04155,HEC-06_WP_012631435.1, 1, 1.3e-69, 0.964, 0.966 | PDLC04157,HEC-06_WP_099323492.1, 1, 6.3e-76, 0.947, 0.984","PDLC04157, HEC-06_WP_099323492.1, 6.3e-76, 0.947, 0.984 | PDLC04155, HEC-06_WP_012631435.1, 1.3e-69, 0.964, 0.966 | PDLC04154, HEC-06_WP_081759119.1, 1.2e-65, 0.926, 0.954 | PDLC04156, HEC-06_WP_121069231.1, 4.6e-19, 0.828, 0.868"
7,NZ_CP014477.1,cbass_type_I,NZ_CP014477.1_1196,PDLC00686,Effector_00024,Effector,1.0999999999999999e-65,1.2999999999999998e-65,0.962,0.976,1314103,1314741,+,-,1196,3717,"PDLC00674,Effector_00012, 1, 2.5, 0.16, 0.134 | PDLC00674,Effector_00012, 2, 5e-04, 0.371, 0.337 | PDLC00705,Effector_00043, 1, 1.2e-33, 0.958, 0.975 | PDLC00703,Effector_00041, 1, 8.6e-36, 0.925, 0.922 | PDLC00669,Effector_00007, 1, 3.5e-08, 0.854, 0.859 | PDLC00694,Effector_00032, 1, 7.1e-23, 0.826, 0.837 | PDLC00682,Effector_00020, 1, 150, 0.089, 0.087 | PDLC00682,Effector_00020, 2, 1e-06, 0.526, 0.555 | PDLC00708,Effector_00046, 1, 1.3e-16, 0.728, 0.733 | PDLC00671,Effector_00009, 1, 7.9e-11, 0.648, 0.682 | PDLC00683,Effector_00021, 1, 8.6e-14, 0.84, 0.892 | PDLC00702,Effector_00040, 1, 8.8e-32, 0.873, 0.867 | PDLC00673,Effector_00011, 1, 7.7e-16, 0.812, 0.804 | PDLC00686,Effector_00024, 1, 1.3e-65, 0.962, 0.976 | PDLC00679,Effector_00017, 1, 8.6e-07, 0.709, 0.725 | PDLC00714,Effector_00052, 1, 3.6e-17, 0.878, 0.935 | PDLC00697,Effector_00035, 1, 6.4e-17, 0.718, 0.778 | PDLC00704,Effector_00042, 1, 1.5e-14, 0.728, 0.754","PDLC00686, Effector_00024, 1.3e-65, 0.962, 0.976 | PDLC00703, Effector_00041, 8.6e-36, 0.925, 0.922 | PDLC00705, Effector_00043, 1.2e-33, 0.958, 0.975 | PDLC00702, Effector_00040, 8.8e-32, 0.873, 0.867 | PDLC00694, Effector_00032, 7.1e-23, 0.826, 0.837"
7,NZ_CP014477.1,cbass_type_I,NZ_CP014477.1_1197,PDLC00772,Cyclase_00012,Cyclase,1.8e-122,2.1999999999999997e-122,0.985,0.856,1314857,1315831,-,-,1197,3717,"PDLC00792,Cyclase_00032, 1, 0.0045, 0.274, 0.347 | PDLC00801,Cyclase_00041, 1, 8.8e-13, 0.566, 0.627 | PDLC00807,Cyclase_00047, 1, 8.7e-99, 0.985, 0.871 | PDLC00772,Cyclase_00012, 1, 2.2e-122, 0.985, 0.856 | PDLC00786,Cyclase_00026, 1, 0.01, 0.24, 0.263 | PDLC00786,Cyclase_00026, 2, 53, 0.215, 0.229 | PDLC00784,Cyclase_00024, 1, 6.8e-17, 0.258, 0.225 | PDLC00784,Cyclase_00024, 2, 3.1e-28, 0.56, 0.499 | PDLC00794,Cyclase_00034, 1, 6.8e-13, 0.572, 0.633 | PDLC00812,Cyclase_00052, 1, 260, 0.148, 0.128 | PDLC00812,Cyclase_00052, 2, 2.1e-10, 0.422, 0.389 | PDLC00777,Cyclase_00017, 1, 0.028, 0.2, 0.191 | PDLC00796,Cyclase_00036, 1, 86, 0.154, 0.118 | PDLC00796,Cyclase_00036, 2, 0.0028, 0.348, 0.241 | PDLC00796,Cyclase_00036, 3, 180, 0.071, 0.051 | PDLC00823,Cyclase_00063, 1, 5.8e-05, 0.538, 0.526 | PDLC00788,Cyclase_00028, 1, 1e-14, 0.655, 0.751 | PDLC00790,Cyclase_00030, 1, 0.00045, 0.32, 0.329 | PDLC00776,Cyclase_00016, 1, 0.0067, 0.572, 0.571","PDLC00772, Cyclase_00012, 2.2e-122, 0.985, 0.856 | PDLC00807, Cyclase_00047, 8.7e-99, 0.985, 0.871 | PDLC00784, Cyclase_00024, 3.1e-28, 0.56, 0.499 | PDLC00788, Cyclase_00028, 1e-14, 0.655, 0.751 | PDLC00794, Cyclase_00034, 6.8e-13, 0.572, 0.633"
8,NZ_CP014477.1,cbass_type_II,NZ_CP014477.1_1213,PDLC00750,Effector_00088,Effector,5.099999999999998e-246,5.699999999999997e-246,0.994,0.996,1334739,1336127,-,-,1213,3717,"PDLC00744,Effector_00082, 1, 3.7e-38, 0.983, 0.966 | PDLC00728,Effector_00066, 1, 0.00011, 0.346, 0.394 | PDLC00747,Effector_00085, 1, 0.015, 0.253, 0.327 | PDLC00754,Effector_00092, 1, 0.009, 0.326, 0.271 | PDLC00742,Effector_00080, 1, 0.011, 0.274, 0.254 | PDLC02000,SAVED1--SAVED_HNH_MK_CARF_00012750, 1, 0.012, 0.257, 0.237 | PDLC00750,Effector_00088, 1, 5.7e-246, 0.994, 0.996 | PDLC00741,Effector_00079, 1, 9e-10, 0.404, 0.384 | PDLC00738,Effector_00076, 1, 0.0055, 0.261, 0.246 | PDLC00737,Effector_00075, 1, 8.1e-09, 0.419, 0.399 | PDLC00752,Effector_00090, 1, 630, 0.08, 0.073 | PDLC00752,Effector_00090, 2, 1e-09, 0.404, 0.388 | PDLC00670,Effector_00008, 1, 0.00014, 0.363, 0.487 | PDLC00727,Effector_00065, 1, 0.03, 0.181, 0.139 | PDLC00748,Effector_00086, 1, 1.2e-36, 0.981, 0.977","PDLC00750, Effector_00088, 5.7e-246, 0.994, 0.996 | PDLC00744, Effector_00082, 3.7e-38, 0.983, 0.966 | PDLC00748, Effector_00086, 1.2e-36, 0.981, 0.977 | PDLC00741, Effector_00079, 9e-10, 0.404, 0.384 | PDLC00752, Effector_00090, 1e-09, 0.404, 0.388"
8,NZ_CP014477.1,cbass_type_II,NZ_CP014477.1_1214,PDLC00897,JAB_00011,JAB,6.099999999999999e-97,6.699999999999999e-97,0.987,0.987,1336130,1336591,-,-,1214,3717,"PDLC00888,JAB_00002, 1, 1.7e-06, 0.649, 0.552 | PDLC00908,JAB_00022, 1, 2.3e-08, 0.662, 0.607 | PDLC00838,E1E2_00014, 1, 0.00056, 0.662, 0.139 | PDLC00909,JAB_00023, 1, 2e-09, 0.688, 0.631 | PDLC00893,JAB_00007, 1, 1.5e-55, 0.968, 0.962 | PDLC00896,JAB_00010, 1, 1.4e-19, 0.708, 0.686 | PDLC00905,JAB_00019, 1, 1.1e-46, 0.948, 0.955 | PDLC00889,JAB_00003, 1, 2.3e-11, 0.714, 0.643 | PDLC00890,JAB_00004, 1, 8.9e-21, 0.864, 0.847 | PDLC00901,JAB_00015, 1, 7.9e-13, 0.701, 0.656 | PDLC00887,JAB_00001, 1, 4.3e-11, 0.656, 0.625 | PDLC00904,JAB_00018, 1, 1.1e-07, 0.727, 0.635 | PDLC00897,JAB_00011, 1, 6.7e-97, 0.987, 0.987 | PDLC00900,JAB_00014, 1, 0.00078, 0.565, 0.522 | PDLC00891,JAB_00005, 1, 3e-09, 0.675, 0.629 | PDLC00903,JAB_00017, 1, 1e-06, 0.61, 0.566 | PDLC00907,JAB_00021, 1, 2.9e-19, 0.701, 0.771 | PDLC00906,JAB_00020, 1, 6.1e-50, 0.961, 0.838 | PDLC00894,JAB_00008, 1, 6.6e-10, 0.591, 0.582 | PDLC00892,JAB_00006, 1, 0.0022, 0.175, 0.155 | PDLC00835,E1E2_00011, 1, 7.9e-05, 0.461, 0.085 | PDLC00827,E1E2_00003, 1, 7.8e-13, 0.721, 0.156 | PDLC00895,JAB_00009, 1, 1.8e-09, 0.727, 0.673 | PDLC00727,Effector_00065, 1, 3.9e-12, 0.779, 0.197 | PDLC00898,JAB_00012, 1, 1.4e-07, 0.675, 0.617 | PDLC00902,JAB_00016, 1, 1e-13, 0.688, 0.654","PDLC00897, JAB_00011, 6.7e-97, 0.987, 0.987 | PDLC00893, JAB_00007, 1.5e-55, 0.968, 0.962 | PDLC00906, JAB_00020, 6.1e-50, 0.961, 0.838 | PDLC00905, JAB_00019, 1.1e-46, 0.948, 0.955 | PDLC00890, JAB_00004, 8.9e-21, 0.864, 0.847"
8,NZ_CP014477.1,cbass_type_II,NZ_CP014477.1_1215,PDLC00855,E1E2_00031,E1-E2,2.2999999999999994e-181,2.6999999999999994e-181,0.972,0.965,1336597,1338309,-,-,1215,3717,"PDLC00854,E1E2_00030, 1, 1.7e-10, 0.196, 0.18 | PDLC00853,E1E2_00029, 1, 1.1e-09, 0.243, 0.245 | PDLC00838,E1E2_00014, 1, 60, 0.156, 0.122 | PDLC00838,E1E2_00014, 2, 0.00022, 0.119, 0.092 | PDLC00851,E1E2_00027, 1, 1.4e-11, 0.124, 0.145 | PDLC00826,E1E2_00002, 1, 4.5e-10, 0.233, 0.227 | PDLC00843,E1E2_00019, 1, 1.7e-12, 0.249, 0.242 | PDLC00845,E1E2_00021, 1, 1.2e-05, 0.13, 0.13 | PDLC00847,E1E2_00023, 1, 5.6e-24, 0.291, 0.306 | PDLC00831,E1E2_00007, 1, 5.7e-11, 0.159, 0.157 | PDLC00849,E1E2_00025, 1, 4.5e-13, 0.35, 0.345 | PDLC00834,E1E2_00010, 1, 2.8e-09, 0.249, 0.25 | PDLC00855,E1E2_00031, 1, 2.7e-181, 0.972, 0.965 | PDLC00825,E1E2_00001, 1, 1.8e-10, 0.243, 0.259 | PDLC00857,E1E2_00033, 1, 3.2e-11, 0.217, 0.195 | PDLC00857,E1E2_00033, 2, 180, 0.032, 0.031 | PDLC00840,E1E2_00016, 1, 1.4e-14, 0.335, 0.415 | PDLC00856,E1E2_00032, 1, 7.6e-16, 0.233, 0.229 | PDLC00839,E1E2_00015, 1, 3e-15, 0.205, 0.186 | PDLC00832,E1E2_00008, 1, 1e-14, 0.158, 0.153 | PDLC00837,E1E2_00013, 1, 4.3e-17, 0.25, 0.246 | PDLC00848,E1E2_00024, 1, 1.2e-18, 0.212, 0.191 | PDLC00852,E1E2_00028, 1, 2.3e-13, 0.208, 0.222 | PDLC00828,E1E2_00004, 1, 34, 0.082, 0.111 | PDLC00828,E1E2_00004, 2, 3.1e-14, 0.419, 0.548 | PDLC00841,E1E2_00017, 1, 4.3e-10, 0.215, 0.202 | PDLC00841,E1E2_00017, 2, 11, 0.072, 0.066 | PDLC00829,E1E2_00005, 1, 15, 0.063, 0.085 | PDLC00829,E1E2_00005, 2, 1.2e-17, 0.42, 0.554 | PDLC00835,E1E2_00011, 1, 2.5e-11, 0.233, 0.163 | PDLC00827,E1E2_00003, 1, 1.3e-10, 0.2, 0.16 | PDLC00836,E1E2_00012, 1, 3.5e-19, 0.235, 0.219 | PDLC00830,E1E2_00006, 1, 7.1e-14, 0.224, 0.223 | PDLC00846,E1E2_00022, 1, 2.5e-11, 0.156, 0.153 | PDLC00842,E1E2_00018, 1, 170, 0.088, 0.087 | PDLC00842,E1E2_00018, 2, 3.1e-13, 0.259, 0.266 | PDLC00850,E1E2_00026, 1, 7.5e-17, 0.243, 0.244 | PDLC00844,E1E2_00020, 1, 2.8e-22, 0.238, 0.268","PDLC00855, E1E2_00031, 2.7e-181, 0.972, 0.965 | PDLC00847, E1E2_00023, 5.6e-24, 0.291, 0.306 | PDLC00844, E1E2_00020, 2.8e-22, 0.238, 0.268 | PDLC00836, E1E2_00012, 3.5e-19, 0.235, 0.219 | PDLC00848, E1E2_00024, 1.2e-18, 0.212, 0.191"
