system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
6,NZ_CP022283.1,cas_type_I-F1,NZ_CP022283.1_1268,PDLC00925,cas1_YPEST,Cas1f,3.599999999999999e-141,4.099999999999999e-141,0.937,0.987,1346570,1347517,+,# 1346570 # 1347517 # 1 # ;gc_cont=0.391,1268,3978,"PDLC00925,cas1_YPEST, 1, 4.1e-141, 0.937, 0.987","PDLC00925, cas1_YPEST, 4.1e-141, 0.937, 0.987"
6,NZ_CP022283.1,cas_type_I-F1,NZ_CP022283.1_1270,PDLC00941,cas3_yersinia,Cas23f,1.9000000000000001e-59,2.3000000000000002e-59,0.888,0.306,1348134,1349255,+,# 1348134 # 1349255 # 1 # ;gc_cont=0.365,1270,3978,"PDLC00941,cas3_yersinia, 1, 2.3e-59, 0.888, 0.306","PDLC00941, cas3_yersinia, 2.3e-59, 0.888, 0.306"
6,NZ_CP022283.1,cas_type_I-F1,NZ_CP022283.1_1272,PDLC00941,cas3_yersinia,Cas23f,5.4999999999999987e-135,6.599999999999999e-135,0.978,0.503,1349491,1351245,+,# 1349491 # 1351245 # 1 # ;gc_cont=0.350,1272,3978,"PDLC00941,cas3_yersinia, 1, 6.6e-135, 0.978, 0.503","PDLC00941, cas3_yersinia, 6.6e-135, 0.978, 0.503"
6,NZ_CP022283.1,cas_type_I-F1,NZ_CP022283.1_1273,PDLC01627,pfam09611,Cas8f,1.0999999999999999e-117,1.7999999999999997e-117,0.856,0.983,1351261,1352511,+,# 1351261 # 1352511 # 1 # ;gc_cont=0.348,1273,3978,"PDLC01028,cas_Csy1, 1, 2.3e-68, 0.856, 0.956 | PDLC01627,pfam09611, 1, 1.8e-117, 0.856, 0.983 | PDLC01348,cd09735, 1, 1.4e-101, 0.861, 0.986 | PDLC01288,cd09675, 1, 2.6e-65, 0.835, 0.928","PDLC01627, pfam09611, 1.8e-117, 0.856, 0.983 | PDLC01348, cd09735, 1.4e-101, 0.861, 0.986 | PDLC01028, cas_Csy1, 2.3e-68, 0.856, 0.956 | PDLC01288, cd09675, 2.6e-65, 0.835, 0.928"
6,NZ_CP022283.1,cas_type_I-F1,NZ_CP022283.1_1275,PDLC01628,pfam09614,Cas5f,1.6999999999999997e-62,1.8999999999999996e-62,0.959,0.661,1352810,1353394,+,# 1352810 # 1353394 # 1 # ;gc_cont=0.349,1275,3978,"PDLC01628,pfam09614, 1, 1.9e-62, 0.959, 0.661 | PDLC01199,C19_Cas5f_1, 1, 0.0017, 0.318, 0.249 | PDLC01289,cd09676, 1, 1.5e-36, 0.964, 0.654 | PDLC01349,cd09736, 1, 2.9e-46, 0.964, 0.642 | PDLC01029,cas_Csy2, 1, 5e-33, 0.964, 0.672","PDLC01628, pfam09614, 1.9e-62, 0.959, 0.661 | PDLC01349, cd09736, 2.9e-46, 0.964, 0.642 | PDLC01289, cd09676, 1.5e-36, 0.964, 0.654 | PDLC01029, cas_Csy2, 5e-33, 0.964, 0.672 | PDLC01199, C19_Cas5f_1, 0.0017, 0.318, 0.249"
6,NZ_CP022283.1,cas_type_I-F1,NZ_CP022283.1_1276,PDLC01629,pfam09615,Cas7f,1.0999999999999997e-142,1.2999999999999998e-142,0.956,0.994,1353420,1354433,+,# 1353420 # 1354433 # 1 # ;gc_cont=0.362,1276,3978,"PDLC01629,pfam09615, 1, 1.3e-142, 0.956, 0.994 | PDLC01350,cd09737, 1, 4.6e-129, 0.962, 0.997 | PDLC01290,cd09677, 1, 8.2e-125, 0.967, 0.994 | PDLC01030,cas_Csy3, 1, 1.9e-127, 0.967, 0.994","PDLC01629, pfam09615, 1.3e-142, 0.956, 0.994 | PDLC01350, cd09737, 4.6e-129, 0.962, 0.997 | PDLC01030, cas_Csy3, 1.9e-127, 0.967, 0.994 | PDLC01290, cd09677, 8.2e-125, 0.967, 0.994"
6,NZ_CP022283.1,cas_type_I-F1,NZ_CP022283.1_1277,PDLC01631,pfam09618,Cas6f,2.8e-50,3.1e-50,0.975,0.994,1354436,1355047,+,# 1354436 # 1355047 # 1 # ;gc_cont=0.379,1277,3978,"PDLC01352,cd09739, 1, 2.6e-43, 0.99, 0.995 | PDLC01631,pfam09618, 1, 3.1e-50, 0.975, 0.994 | PDLC01287,cd09674, 1, 1.2e-38, 0.99, 0.995 | PDLC00955,cas_Csy4, 1, 6.4e-37, 0.98, 0.995","PDLC01631, pfam09618, 3.1e-50, 0.975, 0.994 | PDLC01352, cd09739, 2.6e-43, 0.99, 0.995 | PDLC01287, cd09674, 1.2e-38, 0.99, 0.995 | PDLC00955, cas_Csy4, 6.4e-37, 0.98, 0.995"
2,NZ_CP022283.1,PD-T7-1or5,NZ_CP022283.1_1978,PDLC04110,PD-T7-5_WP_098786838.1,PD-T7-5,1.8999999999999993e-119,2.299999999999999e-119,0.966,0.98,2092173,2093234,-,# 2092173 # 2093234 # -1 # ;gc_cont=0.309,1978,3978,"PDLC04110,PD-T7-5_WP_098786838.1, 1, 2.3e-119, 0.966, 0.98 | PDLC04073,PD-T7-1_WP_205975857.1, 1, 2.6e-58, 0.938, 0.726","PDLC04110, PD-T7-5_WP_098786838.1, 2.3e-119, 0.966, 0.98 | PDLC04073, PD-T7-1_WP_205975857.1, 2.6e-58, 0.938, 0.726"
4,NZ_CP022283.1,RM_type_I,NZ_CP022283.1_3223,PDLC03048,REase_I_00009,REase_I,0,0,0.989,0.994,3395779,3398835,-,# 3395779 # 3398835 # -1 # ;gc_cont=0.337,3223,3978,"PDLC03045,REase_I_00006, 1, 6.8e-58, 0.741, 0.738 | PDLC03044,REase_I_00005, 1, 2.4e-47, 0.591, 0.576 | PDLC03043,REase_I_00004, 1, 1.8e-158, 0.266, 0.866 | PDLC03043,REase_I_00004, 2, 320, 0.056, 0.188 | PDLC03043,REase_I_00004, 3, 1000, 0.029, 0.089 | PDLC03048,REase_I_00009, 1, 0, 0.989, 0.994 | PDLC03041,REase_I_00002, 1, 0.43, 0.077, 0.075 | PDLC03041,REase_I_00002, 2, 6.1e-31, 0.459, 0.41 | PDLC03046,REase_I_00007, 1, 6e-66, 0.599, 0.635 | PDLC03046,REase_I_00007, 2, 9.2, 0.098, 0.099 | PDLC03040,REase_I_00001, 1, 2.6e-48, 0.689, 0.679","PDLC03048, REase_I_00009, 0, 0.989, 0.994 | PDLC03043, REase_I_00004, 1.8e-158, 0.266, 0.866 | PDLC03046, REase_I_00007, 6e-66, 0.599, 0.635 | PDLC03045, REase_I_00006, 6.8e-58, 0.741, 0.738 | PDLC03040, REase_I_00001, 2.6e-48, 0.689, 0.679"
3,NZ_CP022283.1,PrrC,NZ_CP022283.1_3226,PDLC02360,PrrC,PrrC,8.099999999999998e-148,9.099999999999997e-148,0.914,0.855,3399957,3401138,-,# 3399957 # 3401138 # -1 # ;gc_cont=0.329,3226,3978,"PDLC02360,PrrC, 1, 9.1e-148, 0.914, 0.855","PDLC02360, PrrC, 9.1e-148, 0.914, 0.855"
