hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_CP139286.1_3	NZ_CP139286.1	3	361	Paris_II__AriA_AAA21	2e-14	51.3	0.798	0.909	1	328
NZ_CP139286.1_135	NZ_CP139286.1	135	704	RM_Type_II__Type_II_MTases_FAM_1	6.5e-08	30.0	0.447	0.22	478	632
NZ_CP139286.1_373	NZ_CP139286.1	373	210	ShosTA__ShosT	1.4e-09	35.6	0.629	0.695	60	205
NZ_CP139286.1_471	NZ_CP139286.1	471	542	DISARM__drmC	1.6e-12	45.1	0.449	0.258	348	487
NZ_CP139286.1_500	NZ_CP139286.1	500	142	PD-T4-9__PD-T4-9_C	2.2e-39	132.2	0.985	0.958	1	136
NZ_CP139286.1_502	NZ_CP139286.1	502	199	PD-T4-9__PD-T4-9_A	1.1e-52	176.0	0.941	0.98	2	196
NZ_CP139286.1_519	NZ_CP139286.1	519	488	DISARM__drmC	3.9e-14	50.4	0.626	0.361	258	433
NZ_CP139286.1_568	NZ_CP139286.1	568	348	Zorya__ZorB	8.2e-08	29.5	0.438	0.287	223	322
NZ_CP139286.1_722	NZ_CP139286.1	722	643	Gao_Iet__IetA	2.4e-29	100.1	0.561	0.35	175	399
NZ_CP139286.1_749	NZ_CP139286.1	749	248	PD-T4-3__PD-T4-3	1.9000000000000002e-84	280.7	0.977	0.976	5	246
NZ_CP139286.1_802	NZ_CP139286.1	802	187	Zorya__ZorB	5.7e-07	26.7	0.457	0.556	75	178
NZ_CP139286.1_823	NZ_CP139286.1	823	223	CBASS__QueC	2.5000000000000002e-20	71.0	0.941	0.915	3	206
NZ_CP139286.1_823	NZ_CP139286.1	823	223	Dpd__QueC	1.7e-48	162.4	0.991	0.987	1	220
NZ_CP139286.1_958	NZ_CP139286.1	958	185	Dpd__FolE	5.699999999999999e-88	290.9	0.994	0.973	1	180
NZ_CP139286.1_1005	NZ_CP139286.1	1005	229	DEDDh_I_II_III_IV_V_VI_1	5.5e-19	66.5	1.0	0.694	4	162
NZ_CP139286.1_1057	NZ_CP139286.1	1057	514	ShosTA__ShosT	9.1e-05	19.9	0.532	0.216	285	395
NZ_CP139286.1_1119	NZ_CP139286.1	1119	336	WYL_I_II_III_IV_V_VI_1	2.3e-15	54.5	0.955	0.955	9	329
NZ_CP139286.1_1119	NZ_CP139286.1	1119	336	WYL_I_II_III_IV_V_VI_4	1.7e-25	87.7	0.948	0.515	157	329
NZ_CP139286.1_1153	NZ_CP139286.1	1153	259	CBASS__AG_E1_ThiF	3.7e-65	217.3	0.984	0.9	20	252
NZ_CP139286.1_1190	NZ_CP139286.1	1190	571	recD_IV-D_1	1.1e-18	64.3	0.45	0.63	3	362
NZ_CP139286.1_1254	NZ_CP139286.1	1254	168	Veles__VlsC2	3.7e-33	112.3	0.966	0.935	7	163
NZ_CP139286.1_1254	NZ_CP139286.1	1254	168	Veles__VlsC1	3.7e-33	112.3	0.966	0.94	5	162
NZ_CP139286.1_1379	NZ_CP139286.1	1379	759	Dodola__DolB	3.4e-21	73.4	0.491	0.254	423	615
NZ_CP139286.1_1710	NZ_CP139286.1	1710	406	Dnd__DndA	2.8e-137	455.2	0.976	0.906	5	372
NZ_CP139286.1_1716	NZ_CP139286.1	1716	489	Pycsar__AG_cyclase	3.7e-30	102.8	0.603	0.452	224	444
