sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
NZ_CP019041.1_RM_Type_I_12	RM	RM_Type_I	Defense	NZ_CP019041.1_126	NZ_CP019041.1_129	NZ_CP019041.1_126,NZ_CP019041.1_128,NZ_CP019041.1_129	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_52
NZ_CP019041.1_Old_exonuclease_3	Old_exonuclease	Old_exonuclease	Defense	NZ_CP019041.1_159	NZ_CP019041.1_159	NZ_CP019041.1_159	1	Old_exonuclease__Old_exonuclease
NZ_CP019041.1_NLR_like_bNACHT01_2	NLR	NLR_like_bNACHT01	Defense	NZ_CP019041.1_586	NZ_CP019041.1_586	NZ_CP019041.1_586	1	NLR_like_bNACHT01__NLR_like_bNACHT01
NZ_CP019041.1_RM_Type_IIG_15	RM	RM_Type_IIG	Defense	NZ_CP019041.1_707	NZ_CP019041.1_707	NZ_CP019041.1_707	1	RM_Type_IIG__Type_IIG_FAM_2.einsi_trimmed
NZ_CP019041.1_Shedu_6	Shedu	Shedu	Defense	NZ_CP019041.1_778	NZ_CP019041.1_778	NZ_CP019041.1_778	1	Shedu__SduA
NZ_CP019041.1_RM_Type_I_13	RM	RM_Type_I	Defense	NZ_CP019041.1_862	NZ_CP019041.1_867	NZ_CP019041.1_862,NZ_CP019041.1_864,NZ_CP019041.1_867	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_06
NZ_CP019041.1_RM_Type_I_14	RM	RM_Type_I	Defense	NZ_CP019041.1_1159	NZ_CP019041.1_1161	NZ_CP019041.1_1159,NZ_CP019041.1_1160,NZ_CP019041.1_1161	3	RM__Type_I_MTases_FAM_3,RM__Type_I_REases_FAM_1.einsi_trimmed,RM__Type_I_S_52
NZ_CP019041.1_Wadjet_I_8	Wadjet	Wadjet_I	Defense	NZ_CP019041.1_1233	NZ_CP019041.1_1236	NZ_CP019041.1_1233,NZ_CP019041.1_1234,NZ_CP019041.1_1235,NZ_CP019041.1_1236	4	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I,Wadjet__JetD_I
NZ_CP019041.1_Shango_5	Shango	Shango	Defense	NZ_CP019041.1_1890	NZ_CP019041.1_1892	NZ_CP019041.1_1890,NZ_CP019041.1_1891,NZ_CP019041.1_1892	3	Shango__SngA,Shango__SngB,Shango__SngC
NZ_CP019041.1_RM_Type_IV_16	RM	RM_Type_IV	Defense	NZ_CP019041.1_2196	NZ_CP019041.1_2197	NZ_CP019041.1_2196,NZ_CP019041.1_2197	2	RM_Type_IV__FAM_1,RM_Type_IV__FAM_2
NZ_CP019041.1_Prometheus_4	Prometheus	Prometheus	Defense	NZ_CP019041.1_2202	NZ_CP019041.1_2202	NZ_CP019041.1_2202	1	Prometheus__ProA
NZ_CP019041.1_Azaca_1	Azaca	Azaca	Defense	NZ_CP019041.1_2206	NZ_CP019041.1_2208	NZ_CP019041.1_2206,NZ_CP019041.1_2207,NZ_CP019041.1_2208	3	Azaca__ZacA,Azaca__ZacB,Azaca__ZacC
NZ_CP019041.1_CAS_Class1-Subtype-I-F_18	Cas	CAS_Class1-Subtype-I-F	Defense	NZ_CP019041.1_2559	NZ_CP019041.1_2565	NZ_CP019041.1_2559,NZ_CP019041.1_2560,NZ_CP019041.1_2561,NZ_CP019041.1_2562,NZ_CP019041.1_2563,NZ_CP019041.1_2565	6	cas1_I-F_1,cas3f_I-F_1,cas5f_I-F_4,cas6f_I_II_III_IV_V_VI_3,cas7f_I-F_2,cas8f_I-F_8
NZ_CP019041.1_RM_Type_IV_17	RM	RM_Type_IV	Defense	NZ_CP019041.1_2781	NZ_CP019041.1_2781	NZ_CP019041.1_2781	1	RM_Type_IV__Type_IV_03
