replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
NZ_CP098732.1	NZ_CP098732.1_101	RM_Type_II__Type_II_REase22	101	defense-finder-models/RM/RM/RM_Type_II	NZ_CP098732.1_RM_Type_II_7	1	1	1.0	2.0	1	RM_Type_II__Type_II_REase01	mandatory	261	3.5e-13	47.3	0.58	0.843	3	222			RM	RM_Type_II	Defense
NZ_CP098732.1	NZ_CP098732.1_102	RM_Type_II__Type_II_MTases_FAM_20	102	defense-finder-models/RM/RM/RM_Type_II	NZ_CP098732.1_RM_Type_II_7	1	1	1.0	2.0	1	RM_Type_II__Type_II_MTases_FAM_0	mandatory	328	1.3e-164	544.2	0.969	0.945	10	319			RM	RM_Type_II	Defense
NZ_CP098732.1	NZ_CP098732.1_281	AbiH__AbiH	281	defense-finder-models/DefenseFinder/AbiH/AbiH	NZ_CP098732.1_AbiH_1	1	1	1.0	1.0	1	AbiH__AbiH	mandatory	485	1.9e-26	91.1	0.996	0.889	3	433			AbiH	AbiH	Defense
NZ_CP098732.1	NZ_CP098732.1_607	DRT_3__drt3b	607	defense-finder-models/DefenseFinder/DRT/DRT_3	NZ_CP098732.1_DRT_3_2	1	1	0.667	2.0	1	DRT_3__drt3b	mandatory	655	1.5000000000000002e-209	695.4	0.942	0.994	4	654			DRT	DRT_3	Defense
NZ_CP098732.1	NZ_CP098732.1_608	DRT_3__drt3a	608	defense-finder-models/DefenseFinder/DRT/DRT_3	NZ_CP098732.1_DRT_3_2	1	1	0.667	2.0	1	DRT_3__drt3a	mandatory	449	1.1000000000000002e-124	414.5	0.935	0.933	30	448			DRT	DRT_3	Defense
NZ_CP098732.1	NZ_CP098732.1_743	DS-17__DS-17	743	defense-finder-models/DefenseFinder/DS-17/DS-17	NZ_CP098732.1_DS-17_4	1	1	1.0	1.0	1	DS-17__DS-17	mandatory	418	1.4e-129	429.7	0.994	0.809	1	338			DS-17	DS-17	Defense
NZ_CP098732.1	NZ_CP098732.1_1998	cas6f_I_II_III_IV_V_VI_3	1998	CasFinder/CAS_Class1-Subtype-I-F	NZ_CP098732.1_CAS_Class1-Subtype-I-F_8	1	1	0.833	5.0	1	cas6f_I_II_III_IV_V_VI_3	accessory	196	7.099999999999999e-62	206.4	1.0	0.98	4	195		NZ_CP098732.1_CAS_Class1-Type-I_9,NZ_CP098732.1_CAS_Cluster_10	Cas	CAS_Class1-Subtype-I-F	Defense
NZ_CP098732.1	NZ_CP098732.1_1999	cas5_I-F_16	1999	CasFinder/CAS_Class1-Subtype-I-F	NZ_CP098732.1_CAS_Class1-Subtype-I-F_8	1	1	0.833	5.0	1	cas5f_I-F_4	mandatory	337	8.6e-126	417.2	0.994	0.994	1	335		NZ_CP098732.1_CAS_Class1-Type-I_9,NZ_CP098732.1_CAS_Cluster_10	Cas	CAS_Class1-Subtype-I-F	Defense
NZ_CP098732.1	NZ_CP098732.1_2000	cas7_I-F_11	2000	CasFinder/CAS_Class1-Subtype-I-F	NZ_CP098732.1_CAS_Class1-Subtype-I-F_8	1	1	0.833	5.0	1	cas7f_I-F_3	mandatory	326	2.6999999999999997e-172	569.7	1.0	0.997	1	325		NZ_CP098732.1_CAS_Class1-Type-I_9,NZ_CP098732.1_CAS_Cluster_10	Cas	CAS_Class1-Subtype-I-F	Defense
NZ_CP098732.1	NZ_CP098732.1_2001	cas3_I_2	2001	CasFinder/CAS_Class1-Subtype-I-F	NZ_CP098732.1_CAS_Class1-Subtype-I-F_8	1	1	0.833	5.0	1	cas3_I_5	accessory	983	6.800000000000001e-27	92.0	0.938	0.32	422	736		NZ_CP098732.1_CAS_Class1-Type-I_9,NZ_CP098732.1_CAS_Cluster_10	Cas	CAS_Class1-Subtype-I-F	Defense
NZ_CP098732.1	NZ_CP098732.1_2002	cas1_I-F_1	2002	CasFinder/CAS_Class1-Subtype-I-F	NZ_CP098732.1_CAS_Class1-Subtype-I-F_8	1	1	0.833	5.0	1	cas1_I-F_1	mandatory	320	3.1e-142	470.8	0.997	0.934	12	310		NZ_CP098732.1_CAS_Class1-Type-I_9,NZ_CP098732.1_CAS_Cluster_10	Cas	CAS_Class1-Subtype-I-F	Defense
NZ_CP098732.1	NZ_CP098732.1_2242	DS-20__DS-20	2242	defense-finder-models/DefenseFinder/DS-20/DS-20	NZ_CP098732.1_DS-20_5	1	1	1.0	1.0	1	DS-20__DS-20	mandatory	476	7.700000000000001e-168	556.8	0.976	0.996	1	474			DS-20	DS-20	Defense
NZ_CP098732.1	NZ_CP098732.1_2393	SoFic__SoFic	2393	defense-finder-models/DefenseFinder/SoFIC/SoFic	NZ_CP098732.1_SoFic_6	1	1	1.0	1.0	1	SoFic__SoFic	mandatory	370	2.6000000000000003e-122	406.0	0.975	0.941	12	359			SoFIC	SoFic	Defense
NZ_CP098732.1	NZ_CP098732.1_2772	DS-14__DS-14	2772	defense-finder-models/DefenseFinder/DS-14/DS-14	NZ_CP098732.1_DS-14_3	1	1	1.0	1.0	1	DS-14__DS-14	mandatory	812	0.0	1124.8	0.99	0.996	3	811			DS-14	DS-14	Defense
