system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
3,NZ_CP078018.1,Old,NZ_CP078018.1_87,PDLC02358,Old,Old,9.899999999999997e-250,1.0999999999999994e-249,0.993,0.998,98586,100346,+,# 98586 # 100346 # 1 # ;gc_cont=0.349,87,3291,"PDLC02358,Old, 1, 1.1e-249, 0.993, 0.998","PDLC02358, Old, 1.1e-249, 0.993, 0.998"
15,NZ_CP078018.1,cbass_type_I,NZ_CP078018.1_267,PDLC00686,Effector_00024,Effector,1e-65,1.0999999999999999e-65,0.962,0.976,300661,301299,+,# 300661 # 301299 # 1 # ;gc_cont=0.313,267,3291,"PDLC00674,Effector_00012, 1, 2.2, 0.16, 0.134 | PDLC00674,Effector_00012, 2, 0.00044, 0.371, 0.337 | PDLC00705,Effector_00043, 1, 1.1e-33, 0.958, 0.975 | PDLC00703,Effector_00041, 1, 7.7e-36, 0.925, 0.922 | PDLC00669,Effector_00007, 1, 3.1e-08, 0.854, 0.859 | PDLC00694,Effector_00032, 1, 6.3e-23, 0.826, 0.837 | PDLC00682,Effector_00020, 1, 130, 0.089, 0.087 | PDLC00682,Effector_00020, 2, 8.9e-07, 0.526, 0.555 | PDLC00708,Effector_00046, 1, 1.2e-16, 0.728, 0.733 | PDLC00671,Effector_00009, 1, 7e-11, 0.648, 0.682 | PDLC00683,Effector_00021, 1, 7.6e-14, 0.84, 0.892 | PDLC00702,Effector_00040, 1, 7.8e-32, 0.873, 0.867 | PDLC00673,Effector_00011, 1, 6.8e-16, 0.812, 0.804 | PDLC00686,Effector_00024, 1, 1.1e-65, 0.962, 0.976 | PDLC00679,Effector_00017, 1, 7.7e-07, 0.709, 0.725 | PDLC00714,Effector_00052, 1, 3.2e-17, 0.878, 0.935 | PDLC00697,Effector_00035, 1, 5.7e-17, 0.718, 0.778 | PDLC00704,Effector_00042, 1, 1.3e-14, 0.728, 0.754","PDLC00686, Effector_00024, 1.1e-65, 0.962, 0.976 | PDLC00703, Effector_00041, 7.7e-36, 0.925, 0.922 | PDLC00705, Effector_00043, 1.1e-33, 0.958, 0.975 | PDLC00702, Effector_00040, 7.8e-32, 0.873, 0.867 | PDLC00694, Effector_00032, 6.3e-23, 0.826, 0.837"
15,NZ_CP078018.1,cbass_type_I,NZ_CP078018.1_268,PDLC00772,Cyclase_00012,Cyclase,3.499999999999999e-116,4.299999999999999e-116,0.957,0.787,301288,302196,-,# 301288 # 302196 # -1 # ;gc_cont=0.321,268,3291,"PDLC00792,Cyclase_00032, 1, 0.0055, 0.294, 0.347 | PDLC00801,Cyclase_00041, 1, 5.7e-13, 0.611, 0.631 | PDLC00807,Cyclase_00047, 1, 7.6e-101, 0.974, 0.854 | PDLC00772,Cyclase_00012, 1, 4.3e-116, 0.957, 0.787 | PDLC00786,Cyclase_00026, 1, 0.011, 0.248, 0.253 | PDLC00786,Cyclase_00026, 2, 4.9, 0.3, 0.304 | PDLC00784,Cyclase_00024, 1, 6.9e-14, 0.221, 0.177 | PDLC00784,Cyclase_00024, 2, 8.7e-33, 0.69, 0.578 | PDLC00794,Cyclase_00034, 1, 7.7e-14, 0.756, 0.774 | PDLC00812,Cyclase_00052, 1, 1.4e-10, 0.452, 0.389 | PDLC00777,Cyclase_00017, 1, 0.022, 0.215, 0.191 | PDLC00796,Cyclase_00036, 1, 0.0022, 0.373, 0.241 | PDLC00796,Cyclase_00036, 2, 36, 0.106, 0.072 | PDLC00823,Cyclase_00063, 1, 3.3e-05, 0.657, 0.593 | PDLC00788,Cyclase_00028, 1, 4.3e-15, 0.716, 0.764 | PDLC00790,Cyclase_00030, 1, 0.0011, 0.307, 0.294 | PDLC00776,Cyclase_00016, 1, 0.0082, 0.584, 0.533","PDLC00772, Cyclase_00012, 4.3e-116, 0.957, 0.787 | PDLC00807, Cyclase_00047, 7.6e-101, 0.974, 0.854 | PDLC00784, Cyclase_00024, 8.7e-33, 0.69, 0.578 | PDLC00788, Cyclase_00028, 4.3e-15, 0.716, 0.764 | PDLC00794, Cyclase_00034, 7.7e-14, 0.756, 0.774"
16,NZ_CP078018.1,cbass_type_II,NZ_CP078018.1_304,PDLC00750,Effector_00088,Effector,1.699999999999999e-246,1.8999999999999989e-246,0.994,0.996,340097,341485,-,# 340097 # 341485 # -1 # ;gc_cont=0.365,304,3291,"PDLC00744,Effector_00082, 1, 1.4e-38, 0.983, 0.966 | PDLC00728,Effector_00066, 1, 9.4e-05, 0.346, 0.394 | PDLC00747,Effector_00085, 1, 0.013, 0.253, 0.327 | PDLC00754,Effector_00092, 1, 0.0079, 0.326, 0.271 | PDLC00742,Effector_00080, 1, 0.01, 0.274, 0.254 | PDLC02000,SAVED1--SAVED_HNH_MK_CARF_00012750, 1, 0.011, 0.257, 0.237 | PDLC00750,Effector_00088, 1, 1.9e-246, 0.994, 0.996 | PDLC00741,Effector_00079, 1, 8e-10, 0.404, 0.384 | PDLC00738,Effector_00076, 1, 0.0049, 0.261, 0.246 | PDLC00737,Effector_00075, 1, 7.2e-09, 0.419, 0.399 | PDLC00752,Effector_00090, 1, 560, 0.08, 0.073 | PDLC00752,Effector_00090, 2, 9.1e-10, 0.404, 0.388 | PDLC00670,Effector_00008, 1, 0.00013, 0.363, 0.487 | PDLC00727,Effector_00065, 1, 0.026, 0.181, 0.139 | PDLC00748,Effector_00086, 1, 2.6e-37, 0.981, 0.977","PDLC00750, Effector_00088, 1.9e-246, 0.994, 0.996 | PDLC00744, Effector_00082, 1.4e-38, 0.983, 0.966 | PDLC00748, Effector_00086, 2.6e-37, 0.981, 0.977 | PDLC00741, Effector_00079, 8e-10, 0.404, 0.384 | PDLC00752, Effector_00090, 9.1e-10, 0.404, 0.388"
16,NZ_CP078018.1,cbass_type_II,NZ_CP078018.1_305,PDLC00897,JAB_00011,JAB,5.4e-97,5.999999999999999e-97,0.987,0.987,341488,341949,-,# 341488 # 341949 # -1 # ;gc_cont=0.379,305,3291,"PDLC00888,JAB_00002, 1, 1.5e-06, 0.649, 0.552 | PDLC00908,JAB_00022, 1, 2.1e-08, 0.662, 0.607 | PDLC00838,E1E2_00014, 1, 5e-04, 0.662, 0.139 | PDLC00909,JAB_00023, 1, 1.8e-09, 0.688, 0.631 | PDLC00893,JAB_00007, 1, 1.3e-55, 0.968, 0.962 | PDLC00896,JAB_00010, 1, 1.3e-19, 0.708, 0.686 | PDLC00905,JAB_00019, 1, 9.5e-47, 0.948, 0.955 | PDLC00889,JAB_00003, 1, 2.1e-11, 0.714, 0.643 | PDLC00890,JAB_00004, 1, 7.9e-21, 0.864, 0.847 | PDLC00901,JAB_00015, 1, 7e-13, 0.701, 0.656 | PDLC00887,JAB_00001, 1, 3.8e-11, 0.656, 0.625 | PDLC00904,JAB_00018, 1, 1e-07, 0.727, 0.635 | PDLC00897,JAB_00011, 1, 6e-97, 0.987, 0.987 | PDLC00900,JAB_00014, 1, 0.00069, 0.565, 0.522 | PDLC00891,JAB_00005, 1, 2.7e-09, 0.675, 0.629 | PDLC00903,JAB_00017, 1, 9.1e-07, 0.61, 0.566 | PDLC00907,JAB_00021, 1, 2.6e-19, 0.701, 0.771 | PDLC00906,JAB_00020, 1, 5.4e-50, 0.961, 0.838 | PDLC00894,JAB_00008, 1, 5.9e-10, 0.591, 0.582 | PDLC00892,JAB_00006, 1, 0.002, 0.175, 0.155 | PDLC00835,E1E2_00011, 1, 7e-05, 0.461, 0.085 | PDLC00827,E1E2_00003, 1, 6.9e-13, 0.721, 0.156 | PDLC00895,JAB_00009, 1, 1.6e-09, 0.727, 0.673 | PDLC00727,Effector_00065, 1, 3.4e-12, 0.779, 0.197 | PDLC00898,JAB_00012, 1, 1.3e-07, 0.675, 0.617 | PDLC00902,JAB_00016, 1, 9e-14, 0.688, 0.654","PDLC00897, JAB_00011, 6e-97, 0.987, 0.987 | PDLC00893, JAB_00007, 1.3e-55, 0.968, 0.962 | PDLC00906, JAB_00020, 5.4e-50, 0.961, 0.838 | PDLC00905, JAB_00019, 9.5e-47, 0.948, 0.955 | PDLC00890, JAB_00004, 7.9e-21, 0.864, 0.847"
16,NZ_CP078018.1,cbass_type_II,NZ_CP078018.1_306,PDLC00855,E1E2_00031,E1-E2,2.0999999999999995e-181,2.3999999999999993e-181,0.972,0.965,341955,343667,-,# 341955 # 343667 # -1 # ;gc_cont=0.382,306,3291,"PDLC00854,E1E2_00030, 1, 1.5e-10, 0.196, 0.18 | PDLC00853,E1E2_00029, 1, 1e-09, 0.243, 0.245 | PDLC00838,E1E2_00014, 1, 53, 0.156, 0.122 | PDLC00838,E1E2_00014, 2, 2e-04, 0.119, 0.092 | PDLC00851,E1E2_00027, 1, 1.2e-11, 0.124, 0.145 | PDLC00826,E1E2_00002, 1, 4e-10, 0.233, 0.227 | PDLC00843,E1E2_00019, 1, 1.5e-12, 0.249, 0.242 | PDLC00845,E1E2_00021, 1, 1e-05, 0.13, 0.13 | PDLC00847,E1E2_00023, 1, 4.9e-24, 0.291, 0.306 | PDLC00831,E1E2_00007, 1, 5.1e-11, 0.159, 0.157 | PDLC00849,E1E2_00025, 1, 4e-13, 0.35, 0.345 | PDLC00834,E1E2_00010, 1, 2.5e-09, 0.249, 0.25 | PDLC00855,E1E2_00031, 1, 2.4e-181, 0.972, 0.965 | PDLC00825,E1E2_00001, 1, 1.6e-10, 0.243, 0.259 | PDLC00857,E1E2_00033, 1, 2.8e-11, 0.217, 0.195 | PDLC00857,E1E2_00033, 2, 160, 0.032, 0.031 | PDLC00840,E1E2_00016, 1, 1.3e-14, 0.335, 0.415 | PDLC00856,E1E2_00032, 1, 6.7e-16, 0.233, 0.229 | PDLC00839,E1E2_00015, 1, 2.6e-15, 0.205, 0.186 | PDLC00832,E1E2_00008, 1, 9e-15, 0.158, 0.153 | PDLC00837,E1E2_00013, 1, 3.8e-17, 0.25, 0.246 | PDLC00848,E1E2_00024, 1, 1.1e-18, 0.212, 0.191 | PDLC00852,E1E2_00028, 1, 2.1e-13, 0.208, 0.222 | PDLC00828,E1E2_00004, 1, 30, 0.082, 0.111 | PDLC00828,E1E2_00004, 2, 2.7e-14, 0.419, 0.548 | PDLC00841,E1E2_00017, 1, 3.8e-10, 0.215, 0.202 | PDLC00841,E1E2_00017, 2, 10, 0.072, 0.066 | PDLC00829,E1E2_00005, 1, 13, 0.063, 0.085 | PDLC00829,E1E2_00005, 2, 1e-17, 0.42, 0.554 | PDLC00835,E1E2_00011, 1, 2.2e-11, 0.233, 0.163 | PDLC00827,E1E2_00003, 1, 1.2e-10, 0.2, 0.16 | PDLC00836,E1E2_00012, 1, 3.1e-19, 0.235, 0.219 | PDLC00830,E1E2_00006, 1, 6.2e-14, 0.224, 0.223 | PDLC00846,E1E2_00022, 1, 2.2e-11, 0.156, 0.153 | PDLC00842,E1E2_00018, 1, 150, 0.088, 0.087 | PDLC00842,E1E2_00018, 2, 2.7e-13, 0.259, 0.266 | PDLC00850,E1E2_00026, 1, 6.7e-17, 0.243, 0.244 | PDLC00844,E1E2_00020, 1, 2.5e-22, 0.238, 0.268","PDLC00855, E1E2_00031, 2.4e-181, 0.972, 0.965 | PDLC00847, E1E2_00023, 4.9e-24, 0.291, 0.306 | PDLC00844, E1E2_00020, 2.5e-22, 0.238, 0.268 | PDLC00836, E1E2_00012, 3.1e-19, 0.235, 0.219 | PDLC00848, E1E2_00024, 1.1e-18, 0.212, 0.191"
16,NZ_CP078018.1,cbass_type_II,NZ_CP078018.1_307,PDLC00773,Cyclase_00013,Cyclase,4.6999999999999983e-166,5.199999999999998e-166,0.994,0.997,343667,344680,-,# 343667 # 344680 # -1 # ;gc_cont=0.393,307,3291,"PDLC00792,Cyclase_00032, 1, 5.6e-16, 0.642, 0.924 | PDLC00797,Cyclase_00037, 1, 0.012, 0.308, 0.257 | PDLC00778,Cyclase_00018, 1, 1.2e-07, 0.251, 0.185 | PDLC00768,Cyclase_00008, 1, 230, 0.086, 0.076 | PDLC00768,Cyclase_00008, 2, 1.8e-06, 0.464, 0.389 | PDLC00801,Cyclase_00041, 1, 2.4e-09, 0.601, 0.776 | PDLC00770,Cyclase_00010, 1, 0.026, 0.237, 0.153 | PDLC00770,Cyclase_00010, 2, 36, 0.062, 0.041 | PDLC00770,Cyclase_00010, 3, 55, 0.334, 0.218 | PDLC00785,Cyclase_00025, 1, 66, 0.036, 0.027 | PDLC00785,Cyclase_00025, 2, 0.054, 0.198, 0.158 | PDLC00808,Cyclase_00048, 1, 2.8e-21, 0.79, 0.883 | PDLC00802,Cyclase_00042, 1, 21, 0.071, 0.075 | PDLC00802,Cyclase_00042, 2, 9.8e-17, 0.609, 0.633 | PDLC00804,Cyclase_00044, 1, 2.8e-05, 0.589, 0.828 | PDLC00822,Cyclase_00062, 1, 7e-30, 0.376, 0.331 | PDLC00822,Cyclase_00062, 2, 7.6e-51, 0.541, 0.461 | PDLC00824,Cyclase_00064, 1, 5.5e-06, 0.195, 0.137 | PDLC00824,Cyclase_00064, 2, 8.4e-09, 0.485, 0.354 | PDLC00795,Cyclase_00035, 1, 3.2e-15, 0.902, 0.959 | PDLC00774,Cyclase_00014, 1, 3.1e-25, 0.908, 0.94 | PDLC00786,Cyclase_00026, 1, 4.9e-18, 0.87, 0.993 | PDLC00794,Cyclase_00034, 1, 0.00016, 0.139, 0.162 | PDLC00794,Cyclase_00034, 2, 2.7, 0.198, 0.239 | PDLC00773,Cyclase_00013, 1, 5.2e-166, 0.994, 0.997 | PDLC00816,Cyclase_00056, 1, 9.7e-06, 0.459, 0.295 | PDLC00787,Cyclase_00027, 1, 2.1e-25, 0.914, 0.949 | PDLC00809,Cyclase_00049, 1, 1.1e-33, 0.873, 0.99 | PDLC00781,Cyclase_00021, 1, 91, 0.086, 0.076 | PDLC00781,Cyclase_00021, 2, 1.6e-07, 0.497, 0.421 | PDLC00817,Cyclase_00057, 1, 3.5e-05, 0.429, 0.391 | PDLC00800,Cyclase_00040, 1, 0.0039, 0.178, 0.155 | PDLC00791,Cyclase_00031, 1, 1.2e-07, 0.506, 0.53 | PDLC00791,Cyclase_00031, 2, 8.8, 0.172, 0.177 | PDLC00815,Cyclase_00055, 1, 5.2e-09, 0.453, 0.399 | PDLC00803,Cyclase_00043, 1, 5.4e-17, 0.76, 0.921 | PDLC00771,Cyclase_00011, 1, 6.5e-07, 0.473, 0.613 | PDLC00775,Cyclase_00015, 1, 170, 0.083, 0.072 | PDLC00775,Cyclase_00015, 2, 0.0013, 0.467, 0.391 | PDLC00810,Cyclase_00050, 1, 9.8e-44, 0.855, 0.866 | PDLC00793,Cyclase_00033, 1, 9e-29, 0.917, 0.677 | PDLC00805,Cyclase_00045, 1, 3.7e-13, 0.571, 0.615 | PDLC00798,Cyclase_00038, 1, 1.7e-36, 0.899, 0.887 | PDLC00777,Cyclase_00017, 1, 0.012, 0.527, 0.548 | PDLC00777,Cyclase_00017, 2, 78, 0.157, 0.167 | PDLC00814,Cyclase_00054, 1, 4.1e-18, 0.864, 0.969 | PDLC00796,Cyclase_00036, 1, 1.2e-22, 0.899, 0.681 | PDLC00780,Cyclase_00020, 1, 2.9e-09, 0.467, 0.448 | PDLC00780,Cyclase_00020, 2, 0.93, 0.396, 0.348 | PDLC00823,Cyclase_00063, 1, 1.4e-43, 0.873, 0.982 | PDLC00788,Cyclase_00028, 1, 0.00036, 0.195, 0.199 | PDLC00788,Cyclase_00028, 2, 5.9e-05, 0.231, 0.279 | PDLC00820,Cyclase_00060, 1, 3.5e-21, 0.538, 0.559 | PDLC00820,Cyclase_00060, 2, 0.029, 0.13, 0.136 | PDLC00818,Cyclase_00058, 1, 1.6, 0.183, 0.18 | PDLC00818,Cyclase_00058, 2, 2.4e-18, 0.556, 0.543 | PDLC00769,Cyclase_00009, 1, 1.8e-17, 0.604, 0.755 | PDLC00790,Cyclase_00030, 1, 1.1e-09, 0.515, 0.545 | PDLC00776,Cyclase_00016, 1, 1.8e-24, 0.87, 0.979 | PDLC00819,Cyclase_00059, 1, 0.0096, 0.302, 0.969 | PDLC00779,Cyclase_00019, 1, 2.2e-05, 0.275, 0.299","PDLC00773, Cyclase_00013, 5.2e-166, 0.994, 0.997 | PDLC00822, Cyclase_00062, 7.6e-51, 0.541, 0.461 | PDLC00810, Cyclase_00050, 9.8e-44, 0.855, 0.866 | PDLC00823, Cyclase_00063, 1.4e-43, 0.873, 0.982 | PDLC00798, Cyclase_00038, 1.7e-36, 0.899, 0.887"
1,NZ_CP078018.1,DRT_class_II,NZ_CP078018.1_390,PDLC02173,Drt2_00001,Drt2,4.199999999999999e-129,6.199999999999997e-129,0.96,0.814,436565,437698,-,# 436565 # 437698 # -1 # ;gc_cont=0.282,390,3291,"PDLC03779,drt-UG4, 1, 19, 0.066, 0.081 | PDLC03779,drt-UG4, 2, 5.3e-12, 0.206, 0.248 | PDLC03764,drt-UG26, 1, 29, 0.175, 0.156 | PDLC03764,drt-UG26, 2, 1.3e-14, 0.481, 0.412 | PDLC03766,drt-UG28, 1, 6.1e-18, 0.672, 0.406 | PDLC02173,Drt2_00001, 1, 6.2e-129, 0.96, 0.814 | PDLC03757,drt-UG2, 1, 7.3e-131, 0.968, 0.663 | PDLC03755,drt-UG18, 1, 87, 0.066, 0.085 | PDLC03755,drt-UG18, 2, 7.5e-05, 0.143, 0.169 | PDLC03778,drt-UG39, 1, 2.3e-20, 0.704, 0.468 | PDLC03765,drt-UG27, 1, 400, 0.09, 0.081 | PDLC03765,drt-UG27, 2, 29, 0.111, 0.098 | PDLC03765,drt-UG27, 3, 2e-09, 0.336, 0.257 | PDLC03754,drt-UG17, 1, 6.3e-23, 0.627, 0.422","PDLC03757, drt-UG2, 7.3e-131, 0.968, 0.663 | PDLC02173, Drt2_00001, 6.2e-129, 0.96, 0.814 | PDLC03754, drt-UG17, 6.3e-23, 0.627, 0.422 | PDLC03778, drt-UG39, 2.3e-20, 0.704, 0.468 | PDLC03766, drt-UG28, 6.1e-18, 0.672, 0.406"
11,NZ_CP078018.1,PDC-S18,NZ_CP078018.1_750,PDLC04946,PDC-S18_WP_062275062.1,PDC-S18,7.199999999999998e-107,7.899999999999999e-107,0.981,0.822,821106,822047,-,# 821106 # 822047 # -1 # ;gc_cont=0.328,750,3291,"PDLC04946,PDC-S18_WP_062275062.1, 1, 7.9e-107, 0.981, 0.822 | PDLC04945,PDC-S18_WP_216520868.1, 1, 7e-68, 0.943, 0.957 | PDLC04944,PDC-S18_WP_014855974.1, 1, 5.1e-10, 0.952, 0.951","PDLC04946, PDC-S18_WP_062275062.1, 7.9e-107, 0.981, 0.822 | PDLC04945, PDC-S18_WP_216520868.1, 7e-68, 0.943, 0.957 | PDLC04944, PDC-S18_WP_014855974.1, 5.1e-10, 0.952, 0.951"
4,NZ_CP078018.1,PD-T4-3,NZ_CP078018.1_751,PDLC04031,PD-T4-3_WP_201121852.1,PD-T4-3,6.799999999999998e-131,8.399999999999998e-131,0.981,0.992,822186,822968,-,# 822186 # 822968 # -1 # ;gc_cont=0.351,751,3291,"PDLC04031,PD-T4-3_WP_201121852.1, 1, 8.4e-131, 0.981, 0.992","PDLC04031, PD-T4-3_WP_201121852.1, 8.4e-131, 0.981, 0.992"
