sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
NZ_CP078018.1_Old_exonuclease_11	Old_exonuclease	Old_exonuclease	Defense	NZ_CP078018.1_87	NZ_CP078018.1_87	NZ_CP078018.1_87	1	Old_exonuclease__Old_exonuclease
NZ_CP078018.1_CBASS_I_3	CBASS	CBASS_I	Defense	NZ_CP078018.1_267	NZ_CP078018.1_268	NZ_CP078018.1_267,NZ_CP078018.1_268	2	CBASS__Cyclase_new,CBASS__Effector_2TM_S_2TMBeta
NZ_CP078018.1_CBASS_II_5	CBASS	CBASS_II	Defense	NZ_CP078018.1_304	NZ_CP078018.1_307	NZ_CP078018.1_304,NZ_CP078018.1_305,NZ_CP078018.1_306,NZ_CP078018.1_307	4	CBASS__AG_E1_ThiF,CBASS__Cyclase_SMODS,CBASS__Jab,CBASS__Sensing_SAVED
NZ_CP078018.1_DRT_2_8	DRT	DRT_2	Defense	NZ_CP078018.1_390	NZ_CP078018.1_390	NZ_CP078018.1_390	1	DRT2__DRT2
NZ_CP078018.1_PD-T4-3_12	PD-T4-3	PD-T4-3	Defense	NZ_CP078018.1_751	NZ_CP078018.1_751	NZ_CP078018.1_751	1	PD-T4-3__PD-T4-3
NZ_CP078018.1_Lamassu-Cap4_nuclease_9	Lamassu-Fam	Lamassu-Cap4_nuclease	Defense	NZ_CP078018.1_900	NZ_CP078018.1_901	NZ_CP078018.1_900,NZ_CP078018.1_901	2	Lamassu-Fam__LmuA_effector_Cap4_nuclease,Lamassu-Fam__LmuB_SMC_Cap4_nuclease
NZ_CP078018.1_CAS_Class1-Subtype-I-F_20	Cas	CAS_Class1-Subtype-I-F	Defense	NZ_CP078018.1_1007	NZ_CP078018.1_1013	NZ_CP078018.1_1007,NZ_CP078018.1_1009,NZ_CP078018.1_1010,NZ_CP078018.1_1011,NZ_CP078018.1_1012,NZ_CP078018.1_1013	6	cas1_I-F_1,cas3f_I-F_1,cas5f_I-F_4,cas6f_I_II_III_IV_V_VI_3,cas7f_I-F_2,cas8f_I-F_8
NZ_CP078018.1_CoCoNut_I-A_7	CoCoNut	CoCoNut_I-A	Defense	NZ_CP078018.1_1632	NZ_CP078018.1_1633	NZ_CP078018.1_1632,NZ_CP078018.1_1633	2	CoCoNut-I-A__I-A_CnuB,CoCoNut-I-A__I-A_CnuC
NZ_CP078018.1_CapRel_6	CapRel	CapRel	Defense	NZ_CP078018.1_2275	NZ_CP078018.1_2275	NZ_CP078018.1_2275	1	CapRel__CapRel
NZ_CP078018.1_Wadjet_I_16	Wadjet	Wadjet_I	Defense	NZ_CP078018.1_2324	NZ_CP078018.1_2327	NZ_CP078018.1_2324,NZ_CP078018.1_2325,NZ_CP078018.1_2326,NZ_CP078018.1_2327	4	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I,Wadjet__JetD_I
NZ_CP078018.1_RM_Type_IIG_19	RM	RM_Type_IIG	Defense	NZ_CP078018.1_2568	NZ_CP078018.1_2568	NZ_CP078018.1_2568	1	RM_Type_IIG__Type_IIG_FAM_2.einsi_trimmed
NZ_CP078018.1_Lamassu-DS-30_10	Lamassu-Fam	Lamassu-DS-30	Defense	NZ_CP078018.1_2573	NZ_CP078018.1_2576	NZ_CP078018.1_2573,NZ_CP078018.1_2574,NZ_CP078018.1_2575,NZ_CP078018.1_2576	4	Lamassu-Fam__LmuA_DS-30B,Lamassu-Fam__LmuB_DS-30D,Lamassu-Fam__LmuC_DS-30C,Lamassu-Fam__Lmu_DS-30A
NZ_CP078018.1_RM_Type_I_18	RM	RM_Type_I	Defense	NZ_CP078018.1_2692	NZ_CP078018.1_2696	NZ_CP078018.1_2692,NZ_CP078018.1_2694,NZ_CP078018.1_2696	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_06
NZ_CP078018.1_RloC_13	RloC	RloC	Defense	NZ_CP078018.1_2693	NZ_CP078018.1_2693	NZ_CP078018.1_2693	1	RloC__RloC
NZ_CP078018.1_Shedu_14	Shedu	Shedu	Defense	NZ_CP078018.1_2741	NZ_CP078018.1_2741	NZ_CP078018.1_2741	1	Shedu__SduA
