system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
7,NZ_CP018909.1,qatABCD,NZ_CP018909.1_893,PDLC02210,QatA_00002,QatA,7.999999999999996e-242,9.299999999999995e-242,0.992,0.995,936660,938459,+,-,893,3778,"PDLC02210,QatA_00002, 1, 9.3e-242, 0.992, 0.995 | PDLC02209,QatA_00001, 1, 2.9e-101, 0.97, 0.918","PDLC02210, QatA_00002, 9.3e-242, 0.992, 0.995 | PDLC02209, QatA_00001, 2.9e-101, 0.97, 0.918"
7,NZ_CP018909.1,qatABCD,NZ_CP018909.1_894,PDLC02212,QatB_00002,QatB,3.2e-97,3.5999999999999995e-97,0.976,0.992,938473,939237,+,-,894,3778,"PDLC02211,QatB_00001, 1, 2.7e-08, 0.651, 0.89 | PDLC02212,QatB_00002, 1, 3.6e-97, 0.976, 0.992 | PDLC02213,QatB_00003, 1, 1.8e-05, 0.102, 0.088 | PDLC02213,QatB_00003, 2, 6.2e-20, 0.8, 0.707","PDLC02212, QatB_00002, 3.6e-97, 0.976, 0.992 | PDLC02213, QatB_00003, 6.2e-20, 0.8, 0.707 | PDLC02211, QatB_00001, 2.7e-08, 0.651, 0.89"
7,NZ_CP018909.1,qatABCD,NZ_CP018909.1_895,PDLC02214,QatC_00001,QatC,4.299999999999999e-126,5.099999999999999e-126,0.971,0.965,939230,940552,+,-,895,3778,"PDLC02214,QatC_00001, 1, 5.1e-126, 0.971, 0.965","PDLC02214, QatC_00001, 5.1e-126, 0.971, 0.965"
7,NZ_CP018909.1,qatABCD,NZ_CP018909.1_896,PDLC02215,QatD_00001,QatD,3.9999999999999986e-95,4.399999999999999e-95,0.976,0.976,940549,941292,+,-,896,3778,"PDLC02215,QatD_00001, 1, 4.4e-95, 0.976, 0.976","PDLC02215, QatD_00001, 4.4e-95, 0.976, 0.976"
8,NZ_CP018909.1,qatABCD,NZ_CP018909.1_2048,PDLC02215,QatD_00001,QatD,6.699999999999999e-79,7.399999999999999e-79,0.988,0.964,2172128,2172853,-,-,2048,3778,"PDLC02215,QatD_00001, 1, 7.4e-79, 0.988, 0.964","PDLC02215, QatD_00001, 7.4e-79, 0.988, 0.964"
8,NZ_CP018909.1,qatABCD,NZ_CP018909.1_2049,PDLC02214,QatC_00001,QatC,1.8999999999999995e-103,2.3999999999999997e-103,0.972,0.958,2172855,2174138,-,-,2049,3778,"PDLC02214,QatC_00001, 1, 2.4e-103, 0.972, 0.958","PDLC02214, QatC_00001, 2.4e-103, 0.972, 0.958"
8,NZ_CP018909.1,qatABCD,NZ_CP018909.1_2050,PDLC02213,QatB_00003,QatB,1.2e-25,1.5e-25,0.978,0.963,2174138,2174965,-,-,2050,3778,"PDLC02211,QatB_00001, 1, 7.3e-13, 0.656, 0.953 | PDLC02212,QatB_00002, 1, 0.0076, 0.083, 0.093 | PDLC02212,QatB_00002, 2, 9.1e-19, 0.725, 0.782 | PDLC02213,QatB_00003, 1, 1.5e-25, 0.978, 0.963","PDLC02213, QatB_00003, 1.5e-25, 0.978, 0.963 | PDLC02212, QatB_00002, 9.1e-19, 0.725, 0.782 | PDLC02211, QatB_00001, 7.3e-13, 0.656, 0.953"
8,NZ_CP018909.1,qatABCD,NZ_CP018909.1_2051,PDLC02210,QatA_00002,QatA,1.3999999999999998e-117,1.6e-117,0.958,0.997,2174974,2176839,-,-,2051,3778,"PDLC02210,QatA_00002, 1, 1.6e-117, 0.958, 0.997 | PDLC02209,QatA_00001, 1, 3.2e-113, 0.944, 0.926","PDLC02210, QatA_00002, 1.6e-117, 0.958, 0.997 | PDLC02209, QatA_00001, 3.2e-113, 0.944, 0.926"
4,NZ_CP018909.1,PD-T7-1or5,NZ_CP018909.1_2218,PDLC04110,PD-T7-5_WP_098786838.1,PD-T7-5,2.0999999999999996e-74,2.6999999999999994e-74,0.89,0.936,2359820,2360938,-,-,2218,3778,"PDLC04110,PD-T7-5_WP_098786838.1, 1, 2.7e-74, 0.89, 0.936 | PDLC04073,PD-T7-1_WP_205975857.1, 1, 2.7e-36, 0.898, 0.726","PDLC04110, PD-T7-5_WP_098786838.1, 2.7e-74, 0.89, 0.936 | PDLC04073, PD-T7-1_WP_205975857.1, 2.7e-36, 0.898, 0.726"
2,NZ_CP018909.1,DRT_class_II,NZ_CP018909.1_2221,PDLC02173,Drt2_00001,Drt2,8.299999999999998e-118,7.099999999999998e-117,0.944,0.976,2362451,2363854,-,-,2221,3778,"PDLC03779,drt-UG4, 1, 31, 0.062, 0.094 | PDLC03779,drt-UG4, 2, 5.8e-09, 0.173, 0.244 | PDLC03764,drt-UG26, 1, 10, 0.041, 0.048 | PDLC03764,drt-UG26, 2, 35, 0.118, 0.133 | PDLC03764,drt-UG26, 3, 2.9e-12, 0.301, 0.296 | PDLC03766,drt-UG28, 1, 2.1e-16, 0.729, 0.506 | PDLC02173,Drt2_00001, 1, 7.1e-117, 0.944, 0.976 | PDLC03757,drt-UG2, 1, 9.5e-141, 0.97, 0.793 | PDLC03755,drt-UG18, 1, 100, 0.1, 0.163 | PDLC03755,drt-UG18, 2, 0.00072, 0.165, 0.247 | PDLC03778,drt-UG39, 1, 8.4e-18, 0.731, 0.579 | PDLC03754,drt-UG17, 1, 130, 0.111, 0.124 | PDLC03754,drt-UG17, 2, 0.031, 0.081, 0.089 | PDLC03754,drt-UG17, 3, 7e-20, 0.312, 0.277","PDLC03757, drt-UG2, 9.5e-141, 0.97, 0.793 | PDLC02173, Drt2_00001, 7.1e-117, 0.944, 0.976 | PDLC03754, drt-UG17, 7e-20, 0.312, 0.277 | PDLC03778, drt-UG39, 8.4e-18, 0.731, 0.579 | PDLC03766, drt-UG28, 2.1e-16, 0.729, 0.506"
