sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
NZ_CP041035.1_RM_Type_II_11	RM	RM_Type_II	Defense	NZ_CP041035.1_80	NZ_CP041035.1_81	NZ_CP041035.1_80,NZ_CP041035.1_81	2	RM_Type_II__Type_II_MTases_FAM_0,RM_Type_II__Type_II_REase38
NZ_CP041035.1_Gabija_2	Gabija	Gabija	Defense	NZ_CP041035.1_94	NZ_CP041035.1_95	NZ_CP041035.1_94,NZ_CP041035.1_95	2	Gabija__GajA,Gabija__GajB_2
NZ_CP041035.1_RM_Type_I_10	RM	RM_Type_I	Defense	NZ_CP041035.1_96	NZ_CP041035.1_98	NZ_CP041035.1_96,NZ_CP041035.1_97,NZ_CP041035.1_98	3	RM__Type_I_MTases_FAM_1,RM__Type_I_REases_FAM_2.einsi_trimmed,RM__Type_I_S_03
NZ_CP041035.1_CapRel_1	CapRel	CapRel	Defense	NZ_CP041035.1_715	NZ_CP041035.1_715	NZ_CP041035.1_715	1	CapRel__CapRel
NZ_CP041035.1_VP1839_8	VP1839	VP1839	Defense	NZ_CP041035.1_732	NZ_CP041035.1_732	NZ_CP041035.1_732	1	VP1839__VP1839
NZ_CP041035.1_CAS_Class1-Subtype-I-F_12	Cas	CAS_Class1-Subtype-I-F	Defense	NZ_CP041035.1_1086	NZ_CP041035.1_1091	NZ_CP041035.1_1086,NZ_CP041035.1_1087,NZ_CP041035.1_1088,NZ_CP041035.1_1089,NZ_CP041035.1_1090,NZ_CP041035.1_1091	6	cas1_I-F_1,cas3f_I-F_1,cas5f_I-F_4,cas6f_I_II_III_IV_V_VI_3,cas7f_I-F_2,cas8f_I-F_8
NZ_CP041035.1_Gabija_3	Gabija	Gabija	Defense	NZ_CP041035.1_2491	NZ_CP041035.1_2492	NZ_CP041035.1_2491,NZ_CP041035.1_2492	2	Gabija__GajA,Gabija__GajB_2
NZ_CP041035.1_Gao_Qat_4	Gao_Qat	Gao_Qat	Defense	NZ_CP041035.1_2948	NZ_CP041035.1_2951	NZ_CP041035.1_2948,NZ_CP041035.1_2949,NZ_CP041035.1_2950,NZ_CP041035.1_2951	4	Gao_Qat__QatA,Gao_Qat__QatB,Gao_Qat__QatC,Gao_Qat__QatD
NZ_CP041035.1_PD-T7-5_6	PD-T7-5	PD-T7-5	Defense	NZ_CP041035.1_2978	NZ_CP041035.1_2978	NZ_CP041035.1_2978	1	PD-T7-5__PD-T7-5
NZ_CP041035.1_PD-T4-5_5	PD-T4-5	PD-T4-5	Defense	NZ_CP041035.1_3014	NZ_CP041035.1_3014	NZ_CP041035.1_3014	1	PD-T4-5__PD-T4-5
NZ_CP041035.1_RosmerTA_7	RosmerTA	RosmerTA	Defense	NZ_CP041035.1_3342	NZ_CP041035.1_3343	NZ_CP041035.1_3342,NZ_CP041035.1_3343	2	RosmerTA__RmrA_2634932349,RosmerTA__RmrT_2634932349
