system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
8,NZ_CP018260.1,PDC-S55,NZ_CP018260.1_172,PDLC05037,PDC-S55_WP_162277864.1,PDC-S55,2.7e-75,3.2999999999999995e-75,0.974,0.989,187102,187674,+,-,172,3164,"PDLC05037,PDC-S55_WP_162277864.1, 1, 3.3e-75, 0.974, 0.989","PDLC05037, PDC-S55_WP_162277864.1, 3.3e-75, 0.974, 0.989"
3,NZ_CP018260.1,DMS_other,NZ_CP018260.1_192,PDLC02619,DrmD_00002,DrmD,4.199999999999999e-141,8.599999999999997e-140,0.6,0.513,207461,209686,+,-,192,3164,"PDLC02843,DpdE_00004, 1, 57, 0.051, 0.037 | PDLC02843,DpdE_00004, 2, 2.4e-14, 0.132, 0.097 | PDLC02843,DpdE_00004, 3, 610, 0.057, 0.035 | PDLC02842,DpdE_00003, 1, 4.5e-07, 0.154, 0.096 | PDLC02842,DpdE_00003, 2, 480, 0.054, 0.036 | PDLC02625,DrmD_00008, 1, 5.3e-05, 0.276, 0.264 | PDLC02625,DrmD_00008, 2, 8.4e-15, 0.089, 0.085 | PDLC02625,DrmD_00008, 3, 290, 0.074, 0.066 | PDLC02500,BrxHI_00001, 1, 7.6e-14, 0.24, 0.184 | PDLC02500,BrxHI_00001, 1, 7.6e-14, 0.24, 0.184 | PDLC02500,BrxHI_00001, 2, 2.9e-36, 0.571, 0.434 | PDLC02500,BrxHI_00001, 2, 2.9e-36, 0.571, 0.434 | PDLC02862,DpdF_00008, 1, 29, 0.144, 0.129 | PDLC02862,DpdF_00008, 2, 0.021, 0.098, 0.091 | PDLC02840,DpdE_00001, 1, 3.6e-18, 0.286, 0.169 | PDLC02840,DpdE_00001, 2, 300, 0.059, 0.04 | PDLC02629,DrmD_00012, 1, 1.1e-09, 0.07, 0.106 | PDLC02629,DrmD_00012, 2, 77, 0.092, 0.136 | PDLC02629,DrmD_00012, 3, 400, 0.081, 0.167 | PDLC02851,DpdE_00012, 1, 1.4e-06, 0.132, 0.094 | PDLC00659,HmaA_00001, 1, 7.2e-09, 0.26, 0.193 | PDLC00659,HmaA_00001, 2, 4.9e-24, 0.253, 0.162 | PDLC00659,HmaA_00001, 3, 510, 0.111, 0.069 | PDLC02572,DrmA_00006, 1, 6e-06, 0.28, 0.214 | PDLC02572,DrmA_00006, 2, 6.2e-15, 0.189, 0.137 | PDLC02572,DrmA_00006, 3, 540, 0.059, 0.035 | PDLC02623,DrmD_00006, 1, 1.5e-07, 0.265, 0.162 | PDLC02623,DrmD_00006, 2, 5.6e-29, 0.205, 0.151 | PDLC02623,DrmD_00006, 3, 0.19, 0.245, 0.171 | PDLC02854,DpdE_00015, 1, 6.8e-06, 0.117, 0.085 | PDLC02853,DpdE_00014, 1, 1.6e-14, 0.124, 0.095 | PDLC02845,DpdE_00006, 1, 57, 0.124, 0.074 | PDLC02845,DpdE_00006, 2, 1.7e-06, 0.143, 0.082 | PDLC02632,DrmD_00015, 1, 6.2e-06, 0.278, 0.334 | PDLC02632,DrmD_00015, 2, 1.7e-11, 0.085, 0.097 | PDLC02632,DrmD_00015, 3, 1300, 0.044, 0.05 | PDLC02193,PLD_Helicase_00001, 1, 9.1e-21, 0.282, 0.214 | PDLC02193,PLD_Helicase_00001, 2, 89, 0.046, 0.038 | PDLC02849,DpdE_00010, 1, 6.3, 0.101, 0.096 | PDLC02849,DpdE_00010, 2, 8e-06, 0.12, 0.104 | PDLC02620,DrmD_00003, 1, 1.4e-06, 0.276, 0.202 | PDLC02620,DrmD_00003, 2, 1.5e-24, 0.253, 0.175 | PDLC02634,DrmD_00017, 1, 2.1e-19, 0.364, 0.293 | PDLC02634,DrmD_00017, 2, 1500, 0.054, 0.047 | PDLC02627,DrmD_00010, 1, 1.2e-09, 0.123, 0.124 | PDLC02621,DrmD_00004, 1, 3.9e-16, 0.287, 0.219 | PDLC02621,DrmD_00004, 2, 1.8e-23, 0.19, 0.139 | PDLC02621,DrmD_00004, 3, 1.8, 0.177, 0.124 | PDLC02504,BrxHII_00001, 1, 2.8e-07, 0.255, 0.195 | PDLC02504,BrxHII_00001, 1, 2.8e-07, 0.255, 0.195 | PDLC02504,BrxHII_00001, 2, 3.2e-26, 0.201, 0.146 | PDLC02504,BrxHII_00001, 2, 3.2e-26, 0.201, 0.146 | PDLC02504,BrxHII_00001, 3, 820, 0.098, 0.075 | PDLC02504,BrxHII_00001, 3, 820, 0.098, 0.075 | PDLC02861,DpdF_00007, 1, 0.00082, 0.08, 0.097 | PDLC02846,DpdE_00007, 1, 68, 0.077, 0.05 | PDLC02846,DpdE_00007, 2, 5.9e-06, 0.111, 0.084 | PDLC02846,DpdE_00007, 3, 550, 0.116, 0.081 | PDLC02844,DpdE_00005, 1, 280, 0.112, 0.081 | PDLC02844,DpdE_00005, 2, 2.3e-08, 0.065, 0.045 | PDLC02841,DpdE_00002, 1, 4.1e-06, 0.119, 0.087 | PDLC02633,DrmD_00016, 1, 59, 0.042, 0.037 | PDLC02633,DrmD_00016, 2, 4.6e-11, 0.073, 0.067 | PDLC02867,DpdF_00013, 1, 0.0054, 0.092, 0.081 | PDLC02619,DrmD_00002, 1, 8.6e-140, 0.6, 0.513 | PDLC02619,DrmD_00002, 2, 0.019, 0.232, 0.201 | PDLC02624,DrmD_00007, 1, 1.5e-12, 0.416, 0.468 | PDLC02850,DpdE_00011, 1, 110, 0.075, 0.042 | PDLC02850,DpdE_00011, 2, 7.1e-08, 0.137, 0.08 | PDLC02852,DpdE_00013, 1, 6.3e-06, 0.144, 0.118","PDLC02619, DrmD_00002, 8.6e-140, 0.6, 0.513 | PDLC02500, BrxHI_00001, 2.9e-36, 0.571, 0.434 | PDLC02500, BrxHI_00001, 2.9e-36, 0.571, 0.434 | PDLC02623, DrmD_00006, 5.6e-29, 0.205, 0.151 | PDLC02504, BrxHII_00001, 3.2e-26, 0.201, 0.146 | PDLC02504, BrxHII_00001, 3.2e-26, 0.201, 0.146"
1,NZ_CP018260.1,AbiL,NZ_CP018260.1_193,PDLC02337,AbiLii-1,AbiLii,2.3e-28,2.6e-28,0.948,0.424,209687,210379,-,-,193,3164,"PDLC02337,AbiLii-1, 1, 2.6e-28, 0.948, 0.424","PDLC02337, AbiLii-1, 2.6e-28, 0.948, 0.424"
1,NZ_CP018260.1,AbiL,NZ_CP018260.1_194,PDLC02335,AbiLi-1,AbiLi,1.6999999999999999e-91,1.9e-91,0.975,0.755,210383,211699,-,-,194,3164,"PDLC02335,AbiLi-1, 1, 1.9e-91, 0.975, 0.755 | PDLC02336,AbiLi-2, 1, 430, 0.036, 0.047 | PDLC02336,AbiLi-2, 2, 3e-05, 0.747, 0.812","PDLC02335, AbiLi-1, 1.9e-91, 0.975, 0.755 | PDLC02336, AbiLi-2, 3e-05, 0.747, 0.812"
3,NZ_CP018260.1,DMS_other,NZ_CP018260.1_195,PDLC03646,MTase_III_00015,MTase_III,2.899999999999998e-200,5.199999999999997e-200,0.995,0.73,211955,214288,+,-,195,3164,"PDLC03636,MTase_III_00005, 1, 2e-33, 0.18, 0.245 | PDLC03339,MTase_II_00125, 1, 2.7e-05, 0.152, 0.321 | PDLC03645,MTase_III_00014, 1, 1.8e-19, 0.231, 0.258 | PDLC03645,MTase_III_00014, 2, 100, 0.054, 0.059 | PDLC03642,MTase_III_00011, 1, 330, 0.033, 0.049 | PDLC03642,MTase_III_00011, 2, 5.6e-25, 0.215, 0.33 | PDLC03642,MTase_III_00011, 3, 1.2, 0.035, 0.051 | PDLC03637,MTase_III_00006, 1, 4.9e-15, 0.183, 0.308 | PDLC03265,MTase_II_00051, 1, 0.0018, 0.144, 0.327 | PDLC03644,MTase_III_00013, 1, 2.2e-35, 0.401, 0.552 | PDLC03643,MTase_III_00012, 1, 110, 0.04, 0.067 | PDLC03643,MTase_III_00012, 2, 9.3e-07, 0.1, 0.17 | PDLC04018,PD-Lambda-5_B_WP_110365848.1, 1, 330, 0.055, 0.158 | PDLC04018,PD-Lambda-5_B_WP_110365848.1, 2, 2e-05, 0.09, 0.237 | PDLC03354,MTase_II_00140, 1, 8.6e-17, 0.211, 0.438 | PDLC03371,MTase_II_00157, 1, 0.004, 0.06, 0.169 | PDLC03634,MTase_III_00003, 1, 11, 0.172, 0.221 | PDLC03634,MTase_III_00003, 2, 3.5e-13, 0.06, 0.074 | PDLC03634,MTase_III_00003, 3, 9.6e-27, 0.341, 0.37 | PDLC03639,MTase_III_00008, 1, 1.3e-18, 0.253, 0.31 | PDLC03278,MTase_II_00064, 1, 2.2e-15, 0.152, 0.295 | PDLC03278,MTase_II_00064, 2, 51, 0.078, 0.149 | PDLC03300,MTase_II_00086, 1, 0.0096, 0.05, 0.119 | PDLC03300,MTase_II_00086, 2, 9.8e-07, 0.114, 0.285 | PDLC03635,MTase_III_00004, 1, 210, 0.159, 0.184 | PDLC03635,MTase_III_00004, 2, 2.6e-37, 0.364, 0.371 | PDLC03633,MTase_III_00002, 1, 0.0067, 0.046, 0.058 | PDLC03633,MTase_III_00002, 2, 43, 0.104, 0.133 | PDLC03641,MTase_III_00010, 1, 510, 0.035, 0.038 | PDLC03641,MTase_III_00010, 2, 7.6e-10, 0.058, 0.068 | PDLC03641,MTase_III_00010, 3, 1.9e-21, 0.344, 0.341 | PDLC03640,MTase_III_00009, 1, 5.6e-10, 0.057, 0.067 | PDLC03640,MTase_III_00009, 2, 1.8e-05, 0.114, 0.147 | PDLC03640,MTase_III_00009, 3, 110, 0.109, 0.121 | PDLC03646,MTase_III_00015, 1, 5.2e-200, 0.995, 0.73 | PDLC03632,MTase_III_00001, 1, 0.63, 0.039, 0.033 | PDLC03632,MTase_III_00001, 2, 9.3e-05, 0.117, 0.092 | PDLC03299,MTase_II_00085, 1, 2e-10, 0.194, 0.486 | PDLC03638,MTase_III_00007, 1, 9.9e-05, 0.135, 0.13 | PDLC03638,MTase_III_00007, 2, 2.6e-54, 0.389, 0.38 | PDLC03638,MTase_III_00007, 3, 69, 0.117, 0.114","PDLC03646, MTase_III_00015, 5.2e-200, 0.995, 0.73 | PDLC03638, MTase_III_00007, 2.6e-54, 0.389, 0.38 | PDLC03635, MTase_III_00004, 2.6e-37, 0.364, 0.371 | PDLC03644, MTase_III_00013, 2.2e-35, 0.401, 0.552 | PDLC03636, MTase_III_00005, 2e-33, 0.18, 0.245"
3,NZ_CP018260.1,DMS_other,NZ_CP018260.1_198,PDLC03654,REase_III_00008,REase_III,0,0,0.989,0.96,216231,219650,+,-,198,3164,"PDLC03654,REase_III_00008, 1, 0, 0.989, 0.96","PDLC03654, REase_III_00008, 0, 0.989, 0.96"
7,NZ_CP018260.1,PDC-S04,NZ_CP018260.1_200,PDLC04839,PDC-S04_WP_034227615.1,PDC-S04,1.0999999999999999e-74,1.3999999999999997e-74,0.94,0.839,220842,221390,+,-,200,3164,"PDLC04837,PDC-S04_WP_208343806.1, 1, 4.3e-09, 0.279, 0.201 | PDLC04836,PDC-S04_WP_002996767.1, 1, 4.3e-11, 0.415, 0.287 | PDLC04842,PDC-S04_WP_163235784.1, 1, 3.9e-17, 0.574, 0.46 | PDLC04841,PDC-S04_WP_121941008.1, 1, 9.6e-16, 0.738, 0.411 | PDLC04838,PDC-S04_WP_169250289.1, 1, 2.4e-32, 0.94, 0.799 | PDLC04839,PDC-S04_WP_034227615.1, 1, 1.4e-74, 0.94, 0.839 | PDLC04840,PDC-S04_WP_201691753.1, 1, 2.3e-09, 0.246, 0.203","PDLC04839, PDC-S04_WP_034227615.1, 1.4e-74, 0.94, 0.839 | PDLC04838, PDC-S04_WP_169250289.1, 2.4e-32, 0.94, 0.799 | PDLC04842, PDC-S04_WP_163235784.1, 3.9e-17, 0.574, 0.46 | PDLC04841, PDC-S04_WP_121941008.1, 9.6e-16, 0.738, 0.411 | PDLC04836, PDC-S04_WP_002996767.1, 4.3e-11, 0.415, 0.287"
11,NZ_CP018260.1,SoFic,NZ_CP018260.1_319,PDLC03963,SoFic__SoFic,SoFic,1.4999999999999999e-40,2e-40,0.877,0.867,338761,339951,+,-,319,3164,"PDLC03963,SoFic__SoFic, 1, 2e-40, 0.877, 0.867","PDLC03963, SoFic__SoFic, 2e-40, 0.877, 0.867"
6,NZ_CP018260.1,PDC-S03,NZ_CP018260.1_340,PDLC04834,PDC-S03_WP_066630430.1,PDC-S03,7.000000000000001e-29,8.200000000000001e-29,0.951,0.973,356255,356800,+,-,340,3164,"PDLC04832,PDC-S03_WP_114299349.1, 1, 7.1e-26, 0.813, 0.819 | PDLC04835,PDC-S03_WP_223048435.1, 1, 3.1e-07, 0.736, 0.696 | PDLC04835,PDC-S03_WP_223048435.1, 2, 160, 0.088, 0.068 | PDLC04834,PDC-S03_WP_066630430.1, 1, 8.2e-29, 0.951, 0.973 | PDLC04833,PDC-S03_WP_190837097.1, 1, 1.3e-17, 0.819, 0.768","PDLC04834, PDC-S03_WP_066630430.1, 8.2e-29, 0.951, 0.973 | PDLC04832, PDC-S03_WP_114299349.1, 7.1e-26, 0.813, 0.819 | PDLC04833, PDC-S03_WP_190837097.1, 1.3e-17, 0.819, 0.768 | PDLC04835, PDC-S03_WP_223048435.1, 3.1e-07, 0.736, 0.696"
15,NZ_CP018260.1,tmn,NZ_CP018260.1_728,PDLC02220,Tmn_00001,Tmn,7.299999999999999e-84,7.299999999999999e-84,0.801,0.808,749915,753679,-,-,728,3164,"PDLC02220,Tmn_00001, 1, 7.3e-84, 0.801, 0.808 | PDLC02220,Tmn_00001, 2, 2200, 0.114, 0.103","PDLC02220, Tmn_00001, 7.3e-84, 0.801, 0.808"
