system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
5,NZ_CP012808.1,tmn,NZ_CP012808.1_205,PDLC02220,Tmn_00001,Tmn,2.2999999999999994e-76,5.199999999999999e-76,0.896,0.901,223490,227254,+,-,205,2827,"PDLC02220,Tmn_00001, 1, 5.2e-76, 0.896, 0.901","PDLC02220, Tmn_00001, 5.2e-76, 0.896, 0.901"
1,NZ_CP012808.1,PDC-S06,NZ_CP012808.1_672,PDLC04887,PDC-S06_WP_221405099.1,PDC-S06,5.499999999999997e-264,6.099999999999998e-264,0.994,0.995,721255,723675,+,-,672,2827,"PDLC04886,PDC-S06_WP_029531116.1, 1, 2.1e-45, 0.794, 0.816 | PDLC04895,PDC-S06_WP_184316307.1, 1, 0.00023, 0.778, 0.804 | PDLC04894,PDC-S06_WP_100093761.1, 1, 2.9e-97, 0.985, 0.992 | PDLC04896,PDC-S06_WP_102776212.1, 1, 3.9e-82, 0.984, 0.993 | PDLC04890,PDC-S06_WP_095244428.1, 1, 1e-48, 0.799, 0.818 | PDLC04897,PDC-S06_WP_115337947.1, 1, 1.7e-73, 0.794, 0.834 | PDLC04887,PDC-S06_WP_221405099.1, 1, 6.1e-264, 0.994, 0.995 | PDLC04898,PDC-S06_WP_144626586.1, 1, 1.8e-16, 0.735, 0.775","PDLC04887, PDC-S06_WP_221405099.1, 6.1e-264, 0.994, 0.995 | PDLC04894, PDC-S06_WP_100093761.1, 2.9e-97, 0.985, 0.992 | PDLC04896, PDC-S06_WP_102776212.1, 3.9e-82, 0.984, 0.993 | PDLC04897, PDC-S06_WP_115337947.1, 1.7e-73, 0.794, 0.834 | PDLC04890, PDC-S06_WP_095244428.1, 1e-48, 0.799, 0.818"
3,NZ_CP012808.1,PT_DndABCDE,NZ_CP012808.1_686,PDLC02658,DndB_00001,DndB,1.1999999999999998e-153,1.3999999999999998e-153,0.93,0.983,733256,734377,+,-,686,2827,"PDLC02658,DndB_00001, 1, 1.4e-153, 0.93, 0.983","PDLC02658, DndB_00001, 1.4e-153, 0.93, 0.983"
3,NZ_CP012808.1,PT_DndABCDE,NZ_CP012808.1_687,PDLC02661,DndC_00003,DndC,5.899999999999998e-208,7.099999999999998e-208,0.914,0.989,734378,735871,+,-,687,2827,"PDLC02661,DndC_00003, 1, 7.1e-208, 0.914, 0.989 | PDLC02662,DndC_00004, 1, 1e-202, 0.926, 0.969 | PDLC02660,DndC_00002, 1, 6.8e-79, 0.406, 0.345 | PDLC02660,DndC_00002, 2, 2e-38, 0.203, 0.174 | PDLC02660,DndC_00002, 3, 3.2e-28, 0.313, 0.265 | PDLC02659,DndC_00001, 1, 6.8e-79, 0.406, 0.345 | PDLC02659,DndC_00001, 2, 2e-38, 0.203, 0.174 | PDLC02659,DndC_00001, 3, 3.2e-28, 0.313, 0.265","PDLC02661, DndC_00003, 7.1e-208, 0.914, 0.989 | PDLC02662, DndC_00004, 1e-202, 0.926, 0.969 | PDLC02660, DndC_00002, 6.8e-79, 0.406, 0.345 | PDLC02659, DndC_00001, 6.8e-79, 0.406, 0.345"
3,NZ_CP012808.1,PT_DndABCDE,NZ_CP012808.1_688,PDLC02668,DndD_00006,DndD,9.099999999999997e-219,9.999999999999995e-219,0.97,0.997,735868,737874,+,-,688,2827,"PDLC02665,DndD_00003, 1, 6.6e-92, 0.97, 0.998 | PDLC02667,DndD_00005, 1, 4.3e-168, 0.97, 0.995 | PDLC02668,DndD_00006, 1, 1e-218, 0.97, 0.997 | PDLC02664,DndD_00002, 1, 1.2e-85, 0.952, 0.979 | PDLC02666,DndD_00004, 1, 3.2e-27, 0.423, 0.436 | PDLC02666,DndD_00004, 2, 7.4e-37, 0.263, 0.265 | PDLC02663,DndD_00001, 1, 6.1e-176, 0.972, 0.994","PDLC02668, DndD_00006, 1e-218, 0.97, 0.997 | PDLC02663, DndD_00001, 6.1e-176, 0.972, 0.994 | PDLC02667, DndD_00005, 4.3e-168, 0.97, 0.995 | PDLC02665, DndD_00003, 6.6e-92, 0.97, 0.998 | PDLC02664, DndD_00002, 1.2e-85, 0.952, 0.979"
3,NZ_CP012808.1,PT_DndABCDE,NZ_CP012808.1_689,PDLC02670,DndE_00002,DndE,4.7e-31,5.5e-31,0.9,0.893,737855,738214,+,-,689,2827,"PDLC02669,DndE_00001, 1, 6.7e-25, 0.892, 0.828 | PDLC02670,DndE_00002, 1, 5.5e-31, 0.9, 0.893 | PDLC02671,DndE_00003, 1, 2.2e-14, 0.842, 0.883","PDLC02670, DndE_00002, 5.5e-31, 0.9, 0.893 | PDLC02669, DndE_00001, 6.7e-25, 0.892, 0.828 | PDLC02671, DndE_00003, 2.2e-14, 0.842, 0.883"
3,NZ_CP012808.1,PT_DndABCDE,NZ_CP012808.1_690,PDLC02658,DndB_00001,DndB,3.4e-14,5.5e-14,0.768,0.705,738262,739296,-,-,690,2827,"PDLC02658,DndB_00001, 1, 5.5e-14, 0.768, 0.705","PDLC02658, DndB_00001, 5.5e-14, 0.768, 0.705"
4,NZ_CP012808.1,PT_DndFGH,NZ_CP012808.1_695,PDLC02683,DndH_00005,DndH,0,0,0.957,0.91,741712,745680,-,-,695,2827,"PDLC02680,DndH_00002, 1, 1.5e-243, 0.958, 0.808 | PDLC02684,DndH_00006, 1, 9.1e-227, 0.948, 0.744 | PDLC02685,DndH_00007, 1, 0, 0.962, 0.756 | PDLC02683,DndH_00005, 1, 0, 0.957, 0.91 | PDLC02681,DndH_00003, 1, 7e-69, 0.876, 0.718 | PDLC02682,DndH_00004, 1, 4.3e-139, 0.932, 0.735 | PDLC02679,DndH_00001, 1, 3.4e-114, 0.901, 0.702","PDLC02685, DndH_00007, 0, 0.962, 0.756 | PDLC02683, DndH_00005, 0, 0.957, 0.91 | PDLC02680, DndH_00002, 1.5e-243, 0.958, 0.808 | PDLC02684, DndH_00006, 9.1e-227, 0.948, 0.744 | PDLC02682, DndH_00004, 4.3e-139, 0.932, 0.735"
4,NZ_CP012808.1,PT_DndFGH,NZ_CP012808.1_696,PDLC02678,DndG_00004,DndG,1.4999999999999997e-142,1.6999999999999998e-142,0.973,0.993,745661,746974,-,-,696,2827,"PDLC02678,DndG_00004, 1, 1.7e-142, 0.973, 0.993 | PDLC02677,DndG_00003, 1, 2e-51, 0.893, 0.962 | PDLC02675,DndG_00001, 1, 1.1e-86, 0.966, 0.993 | PDLC02676,DndG_00002, 1, 3.7e-34, 0.639, 0.668","PDLC02678, DndG_00004, 1.7e-142, 0.973, 0.993 | PDLC02675, DndG_00001, 1.1e-86, 0.966, 0.993 | PDLC02677, DndG_00003, 2e-51, 0.893, 0.962 | PDLC02676, DndG_00002, 3.7e-34, 0.639, 0.668"
4,NZ_CP012808.1,PT_DndFGH,NZ_CP012808.1_697,PDLC02674,DndF_00003,DndF,2.799999999999999e-187,3.099999999999999e-187,0.993,0.996,746974,748578,-,-,697,2827,"PDLC02674,DndF_00003, 1, 3.1e-187, 0.993, 0.996 | PDLC02672,DndF_00001, 1, 2.1e-25, 0.482, 0.498 | PDLC02672,DndF_00001, 2, 7.9e-08, 0.46, 0.444 | PDLC02673,DndF_00002, 1, 1.9e-56, 0.953, 0.978","PDLC02674, DndF_00003, 3.1e-187, 0.993, 0.996 | PDLC02673, DndF_00002, 1.9e-56, 0.953, 0.978 | PDLC02672, DndF_00001, 2.1e-25, 0.482, 0.498"
